#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.170,00000000,009b,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*5c3161c7
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.166,00000000,0000,797;2427,544321.165961000,1ae700c3,1160544,291958,-519572,-19346,912,-17404*ce7e1bf5
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.180,00000000,00a5,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*5ff07554
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.176,00000000,0000,797;2427,544321.175954000,1ae700c4,1164004,291940,-520624,-22920,3806,-17755*894b17a1
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.190,00000000,00af,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*9126aebd
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.186,00000000,0000,797;2427,544321.185946000,1ae700c5,1162110,292492,-518497,-15051,-170,-16847*5b1a9c93
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.200,00000000,00b9,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*9ff1294b
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.196,00000000,0000,797;2427,544321.195969000,1ae700c6,1162480,293953,-519531,-19772,3150,-22157*1951909d
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.210,00000000,00c3,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*44624d35
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.206,00000000,0000,797;2427,544321.205996000,1ae600c7,1163285,292592,-521025,-19510,4434,-9472*da3a215a
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.220,00000000,00cd,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*e14ed896
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.216,00000000,0000,797;2427,544321.216003000,1ae600c8,1163707,293447,-520609,-15084,-105,-21248*1e698538
$GPGGA,071143.20,3109.8268601,N,12127.2280393,E,4,34,0.7,6.089,M,11.031,M,1.200,1793*41
#BESTGNSSPOSA,ICOM3,0,93.0,FINESTEERING,2427,544321.200,03e1c006,0000,797;SOL_COMPUTED,NARROW_INT,31.16378100088,121.45380065497,6.0888,11.0314,WGS84,0.0163,0.0149,0.0279,"1793",1.200,0.014,37,34,34,34,0F,00,30,37*7768287f
#HEADINGA,ICOM3,0,93.0,FINESTEERING,2427,544321.200,00000000,0000,797;SOL_COMPUTED,NONE,0.000000000,0.000000000,0.000000000,0.0,0.000000000,0.000000000,"1793",0,0,0,0,0,00,30,37*369be9ad
$GPGSV,2,1,05,12,18,142,31,18,50,221,44,20,15,066,39,24,69,049,44*75
$GPGSV,2,2,05,32,10,270,39,,,,,,,,,,,,*43
$GLGSV,3,1,09,70,18,070,44,72,22,303,42,73,48,104,46,74,24,161,36*6D
$GLGSV,3,2,09,85,05,190,39,86,39,247,46,87,33,298,44,90,00,000,38*6E
$GLGSV,3,3,09,91,00,000,33,,,,,,,,,,,,*54
$GAGSV,2,1,06,03,24,264,46,05,63,319,32,11,09,161,38,31,13,075,41*63
$GAGSV,2,2,06,34,54,291,44,36,51,190,49,,,,,,,,*66
$GQGSV,1,1,02,03,44,169,44,07,53,169,40,,,,,,,,*7C
$GBGSV,4,1,15,01,48,147,49,02,35,242,47,03,55,202,49,04,37,120,42*60
$GBGSV,4,2,15,06,69,040,44,07,57,190,49,10,46,191,45,11,24,271,47*6E
$GBGSV,4,3,15,12,11,294,45,20,28,304,44,23,49,089,49,27,00,000,29*64
$GBGSV,4,4,15,30,24,240,42,37,38,167,48,41,24,084,47,,,,*55
$GPGSA,M,3,12,18,20,24,32,,,,,,,,1.4,0.7,1.2,1*2D
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.230,00000000,00d8,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*3e63d13c
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.226,00000000,0000,797;2427,544321.225950000,1aeb00c9,1161692,292580,-519449,-16199,-2805,-15217*4d07b256
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.240,00000000,00e1,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*03620237
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.236,00000000,0000,797;2427,544321.235939000,1aee00ca,1162707,292876,-519158,-18035,-74,-18688*b520f5f7
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.250,00000000,00eb,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*cdb4d9de
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.246,00000000,0000,797;2427,544321.245961000,1aec00cb,1163924,291695,-519211,-17379,749,-14447*9feb9628
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.260,00000000,00f5,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*cb5bd043
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.256,00000000,0000,797;2427,544321.255952000,1aea00cc,1161483,292268,-518198,-20232,3051,-14340*200a7bfb
#INSPVAXA,ICOM3,0,93.0,FINESTEERING,2427,544321.270,00000000,00ff,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544322*058d0baa
#RAWIMUA,ICOM3,0,93.0,FINESTEERING,2427,544321.266,00000000,0000,797;2427,544321.265947000,1aec00cd,1163541,291617,-520292,-13183,884,-18057*614f3e41
