#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.500,00000000,01e5,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*ad12e665
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.496,00000000,0000,797;2427,544508.495754000,19ea00f0,1164113,288232,-519070,-18848,2533,-10005*78f9bd86
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.510,00000000,01ef,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*63c43d8c
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.506,00000000,0000,797;2427,544508.505776000,19ee00f1,1165417,289158,-518098,-18160,-3555,-12726*d15967fe
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.520,00000000,01f9,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*5cd4fe9f
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.516,00000000,0000,797;2427,544508.515814000,19ee00f2,1164331,289129,-517900,-18324,7931,-11755*f750b335
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.530,00000000,0203,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*485adf8c
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.526,00000000,0000,797;2427,544508.525767000,19ef00f3,1164538,286761,-518758,-34750,-573,-16338*cd74dfa0
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.540,00000000,020d,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*037d1c35
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.536,00000000,0000,797;2427,544508.535756000,19ee00f4,1167237,287405,-519326,-19275,6088,-16396*78eae18d
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.550,00000000,0217,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*1a3a4e09
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.546,00000000,0000,797;2427,544508.545748000,19ee00f5,1164246,289670,-519251,-22389,2136,-19865*ed976db2
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.560,00000000,0221,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*e7febb58
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.556,00000000,0000,797;2427,544508.555771000,19ee00f6,1163225,287384,-518896,-18816,-6584,-16320*9816a907
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.570,00000000,022b,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*292860b1
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.566,00000000,0000,797;2427,544508.565763000,19ef00f7,1163643,287852,-518016,-23373,3221,-13816*2f82950d
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.580,00000000,0235,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*b2f980a8
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.576,00000000,0000,797;2427,544508.575757000,19f000f8,1163311,287660,-517652,-20258,4408,-15451*b0bcf7c1
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.590,00000000,023f,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*7c2f5b41
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.586,00000000,0000,797;2427,544508.585748000,19ec00f9,1163675,288965,-517996,-19307,-1055,-12879*3c88f0ef
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.600,00000000,0249,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*9a5cf761
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.596,00000000,0000,797;2427,544508.595771000,19ee00fa,1164406,288104,-518741,-12619,6784,-14975*9af4afaf
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.610,00000000,0253,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*41cf931f
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.606,00000000,0000,797;2427,544508.605785000,19ed00fb,1165219,289420,-518068,-19537,-824,-11203*3a62f12c
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.620,00000000,025d,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*e4e306bc
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.616,00000000,0000,797;2427,544508.615809000,19ea00fc,1164885,290082,-517583,-11307,104,-21114*95f3f6fe
$GPGGA,071450.60,3109.8268742,N,12127.2280495,E,4,34,0.6,5.973,M,11.031,M,0.600,1793*4E
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.630,00000000,0267,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*89f6416b
#BESTGNSSPOSA,ICOM3,0,86.8,FINESTEERING,2427,544508.600,c3e1c005,a600,797;SOL_COMPUTED,NARROW_INT,31.16378123671,121.45380082448,5.9726,11.0314,WGS84,0.0197,0.0180,0.0301,"1793",0.600,0.018,42,34,34,34,0F,00,30,37*cc38be8f
#HEADINGA,ICOM3,0,86.8,FINESTEERING,2427,544508.600,00000000,0000,797;SOL_COMPUTED,NONE,0.000000000,0.000000000,0.000000000,0.0,0.000000000,0.000000000,"1793",0,0,0,0,0,00,30,37*f102e49e
$GPGSV,2,1,08,10,00,000,21,12,00,000,24,13,00,000,35,15,00,000,39*7F
$GPGSV,2,2,08,18,49,219,45,20,14,067,40,24,68,048,47,32,11,271,38*75
$GLGSV,3,1,09,70,17,071,43,72,23,305,39,73,48,101,46,74,26,160,34*6B
$GLGSV,3,2,09,85,00,000,34,86,37,246,45,87,33,296,45,90,00,000,39*6C
$GLGSV,3,3,09,91,00,000,34,,,,,,,,,,,,*53
$GAGSV,2,1,06,03,24,265,44,11,08,161,35,16,16,128,44,31,14,074,30*6D
$GAGSV,2,2,06,34,55,289,48,36,50,190,49,,,,,,,,*63
$GQGSV,1,1,02,03,44,170,41,07,53,169,39,,,,,,,,*7F
$GBGSV,5,1,17,01,48,147,49,02,35,242,45,03,55,202,49,04,37,120,42*61
$GBGSV,5,2,17,06,69,041,44,07,58,191,50,10,47,192,46,11,24,269,40*65
$GBGSV,5,3,17,12,12,295,41,20,28,305,45,23,49,087,48,25,00,000,28*6D
$GBGSV,5,4,17,27,00,000,34,29,16,291,45,30,23,239,44,37,39,167,47*6E
$GBGSV,5,5,17,41,23,085,44,,,,,,,,,,,,*54
$GPGSA,M,3,18,20,24,32,,,,,,,,,1.2,0.6,1.1,1*2A
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.626,00000000,0000,797;2427,544508.625765000,19ed00fd,1164043,287287,-518600,-21111,919,-15993*7c0144f3
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.640,00000000,0271,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*ee6bf7cb
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.636,00000000,0000,797;2427,544508.635773000,19ed00fe,1164901,286660,-518889,-21996,-2867,-19295*a9e56b0e
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.650,00000000,027b,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*20bd2c22
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.646,00000000,0000,797;2427,544508.645765000,19ec00ff,1164920,287559,-517652,-20324,-529,-14520*d1ea1edb
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.660,00000000,0285,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*c4cf5f84
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.656,00000000,0000,797;2427,544508.655757000,19ec0000,1164282,287768,-519459,-21635,194,-19084*386da025
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.670,00000000,028f,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*0a19846d
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.666,00000000,0000,797;2427,544508.665748000,19ec0001,1167188,287062,-517813,-18783,9445,-20454*72483900
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.680,00000000,0299,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*a837aefa
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.676,00000000,0000,797;2427,544508.675770000,19ea0002,1164734,288233,-518808,-15241,430,-19144*11d7c042
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.690,00000000,02a3,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*ebb43e0e
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.686,00000000,0000,797;2427,544508.685764000,19ec0003,1165419,288205,-518316,-18586,2994,-11349*a03dc03f
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.700,00000000,02ad,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*0199965e
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.696,00000000,0000,797;2427,544508.695756000,19f00004,1164702,288266,-518809,-27045,-238,-20075*fe4fdf17
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.710,00000000,02b7,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*6c8cd189
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.706,00000000,0000,797;2427,544508.705789000,19f30005,1164729,288600,-518255,-18979,-2338,-18962*a74941a3
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.720,00000000,02c1,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*e51a3133
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.716,00000000,0000,797;2427,544508.715808000,19f40006,1163329,287933,-519493,-15537,2536,-16014*7dc42337
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.730,00000000,02cb,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*2bcceada
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.726,00000000,0000,797;2427,544508.725766000,19f10007,1164110,289315,-518820,-17340,2107,-12535*dd593219
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.740,00000000,02d5,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*2b8c9e8b
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.736,00000000,0000,797;2427,544508.735757000,19ef0008,1165228,288232,-518842,-19012,624,-10276*dc680751
#INSPVAXA,ICOM3,0,86.8,FINESTEERING,2427,544508.750,00000000,02df,797;WAITING_AZIMUTH,NONE,0.00000000000,0.00000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000000,0.000000000,-0.000000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,00000000,544509*e55a4562
#RAWIMUA,ICOM3,0,86.8,FINESTEERING,2427,544508.746,00000000,0000,797;2427,544508.745750000,19f10009,1164859,288994,-518161,-18389,-8262,-22339*1b550e09
