system,sat_id,count,max,min,p75,p25,median
BDS,1,38,49.00,48.00,49.00,48.00,48.00
BDS,2,38,46.00,45.00,46.00,45.00,45.00
BDS,3,38,49.00,48.00,49.00,48.00,49.00
BDS,4,38,44.00,42.00,43.00,42.00,42.00
BDS,6,38,43.00,42.00,43.00,43.00,43.00
BDS,7,38,49.00,49.00,49.00,49.00,49.00
BDS,10,38,46.00,45.00,46.00,45.00,45.00
BDS,11,38,43.00,40.00,41.00,40.00,41.00
BDS,12,38,41.00,40.00,41.00,40.00,41.00
BDS,20,38,45.00,44.00,45.00,44.00,44.00
BDS,23,38,49.00,48.00,49.00,49.00,49.00
BDS,27,38,28.00,25.00,27.00,25.25,26.00
BDS,29,38,45.00,44.00,45.00,45.00,45.00
BDS,30,38,46.00,45.00,46.00,45.00,45.00
BDS,32,38,36.00,34.00,36.00,35.00,35.00
BDS,37,38,45.00,44.00,45.00,45.00,45.00
BDS,41,38,44.00,43.00,43.75,43.00,43.00
GAL,3,38,47.00,46.00,46.00,46.00,46.00
GAL,11,38,36.00,35.00,36.00,35.00,35.00
GAL,16,38,40.00,40.00,40.00,40.00,40.00
GAL,31,38,37.00,37.00,37.00,37.00,37.00
GAL,34,38,46.00,46.00,46.00,46.00,46.00
GAL,36,38,47.00,45.00,47.00,46.00,46.00
GLO,6,38,44.00,42.00,43.00,42.00,42.00
GLO,8,38,40.00,37.00,40.00,38.00,39.00
GLO,9,38,47.00,47.00,47.00,47.00,47.00
GLO,10,38,39.00,35.00,38.75,37.00,38.00
GLO,21,38,31.00,19.00,30.00,22.00,23.50
GLO,22,38,47.00,46.00,47.00,46.00,47.00
GLO,23,38,47.00,45.00,47.00,46.00,47.00
GLO,26,38,40.00,37.00,39.00,37.25,38.00
GLO,27,38,36.00,36.00,36.00,36.00,36.00
GPS,10,38,28.00,25.00,27.00,26.00,26.00
GPS,13,38,40.00,40.00,40.00,40.00,40.00
GPS,15,38,40.00,40.00,40.00,40.00,40.00
GPS,18,38,45.00,45.00,45.00,45.00,45.00
GPS,20,38,38.00,36.00,38.00,37.00,37.00
GPS,24,38,45.00,45.00,45.00,45.00,45.00
GPS,32,38,40.00,38.00,40.00,39.00,40.00
QZS,2,38,32.00,30.00,31.00,31.00,31.00
QZS,3,38,44.00,44.00,44.00,44.00,44.00
QZS,7,38,38.00,37.00,38.00,38.00,38.00
