system,sat_id,count,max,min,p75,p25,median
BDS,1,40,49.00,49.00,49.00,49.00,49.00
BDS,2,40,47.00,46.00,46.00,46.00,46.00
BDS,3,40,49.00,48.00,48.00,48.00,48.00
BDS,4,40,43.00,42.00,42.00,42.00,42.00
BDS,6,40,45.00,44.00,45.00,44.00,45.00
BDS,7,40,49.00,48.00,49.00,48.00,49.00
BDS,10,40,45.00,45.00,45.00,45.00,45.00
BDS,11,40,47.00,44.00,46.00,44.00,45.00
BDS,12,40,45.00,44.00,45.00,44.00,45.00
BDS,20,40,45.00,44.00,44.00,44.00,44.00
BDS,23,40,49.00,48.00,49.00,49.00,49.00
BDS,27,40,31.00,25.00,31.00,27.75,30.00
BDS,30,40,42.00,41.00,42.00,41.00,42.00
BDS,37,40,48.00,47.00,48.00,47.00,48.00
BDS,41,40,47.00,47.00,47.00,47.00,47.00
GAL,3,40,46.00,46.00,46.00,46.00,46.00
GAL,5,40,32.00,30.00,31.00,30.00,30.00
GAL,11,40,39.00,38.00,39.00,38.00,39.00
GAL,31,40,41.00,40.00,41.00,40.00,41.00
GAL,34,40,44.00,43.00,43.00,43.00,43.00
GAL,36,40,49.00,47.00,49.00,48.00,48.00
GLO,6,40,44.00,44.00,44.00,44.00,44.00
GLO,8,40,42.00,41.00,42.00,41.00,41.00
GLO,9,40,47.00,46.00,47.00,46.00,46.00
GLO,10,40,37.00,33.00,36.00,34.00,35.00
GLO,21,40,39.00,37.00,39.00,38.75,39.00
GLO,22,40,47.00,46.00,47.00,46.00,46.00
GLO,23,40,44.00,43.00,44.00,44.00,44.00
GLO,26,40,38.00,35.00,36.00,35.75,36.00
GLO,27,40,36.00,30.00,36.00,32.00,34.00
GPS,12,40,31.00,23.00,26.00,23.75,25.00
GPS,18,40,44.00,42.00,44.00,43.00,43.00
GPS,20,40,39.00,38.00,39.00,38.00,38.00
GPS,24,40,44.00,44.00,44.00,44.00,44.00
GPS,32,40,39.00,39.00,39.00,39.00,39.00
QZS,3,40,44.00,44.00,44.00,44.00,44.00
QZS,7,40,40.00,39.00,40.00,39.00,39.00
