system,sat_id,count,max,min,p75,p25,median
BDS,1,36,48.00,48.00,48.00,48.00,48.00
BDS,2,36,46.00,45.00,45.25,45.00,45.00
BDS,3,36,48.00,47.00,48.00,47.00,47.00
BDS,4,36,44.00,43.00,44.00,43.00,43.00
BDS,6,36,44.00,44.00,44.00,44.00,44.00
BDS,7,36,48.00,48.00,48.00,48.00,48.00
BDS,10,36,45.00,44.00,44.00,44.00,44.00
BDS,11,36,44.00,43.00,44.00,43.00,43.50
BDS,12,36,43.00,42.00,43.00,42.00,43.00
BDS,20,36,43.00,43.00,43.00,43.00,43.00
BDS,23,36,48.00,47.00,48.00,48.00,48.00
BDS,27,36,32.00,31.00,32.00,32.00,32.00
BDS,29,36,44.00,43.00,44.00,43.00,43.00
BDS,30,36,46.00,45.00,46.00,46.00,46.00
BDS,32,36,37.00,36.00,37.00,36.00,37.00
BDS,37,36,46.00,45.00,46.00,45.00,45.00
BDS,41,36,44.00,43.00,44.00,44.00,44.00
GAL,3,36,44.00,44.00,44.00,44.00,44.00
GAL,11,36,38.00,36.00,38.00,37.00,38.00
GAL,16,36,34.00,32.00,34.00,33.00,33.50
GAL,31,36,42.00,41.00,42.00,41.00,42.00
GAL,34,36,46.00,44.00,46.00,45.00,45.00
GAL,36,36,48.00,46.00,48.00,47.00,48.00
GLO,6,36,41.00,40.00,41.00,40.00,40.00
GLO,8,36,44.00,26.00,31.00,27.00,30.00
GLO,9,36,47.00,46.00,47.00,46.00,46.00
GLO,10,36,44.00,41.00,43.00,42.00,43.00
GLO,21,16,29.00,25.00,29.00,26.00,28.50
GLO,22,36,46.00,45.00,46.00,46.00,46.00
GLO,23,36,42.00,41.00,42.00,41.00,42.00
GLO,26,30,32.00,29.00,31.00,30.00,30.00
GLO,27,36,34.00,33.00,34.00,33.75,34.00
GPS,10,36,29.00,27.00,28.00,28.00,28.00
GPS,12,31,31.00,23.00,30.00,26.50,29.00
GPS,13,36,44.00,43.00,44.00,44.00,44.00
GPS,15,36,37.00,36.00,36.00,36.00,36.00
GPS,18,36,47.00,45.00,46.00,45.00,46.00
GPS,20,36,39.00,39.00,39.00,39.00,39.00
GPS,24,36,43.00,42.00,43.00,42.00,42.00
GPS,32,36,43.00,42.00,43.00,42.00,42.00
QZS,2,36,29.00,22.00,28.00,25.00,26.00
QZS,3,36,42.00,40.00,42.00,41.00,42.00
QZS,7,36,40.00,39.00,40.00,39.00,40.00
