system,sat_id,count,max,min,p75,p25,median
BDS,1,37,49.00,48.00,49.00,49.00,49.00
BDS,2,37,45.00,45.00,45.00,45.00,45.00
BDS,3,37,49.00,48.00,49.00,49.00,49.00
BDS,4,37,43.00,42.00,43.00,42.00,43.00
BDS,6,37,44.00,44.00,44.00,44.00,44.00
BDS,7,37,50.00,50.00,50.00,50.00,50.00
BDS,10,37,46.00,46.00,46.00,46.00,46.00
BDS,11,37,43.00,40.00,43.00,42.00,42.00
BDS,12,37,41.00,41.00,41.00,41.00,41.00
BDS,20,37,45.00,45.00,45.00,45.00,45.00
BDS,23,37,48.00,48.00,48.00,48.00,48.00
BDS,25,37,28.00,27.00,28.00,27.00,28.00
BDS,27,37,34.00,29.00,33.00,30.00,31.00
BDS,29,37,45.00,44.00,45.00,44.00,45.00
BDS,30,37,45.00,44.00,45.00,44.00,44.00
BDS,37,37,47.00,46.00,47.00,46.00,47.00
BDS,41,37,44.00,44.00,44.00,44.00,44.00
GAL,3,37,44.00,44.00,44.00,44.00,44.00
GAL,11,37,36.00,35.00,35.00,35.00,35.00
GAL,16,37,44.00,43.00,43.00,43.00,43.00
GAL,31,37,34.00,30.00,34.00,31.00,33.00
GAL,34,37,48.00,47.00,48.00,48.00,48.00
GAL,36,37,49.00,49.00,49.00,49.00,49.00
GLO,6,37,43.00,42.00,42.00,42.00,42.00
GLO,8,37,39.00,39.00,39.00,39.00,39.00
GLO,9,37,46.00,44.00,46.00,45.00,45.00
GLO,10,37,35.00,34.00,35.00,34.00,34.00
GLO,21,37,36.00,34.00,36.00,35.00,36.00
GLO,22,37,45.00,44.00,44.00,44.00,44.00
GLO,23,37,45.00,44.00,45.00,45.00,45.00
GLO,26,37,39.00,39.00,39.00,39.00,39.00
GLO,27,37,35.00,34.00,35.00,34.00,35.00
GPS,10,14,21.00,16.00,19.75,18.00,19.00
GPS,12,5,24.00,21.00,23.00,22.00,23.00
GPS,13,37,35.00,33.00,34.00,33.00,33.00
GPS,15,37,40.00,39.00,39.00,39.00,39.00
GPS,18,37,46.00,45.00,45.00,45.00,45.00
GPS,20,37,42.00,40.00,42.00,40.00,42.00
GPS,24,37,47.00,47.00,47.00,47.00,47.00
GPS,32,37,38.00,38.00,38.00,38.00,38.00
QZS,3,37,42.00,41.00,42.00,41.00,41.00
QZS,7,37,39.00,38.00,38.00,38.00,38.00
