svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,589,48.0,45.0,46.0,47.0,46.5,46.487266553480474
BDS10,BDS,1767,48.5,41.75,42.75,46.5,45.5,44.95302773061687
BDS13,BDS,1178,47.25,41.75,42.0,46.75,44.125,44.38009337860781
BDS14,BDS,1178,45.75,27.0,32.5,45.0,42.25,39.68378607809847
BDS2,BDS,1156,44.25,41.0,41.5,42.75,42.0,42.13538062283737
BDS24,BDS,2356,50.25,32.0,42.9375,48.1875,46.0,44.2518039049236
BDS25,BDS,2356,49.5,44.25,45.0,47.5,46.25,46.2901103565365
BDS27,BDS,1699,47.0,26.5,33.5,45.0,39.5,39.101824602707474
BDS28,BDS,2325,40.75,19.0,36.25,38.0,37.0,36.44881720430107
BDS3,BDS,1178,45.25,39.25,40.0,43.5,42.75,41.88815789473684
BDS33,BDS,2356,51.0,29.5,44.6875,49.8125,48.25,45.72665534804754
BDS38,BDS,2070,47.5,27.25,32.25,46.5,34.0,37.06739130434783
BDS4,BDS,1178,46.75,41.0,41.5,45.75,43.375,43.66426146010187
BDS41,BDS,2316,38.25,25.75,31.0,35.25,32.75,33.04306994818653
BDS42,BDS,2305,39.25,20.0,32.0,36.0,34.25,33.73156182212581
BDS6,BDS,1178,47.5,40.75,41.25,46.5,43.625,43.921052631578945
BDS7,BDS,1178,47.75,44.0,45.25,46.75,45.5,45.81727504244482
BDS9,BDS,1767,46.5,42.75,44.25,45.5,45.0,44.76796830786644
GAL13,GAL,2356,50.0,40.25,43.875,47.25,46.25,45.782682512733444
GAL195,GAL,589,42.0,39.5,40.5,41.5,41.0,40.90025466893039
GAL2,GAL,1767,48.0,33.75,37.125,45.0,44.0,41.98853989813243
GAL26,GAL,2356,49.5,41.5,43.375,46.0,44.75,44.96317911714771
GAL29,GAL,2034,44.75,23.5,33.0,44.0,34.25,36.53502949852508
GAL30,GAL,2356,46.25,33.5,37.3125,43.5,41.0,40.171583191850594
GAL7,GAL,2356,51.25,37.5,44.4375,48.25,46.75,45.977398132427844
GLO39,GLO,589,44.25,28.5,36.5,40.0,38.25,37.879456706281836
GLO85,GLO,589,47.0,43.75,44.5,45.75,45.25,45.23769100169779
GLO86,GLO,1178,47.0,40.5,42.5,46.5,45.75,44.759762308998305
GLO91,GLO,1032,43.75,20.75,35.0,42.25,41.25,38.75484496124031
GLO98,GLO,1141,43.5,22.0,35.25,41.25,37.5,37.91849255039439
GPS10,GPS,1022,36.5,21.25,31.25,34.25,33.0,32.1908023483366
GPS12,GPS,1178,43.5,24.75,30.75,41.25,37.125,35.80539049235993
GPS13,GPS,1767,44.5,36.75,39.25,43.75,42.5,41.55899830220713
GPS15,GPS,1178,48.25,45.5,46.0,47.75,47.0,46.851867572156195
GPS18,GPS,1767,44.5,40.25,41.5,42.5,42.0,42.11601584606678
GPS20,GPS,1767,47.25,37.0,40.25,46.5,43.5,43.12167515563101
GPS23,GPS,1767,48.25,37.25,40.0,45.5,45.0,43.41284663271081
GPS24,GPS,1767,49.75,44.75,45.0,48.75,47.5,47.23641765704584
GPS25,GPS,1350,49.75,26.0,34.25,49.5,35.5,40.22925925925926
GPS48,GPS,589,31.0,21.75,27.25,29.0,28.25,28.070458404074703
QZS192,QZS,589,48.0,47.5,47.5,47.75,47.5,47.62691001697793
QZS386,QZS,1178,44.75,41.0,42.75,44.25,44.0,43.46498302207131
QZS390,QZS,1767,47.0,37.0,38.0,46.5,44.5,42.99476513865309
