svid,sys,n,r
BDS1,BDS,1494,0.6469865835362401
BDS14,BDS,6472,0.1944948872369562
BDS2,BDS,5490,0.1300518551182115
BDS21,BDS,18116,0.30441762341938755
BDS22,BDS,3546,-0.08296698173507443
BDS3,BDS,5904,0.1271276973887437
BDS34,BDS,15898,0.08353045693827461
BDS35,BDS,18221,0.11179914117485994
BDS4,BDS,5989,0.44073379682715264
BDS6,BDS,6472,0.4070093840214899
BDS7,BDS,1209,0.8812516481561726
BDS8,BDS,6496,0.019436486417823185
BDS9,BDS,13860,0.13263080001160557
GAL10,GAL,10603,0.025795596864423308
GAL11,GAL,18025,0.05281695999489492
GAL18,GAL,13787,0.31076111396617895
GAL194,GAL,1630,0.4636025418577695
GAL36,GAL,15671,0.1311972372889229
GAL5,GAL,8844,0.17200687694860306
GAL6,GAL,18470,0.3404341769813544
GAL9,GAL,18505,0.3316895043010888
GLO42,GLO,1630,0.06854856458860499
GLO76,GLO,5707,0.1716142552413454
GLO82,GLO,6520,0.030903714875311704
GLO96,GLO,6520,0.3149540354499434
GLO97,GLO,1630,0.9682659132959366
GPS11,GPS,12863,0.11719366651948789
GPS15,GPS,5957,0.2962834423771765
GPS20,GPS,8399,0.32211620981709893
GPS21,GPS,558,-0.3854525490131468
GPS29,GPS,5946,0.28655011750741805
GPS30,GPS,1905,-0.07238187402029868
GPS38,GPS,1630,0.07374823858844477
GPS5,GPS,1439,0.33115410813856105
GPS6,GPS,447,0.4303368441734438
QZS192,QZS,1630,0.8312901021317238
QZS385,QZS,3699,0.04702803632907926
QZS386,QZS,12844,0.02787946370296464
QZS390,QZS,12866,0.15802171853671962
