svid,sys,n,r
BDS1,BDS,6177,0.36636628825177525
BDS14,BDS,6472,0.394092959797227
BDS2,BDS,5490,0.5214701086723149
BDS21,BDS,18116,0.3782212700862403
BDS22,BDS,3546,0.35114857386532905
BDS3,BDS,5904,0.40985071105334414
BDS34,BDS,15898,0.0810989036105733
BDS35,BDS,18221,0.3119954066548219
BDS4,BDS,5989,0.527421088849209
BDS6,BDS,6472,0.4814776824080617
BDS7,BDS,1209,0.30393805965237447
BDS8,BDS,6496,0.398350777138032
BDS9,BDS,13860,0.387726474778249
GAL10,GAL,10603,0.049395391055370365
GAL11,GAL,18025,0.3088808798099077
GAL18,GAL,13787,0.3651630799707575
GAL36,GAL,15671,0.24058713098880782
GAL5,GAL,18193,0.24966579851980833
GAL6,GAL,18470,0.39763331581869543
GAL9,GAL,18505,0.39736733874190877
GLO75,GLO,1630,0.32162102863357284
GLO76,GLO,5707,0.24744542378621753
GLO82,GLO,6520,0.28168801938860927
GLO96,GLO,6520,0.34182791773353244
GLO97,GLO,1630,0.6374806541272448
GPS11,GPS,12863,0.24304700486905648
GPS15,GPS,5957,0.1908864411947582
GPS20,GPS,8399,0.2708203810394811
GPS21,GPS,558,0.404407707084073
GPS29,GPS,5946,0.11317607317521824
GPS30,GPS,1905,-0.15361048076255193
GPS5,GPS,5951,0.14493806425794886
GPS6,GPS,447,0.40612322421624913
QZS385,QZS,9967,-0.022737810977950655
QZS386,QZS,12844,0.21878445674932953
QZS390,QZS,12866,0.14315415465564288
