segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,100,48.25,45.75,46.5,47.5,47.0
无干扰 #1,BDS14,BDS,100,39.5,37.5,37.75,39.25,38.625
无干扰 #1,BDS2,BDS,100,39.75,37.5,38.0,39.25,38.5
无干扰 #1,BDS21,BDS,200,47.25,43.5,44.25,45.25,44.5
无干扰 #1,BDS22,BDS,133,33.25,26.0,29.5,30.5,30.0
无干扰 #1,BDS3,BDS,100,46.5,43.0,43.25,46.0,44.625
无干扰 #1,BDS34,BDS,161,39.25,32.0,33.0,38.5,34.25
无干扰 #1,BDS35,BDS,200,47.25,42.0,43.125,45.3125,44.125
无干扰 #1,BDS4,BDS,100,44.25,42.75,43.5,44.0,43.75
无干扰 #1,BDS6,BDS,100,47.5,45.5,45.5,47.25,46.5
无干扰 #1,BDS7,BDS,50,30.0,28.5,28.8125,29.5,29.0
无干扰 #1,BDS8,BDS,100,45.5,44.75,45.0,45.5,45.25
无干扰 #1,BDS9,BDS,150,39.75,34.75,35.75,39.5,37.0
无干扰 #1,GAL10,GAL,200,36.75,27.0,29.5,33.4375,30.75
无干扰 #1,GAL11,GAL,200,46.75,41.75,42.5,45.1875,42.875
无干扰 #1,GAL18,GAL,150,45.25,36.25,36.5,44.75,37.5
无干扰 #1,GAL34,GAL,200,37.0,27.5,30.8125,34.8125,33.25
无干扰 #1,GAL36,GAL,194,39.5,32.0,32.5,34.25,33.75
无干扰 #1,GAL5,GAL,200,48.75,41.5,44.625,47.375,46.25
无干扰 #1,GAL6,GAL,200,47.75,42.0,44.375,45.9375,45.25
无干扰 #1,GAL9,GAL,200,49.5,45.5,46.125,47.25,46.375
无干扰 #1,GLO75,GLO,50,44.75,41.75,42.5,44.25,43.25
无干扰 #1,GLO76,GLO,62,37.25,28.0,36.25,37.0,36.5
无干扰 #1,GLO80,GLO,100,35.75,29.0,33.25,35.25,34.625
无干扰 #1,GLO82,GLO,100,47.0,45.0,45.25,46.75,46.125
无干扰 #1,GLO96,GLO,100,45.5,43.5,43.75,45.25,44.375
无干扰 #1,GLO97,GLO,50,45.75,45.25,45.5,45.75,45.5
无干扰 #1,GPS11,GPS,150,47.5,44.0,44.25,47.25,44.75
无干扰 #1,GPS15,GPS,100,45.25,41.75,43.4375,44.75,44.125
无干扰 #1,GPS20,GPS,150,47.5,43.5,44.0,47.25,45.0
无干扰 #1,GPS29,GPS,100,36.0,31.25,32.1875,34.4375,32.75
无干扰 #1,GPS5,GPS,100,44.5,41.75,42.0,44.5,43.125
无干扰 #1,GPS6,GPS,50,32.25,29.0,29.25,31.4375,29.5
