svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,1561,48.25,30.75,47.0,47.5,47.25,45.81518257527226
BDS14,BDS,3276,41.5,23.0,37.0,39.5,37.5,37.33890415140415
BDS2,BDS,2942,48.25,26.5,39.0,46.5,45.5,42.34517335146159
BDS21,BDS,6309,51.0,25.75,39.75,45.5,44.5,42.37232524964337
BDS22,BDS,2507,45.0,14.0,27.25,43.75,43.25,35.62465097726366
BDS3,BDS,3058,47.0,27.5,37.75,46.0,39.0,41.15794637017659
BDS34,BDS,5906,44.0,15.0,30.0,37.0,35.5,33.53818151032848
BDS35,BDS,6369,48.25,25.0,35.25,44.0,42.75,40.26534777830115
BDS4,BDS,3100,46.5,31.0,43.5,45.5,44.5,43.971612903225804
BDS6,BDS,3276,48.0,29.25,44.25,47.25,44.75,45.02815934065934
BDS7,BDS,1475,46.25,34.0,45.25,45.875,45.5,44.22101694915254
BDS8,BDS,3276,46.5,16.25,26.75,45.25,34.75,35.92490842490842
BDS9,BDS,4773,46.25,24.0,36.75,45.5,38.5,39.268960821286406
GAL10,GAL,3620,46.5,17.25,32.0,45.5,37.25,37.49309392265194
GAL11,GAL,6315,47.75,22.5,36.5,45.0,42.25,41.11468725257324
GAL18,GAL,4737,46.25,25.25,39.25,43.5,42.25,40.89196748997256
GAL194,GAL,1638,37.75,19.0,33.5,35.0,34.25,34.27090964590965
GAL34,GAL,5427,42.0,20.0,32.0,37.75,36.0,35.32126405011977
GAL36,GAL,5740,43.0,15.75,33.5,37.25,34.75,35.133101045296165
GAL5,GAL,4734,50.25,21.0,43.0,48.0,47.0,45.61713138994508
GAL6,GAL,6376,48.0,29.25,43.25,46.25,45.0,44.25035288582183
GAL9,GAL,6376,50.75,18.5,46.0,48.25,47.0,46.37425501882058
GLO42,GLO,1638,46.0,32.5,44.5,45.5,45.25,43.91346153846154
GLO76,GLO,2981,45.0,17.0,36.0,42.25,38.5,38.57774236833277
GLO80,GLO,3083,43.75,20.5,34.0,40.5,36.5,36.546464482646776
GLO81,GLO,114,40.75,38.25,38.75,40.25,39.5,39.469298245614034
GLO82,GLO,3276,45.5,19.75,35.25,40.75,37.0,37.47870879120879
GLO96,GLO,3276,47.75,23.25,43.0,46.5,45.75,43.8009768009768
GLO97,GLO,1638,45.25,31.75,43.25,44.0,43.75,42.499542124542124
GPS11,GPS,4550,47.75,14.5,42.75,45.0,44.25,42.481263736263735
GPS15,GPS,3088,50.0,23.75,44.25,47.25,45.0,45.22045012953368
GPS20,GPS,3647,47.0,18.5,41.75,44.25,43.5,42.855977515766384
GPS21,GPS,584,47.25,46.25,46.5,47.0,46.75,46.70633561643836
GPS29,GPS,3086,48.0,18.0,33.75,45.5,36.25,38.081335061568375
GPS30,GPS,1161,35.75,18.0,29.0,33.75,31.25,30.858957795004308
GPS38,GPS,1638,36.25,18.25,30.5,34.5,32.75,32.06105006105006
GPS5,GPS,1447,47.5,39.25,44.5,46.5,45.25,44.942985487214926
GPS6,GPS,382,46.25,22.25,41.25,45.75,42.0,42.839005235602095
QZS192,QZS,1638,49.5,16.0,46.5,47.75,47.5,46.3556166056166
QZS385,QZS,2208,36.25,18.0,26.75,31.25,29.0,28.75192481884058
QZS386,QZS,4550,45.5,20.0,34.5,44.25,43.25,39.77983516483516
QZS390,QZS,4558,48.5,18.5,39.0,46.0,43.75,42.46237384817903
