segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1387,0.001953125,0.0020531047224224947,0.001953125,0.00390625
无干扰 #1,GAL,1045,0.001953125,0.0021232057416267942,0.001953125,0.00390625
无干扰 #1,GLO,478,0.001953125,0.002239147489539749,0.001953125,0.00390625
无干扰 #1,GPS,650,0.001953125,0.002118389423076923,0.001953125,0.00390625
无干扰 #1,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
409MHz 干扰,BDS,1035,0.001953125,0.00238149154589372,0.001953125,0.00390625
409MHz 干扰,GAL,789,0.001953125,0.002292260773130545,0.001953125,0.00390625
409MHz 干扰,GLO,368,0.001953125,0.002043350883152174,0.001953125,0.00390625
409MHz 干扰,GPS,400,0.001953125,0.002197265625,0.001953125,0.00390625
409MHz 干扰,QZS,250,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,BDS,1450,0.001953125,0.0020204741379310346,0.001953125,0.00390625
无干扰 #2,GAL,976,0.001953125,0.002015160732581967,0.001953125,0.00390625
无干扰 #2,GLO,500,0.001953125,0.00225,0.001953125,0.00390625
无干扰 #2,GPS,650,0.001953125,0.0023407451923076923,0.001953125,0.005859375
无干扰 #2,QZS,400,0.001953125,0.001953125,0.001953125,0.001953125
392MHz 干扰,BDS,1274,0.001953125,0.002247473508634223,0.001953125,0.00390625
392MHz 干扰,GAL,612,0.001953125,0.002071206086601307,0.001953125,0.00390625
392MHz 干扰,GLO,500,0.001953125,0.00197265625,0.001953125,0.00390625
392MHz 干扰,GPS,500,0.001953125,0.0021171875,0.001953125,0.00390625
392MHz 干扰,QZS,300,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,BDS,1430,0.001953125,0.002066488199300699,0.001953125,0.00390625
无干扰 #3,GAL,1049,0.001953125,0.0021020763822688273,0.001953125,0.00390625
无干扰 #3,GLO,500,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GPS,630,0.001953125,0.0023313492063492063,0.001953125,0.005859375
无干扰 #3,QZS,419,0.001953125,0.002027707338902148,0.001953125,0.00390625
4G/5G 干扰,BDS,1383,0.001953125,0.0019573617136659435,0.001953125,0.00390625
4G/5G 干扰,GAL,1050,0.001953125,0.0020405505952380953,0.001953125,0.00390625
4G/5G 干扰,GLO,494,0.001953125,0.0021270875506072874,0.001953125,0.00390625
4G/5G 干扰,GPS,617,0.001953125,0.0021683802674230144,0.001953125,0.005859375
4G/5G 干扰,QZS,450,0.001953125,0.0020052083333333332,0.001953125,0.00390625
无干扰 #4,BDS,1418,0.001953125,0.0021280522743300423,0.001953125,0.00390625
无干扰 #4,GAL,1046,0.001953125,0.0019942041108986616,0.001953125,0.00390625
无干扰 #4,GLO,500,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GPS,600,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,BDS,1391,0.001953125,0.0020935365744069014,0.001953125,0.00390625
Wi-Fi 干扰,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GLO,472,0.001953125,0.0019903667902542374,0.001953125,0.00390625
Wi-Fi 干扰,GPS,700,0.001953125,0.0021875,0.001953125,0.005859375
Wi-Fi 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,BDS,1342,0.001953125,0.002025894187779434,0.001953125,0.00390625
无干扰 #5,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GLO,489,0.001953125,0.0020370015337423312,0.001953125,0.00390625
无干扰 #5,GPS,750,0.001953125,0.0021979166666666666,0.001953125,0.005859375
无干扰 #5,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
