segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,600,0.253,0.2635833333333334,0.001953125,43.5,499.78125
无干扰 #1,B2,200,0.253,0.25300000000000006,0.001953125,39.5,289.6875
无干扰 #1,B3,587,0.253,0.2581431005110733,0.001953125,43.0,495.875
无干扰 #1,E1,350,0.253,0.27840000000000004,0.001953125,43.0,496.4375
无干扰 #1,E5a,345,0.253,0.2714057971014493,0.001953125,40.0,493.5
无干扰 #1,E5b,350,0.253,0.23500000000000007,0.001953125,46.0,494.828125
无干扰 #1,L1,728,0.253,0.28003846153846157,0.001953125,41.0,498.09375
无干扰 #1,L2,600,0.253,0.2524733333333334,0.001953125,42.0,493.09375
无干扰 #1,L5,250,0.253,0.25857600000000003,0.001953125,47.0,498.375
409MHz 干扰,B1,638,0.253,0.26573981191222573,0.001953125,44.0,535.1875
409MHz 干扰,B2,148,0.253,0.29590540540540544,0.001953125,33.0,0.28125
409MHz 干扰,B3,249,0.38,0.35116465863453816,0.00390625,29.0,0.1875
409MHz 干扰,E1,300,0.253,0.25300000000000006,0.001953125,43.5,534.59375
409MHz 干扰,E5a,239,0.38,0.3284518828451883,0.001953125,31.0,531.09375
409MHz 干扰,E5b,250,0.253,0.305832,0.001953125,32.0,0.09375
409MHz 干扰,L1,718,0.253,0.26485097493036214,0.001953125,41.0,534.0
409MHz 干扰,L2,100,0.253,0.26570000000000005,0.001953125,33.5,0.9375
409MHz 干扰,L5,200,0.253,0.25300000000000006,0.001953125,36.0,535.4375
无干扰 #2,B1,650,0.253,0.2627692307692308,0.001953125,43.0,570.046875
无干扰 #2,B2,200,0.253,0.25300000000000006,0.001953125,40.5,16.28125
无干扰 #2,B3,600,0.253,0.25554000000000004,0.001953125,43.0,17.328125
无干扰 #2,E1,334,0.253,0.2739131736526947,0.001953125,43.0,568.046875
无干扰 #2,E5a,322,0.253,0.26128260869565223,0.001953125,41.0,21.046875
无干扰 #2,E5b,320,0.253,0.22675000000000006,0.001953125,46.0,16.375
无干扰 #2,L1,750,0.253,0.2867693333333334,0.001953125,41.0,568.546875
无干扰 #2,L2,600,0.253,0.2705683333333334,0.001953125,42.0,15.640625
无干扰 #2,L5,200,0.253,0.22486000000000003,0.001953125,47.0,570.4375
392MHz 干扰,B1,650,0.253,0.2649184615384616,0.001953125,41.0,14.6875
392MHz 干扰,B2,50,0.38,0.37999999999999995,0.00390625,28.0,1.140625
392MHz 干扰,B3,574,0.253,0.27158536585365856,0.001953125,40.0,51.328125
392MHz 干扰,E1,350,0.253,0.2678771428571429,0.001953125,43.0,17.640625
392MHz 干扰,E5b,262,0.253,0.2617251908396947,0.001953125,42.0,51.9375
392MHz 干扰,L1,700,0.253,0.2549957142857144,0.001953125,41.0,17.59375
