baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,L1,0.253,0.253,0.0,41.0,41.0,0.0
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,39.5,33.0,-6.5
无干扰 #1,409MHz 干扰,B3,0.253,0.38,0.127,43.0,29.0,-14.0
无干扰 #1,409MHz 干扰,L5,0.253,0.253,0.0,47.0,36.0,-11.0
无干扰 #1,409MHz 干扰,E1,0.253,0.253,0.0,43.0,43.5,0.5
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,43.5,44.0,0.5
无干扰 #1,409MHz 干扰,E5b,0.253,0.253,0.0,46.0,32.0,-14.0
无干扰 #1,409MHz 干扰,E5a,0.253,0.38,0.127,40.0,31.0,-9.0
无干扰 #1,409MHz 干扰,L2,0.253,0.253,0.0,42.0,33.5,-8.5
无干扰 #2,392MHz 干扰,L1,0.253,0.253,0.0,41.0,41.0,0.0
无干扰 #2,392MHz 干扰,B2,0.253,0.38,0.127,40.5,28.0,-12.5
无干扰 #2,392MHz 干扰,B3,0.253,0.253,0.0,43.0,40.0,-3.0
无干扰 #2,392MHz 干扰,E1,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #2,392MHz 干扰,B1,0.253,0.253,0.0,43.0,41.0,-2.0
无干扰 #2,392MHz 干扰,E5b,0.253,0.253,0.0,46.0,42.0,-4.0
无干扰 #2,392MHz 干扰,L2,0.253,0.253,0.0,42.0,42.5,0.5
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,40.0,40.0,0.0
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,40.5,45.0,4.5
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,47.0,46.0,-1.0
无干扰 #3,4G/5G 干扰,E1,0.253,0.253,0.0,42.0,43.0,1.0
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,E5b,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,40.0,40.0,0.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,43.0,44.0,1.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,40.0,39.0,-1.0
无干扰 #4,Wi-Fi 干扰,B2,0.253,0.253,0.0,39.0,44.0,5.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,46.5,46.0,-0.5
无干扰 #4,Wi-Fi 干扰,E1,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,41.0,42.0,1.0
无干扰 #4,Wi-Fi 干扰,E5b,0.253,0.253,0.0,47.0,47.0,0.0
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,39.0,40.0,1.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,43.0,43.0,0.0
