baseline_seg,interf_seg,svid,pre_cno,interf_cno,delta
无干扰 #1,409MHz 干扰,BDS1,44.75,45.25,0.5
无干扰 #1,409MHz 干扰,BDS10,44.75,45.0,0.25
无干扰 #1,409MHz 干扰,BDS2,40.625,41.0,0.375
无干扰 #1,409MHz 干扰,BDS23,43.75,38.25,-5.5
无干扰 #1,409MHz 干扰,BDS24,46.25,44.375,-1.875
无干扰 #1,409MHz 干扰,BDS25,46.25,41.5,-4.75
无干扰 #1,409MHz 干扰,BDS3,44.25,47.875,3.625
无干扰 #1,409MHz 干扰,BDS33,48.0,43.75,-4.25
无干扰 #1,409MHz 干扰,BDS4,44.25,46.625,2.375
无干扰 #1,409MHz 干扰,BDS41,44.75,43.0,-1.75
无干扰 #1,409MHz 干扰,BDS42,40.25,35.5,-4.75
无干扰 #1,409MHz 干扰,BDS6,45.375,43.5,-1.875
无干扰 #1,409MHz 干扰,BDS7,46.25,43.5,-2.75
无干扰 #1,409MHz 干扰,BDS9,44.5,44.5,0.0
无干扰 #1,409MHz 干扰,GAL13,43.75,43.875,0.125
无干扰 #1,409MHz 干扰,GAL2,44.25,46.25,2.0
无干扰 #1,409MHz 干扰,GAL26,36.75,33.625,-3.125
无干扰 #1,409MHz 干扰,GAL27,40.75,37.75,-3.0
无干扰 #1,409MHz 干扰,GAL30,46.75,47.25,0.5
无干扰 #1,409MHz 干扰,GAL32,45.25,45.25,0.0
无干扰 #1,409MHz 干扰,GAL7,45.0,45.0,0.0
无干扰 #1,409MHz 干扰,GAL8,44.875,42.75,-2.125
无干扰 #1,409MHz 干扰,GLO100,45.75,42.75,-3.0
无干扰 #1,409MHz 干扰,GLO75,37.75,36.0,-1.75
无干扰 #1,409MHz 干扰,GLO76,27.375,31.75,4.375
无干扰 #1,409MHz 干扰,GLO82,32.75,24.25,-8.5
无干扰 #1,409MHz 干扰,GLO85,45.5,41.125,-4.375
无干扰 #1,409MHz 干扰,GLO86,45.875,44.0,-1.875
无干扰 #1,409MHz 干扰,GLO91,30.75,37.0,6.25
无干扰 #1,409MHz 干扰,GLO98,28.0,25.75,-2.25
无干扰 #1,409MHz 干扰,GPS10,47.0,45.0,-2.0
无干扰 #1,409MHz 干扰,GPS12,43.75,46.25,2.5
无干扰 #1,409MHz 干扰,GPS13,45.25,43.875,-1.375
无干扰 #1,409MHz 干扰,GPS18,34.25,30.875,-3.375
无干扰 #1,409MHz 干扰,GPS23,46.5,45.125,-1.375
无干扰 #1,409MHz 干扰,GPS25,45.375,43.875,-1.5
无干扰 #1,409MHz 干扰,GPS28,39.0,36.625,-2.375
无干扰 #1,409MHz 干扰,GPS32,35.25,34.25,-1.0
无干扰 #1,409MHz 干扰,QZS385,42.25,40.625,-1.625
无干扰 #1,409MHz 干扰,QZS386,39.75,38.875,-0.875
无干扰 #1,409MHz 干扰,QZS390,45.25,41.125,-4.125
无干扰 #2,392MHz 干扰,BDS1,45.0,36.25,-8.75
无干扰 #2,392MHz 干扰,BDS10,45.125,38.5,-6.625
无干扰 #2,392MHz 干扰,BDS2,41.0,31.0,-10.0
无干扰 #2,392MHz 干扰,BDS23,43.0,34.75,-8.25
无干扰 #2,392MHz 干扰,BDS24,46.0,37.0,-9.0
无干扰 #2,392MHz 干扰,BDS25,46.25,37.625,-8.625
无干扰 #2,392MHz 干扰,BDS3,46.0,40.5,-5.5
无干扰 #2,392MHz 干扰,BDS33,47.5,39.0,-8.5
无干扰 #2,392MHz 干扰,BDS4,44.625,38.0,-6.625
无干扰 #2,392MHz 干扰,BDS41,44.75,36.75,-8.0
无干扰 #2,392MHz 干扰,BDS42,36.0,28.0,-8.0
无干扰 #2,392MHz 干扰,BDS6,45.25,37.5,-7.75
无干扰 #2,392MHz 干扰,BDS7,46.125,38.25,-7.875
无干扰 #2,392MHz 干扰,BDS9,45.0,38.75,-6.25
无干扰 #2,392MHz 干扰,GAL13,42.625,38.625,-4.0
无干扰 #2,392MHz 干扰,GAL2,45.5,41.5,-4.0
无干扰 #2,392MHz 干扰,GAL26,36.125,30.375,-5.75
无干扰 #2,392MHz 干扰,GAL27,41.625,34.25,-7.375
无干扰 #2,392MHz 干扰,GAL30,47.25,43.25,-4.0
无干扰 #2,392MHz 干扰,GAL32,43.25,42.25,-1.0
无干扰 #2,392MHz 干扰,GAL7,44.5,42.25,-2.25
无干扰 #2,392MHz 干扰,GAL8,45.0,41.625,-3.375
无干扰 #2,392MHz 干扰,GLO100,44.5,43.25,-1.25
无干扰 #2,392MHz 干扰,GLO75,34.5,23.625,-10.875
无干扰 #2,392MHz 干扰,GLO76,31.0,28.0,-3.0
无干扰 #2,392MHz 干扰,GLO82,31.5,35.25,3.75
无干扰 #2,392MHz 干扰,GLO85,45.75,42.125,-3.625
无干扰 #2,392MHz 干扰,GLO86,45.375,42.875,-2.5
无干扰 #2,392MHz 干扰,GLO91,37.875,28.375,-9.5
无干扰 #2,392MHz 干扰,GLO98,26.5,26.25,-0.25
无干扰 #2,392MHz 干扰,GPS10,46.75,44.25,-2.5
无干扰 #2,392MHz 干扰,GPS12,42.5,42.0,-0.5
无干扰 #2,392MHz 干扰,GPS13,45.75,43.75,-2.0
无干扰 #2,392MHz 干扰,GPS18,33.0,28.0,-5.0
无干扰 #2,392MHz 干扰,GPS23,46.75,45.125,-1.625
无干扰 #2,392MHz 干扰,GPS25,44.25,42.25,-2.0
无干扰 #2,392MHz 干扰,GPS28,37.0,33.875,-3.125
无干扰 #2,392MHz 干扰,GPS32,36.25,31.875,-4.375
无干扰 #2,392MHz 干扰,QZS385,42.25,40.0,-2.25
无干扰 #2,392MHz 干扰,QZS386,40.25,38.75,-1.5
无干扰 #2,392MHz 干扰,QZS390,45.25,41.0,-4.25
无干扰 #3,4G/5G 干扰,BDS1,45.25,45.25,0.0
无干扰 #3,4G/5G 干扰,BDS10,45.5,44.5,-1.0
无干扰 #3,4G/5G 干扰,BDS2,41.25,41.5,0.25
无干扰 #3,4G/5G 干扰,BDS23,43.5,43.25,-0.25
无干扰 #3,4G/5G 干扰,BDS24,46.25,47.0,0.75
无干扰 #3,4G/5G 干扰,BDS25,46.75,47.0,0.25
无干扰 #3,4G/5G 干扰,BDS3,46.25,45.75,-0.5
无干扰 #3,4G/5G 干扰,BDS33,47.0,48.25,1.25
无干扰 #3,4G/5G 干扰,BDS4,44.625,44.125,-0.5
无干扰 #3,4G/5G 干扰,BDS41,45.75,45.75,0.0
无干扰 #3,4G/5G 干扰,BDS42,35.5,35.75,0.25
无干扰 #3,4G/5G 干扰,BDS6,45.375,46.0,0.625
无干扰 #3,4G/5G 干扰,BDS7,45.625,46.5,0.875
无干扰 #3,4G/5G 干扰,BDS9,44.75,45.5,0.75
无干扰 #3,4G/5G 干扰,GAL13,42.25,41.75,-0.5
无干扰 #3,4G/5G 干扰,GAL2,44.5,43.25,-1.25
无干扰 #3,4G/5G 干扰,GAL26,38.25,38.25,0.0
无干扰 #3,4G/5G 干扰,GAL27,40.75,40.5,-0.25
无干扰 #3,4G/5G 干扰,GAL30,46.75,47.0,0.25
无干扰 #3,4G/5G 干扰,GAL32,45.5,43.5,-2.0
无干扰 #3,4G/5G 干扰,GAL7,45.5,45.0,-0.5
无干扰 #3,4G/5G 干扰,GAL8,45.75,46.25,0.5
无干扰 #3,4G/5G 干扰,GLO100,44.75,45.125,0.375
无干扰 #3,4G/5G 干扰,GLO75,32.375,30.75,-1.625
无干扰 #3,4G/5G 干扰,GLO76,33.0,30.0,-3.0
无干扰 #3,4G/5G 干扰,GLO82,30.125,32.0,1.875
无干扰 #3,4G/5G 干扰,GLO85,45.875,46.25,0.375
无干扰 #3,4G/5G 干扰,GLO86,45.5,45.5,0.0
无干扰 #3,4G/5G 干扰,GLO91,33.75,37.5,3.75
无干扰 #3,4G/5G 干扰,GLO98,32.5,32.5,0.0
无干扰 #3,4G/5G 干扰,GPS10,46.0,46.25,0.25
无干扰 #3,4G/5G 干扰,GPS12,43.875,43.875,0.0
无干扰 #3,4G/5G 干扰,GPS13,44.75,44.375,-0.375
无干扰 #3,4G/5G 干扰,GPS18,32.25,32.25,0.0
无干扰 #3,4G/5G 干扰,GPS23,46.5,46.25,-0.25
无干扰 #3,4G/5G 干扰,GPS25,45.25,45.5,0.25
无干扰 #3,4G/5G 干扰,GPS28,38.25,38.75,0.5
无干扰 #3,4G/5G 干扰,GPS32,36.0,35.0,-1.0
无干扰 #3,4G/5G 干扰,QZS385,41.75,41.5,-0.25
无干扰 #3,4G/5G 干扰,QZS386,39.75,40.5,0.75
无干扰 #3,4G/5G 干扰,QZS390,45.0,45.25,0.25
无干扰 #4,Wi-Fi 干扰,BDS1,45.0,44.75,-0.25
无干扰 #4,Wi-Fi 干扰,BDS10,45.25,44.5,-0.75
无干扰 #4,Wi-Fi 干扰,BDS2,41.0,41.0,0.0
无干扰 #4,Wi-Fi 干扰,BDS23,43.25,42.75,-0.5
无干扰 #4,Wi-Fi 干扰,BDS24,46.5,45.0,-1.5
无干扰 #4,Wi-Fi 干扰,BDS25,46.75,46.25,-0.5
无干扰 #4,Wi-Fi 干扰,BDS3,46.25,45.5,-0.75
无干扰 #4,Wi-Fi 干扰,BDS33,48.0,48.0,0.0
无干扰 #4,Wi-Fi 干扰,BDS4,44.75,43.75,-1.0
无干扰 #4,Wi-Fi 干扰,BDS41,45.75,45.5,-0.25
无干扰 #4,Wi-Fi 干扰,BDS42,33.75,36.5,2.75
无干扰 #4,Wi-Fi 干扰,BDS6,45.875,46.0,0.125
无干扰 #4,Wi-Fi 干扰,BDS7,46.375,47.0,0.625
无干扰 #4,Wi-Fi 干扰,BDS9,44.5,45.25,0.75
无干扰 #4,Wi-Fi 干扰,GAL13,41.5,41.25,-0.25
无干扰 #4,Wi-Fi 干扰,GAL2,44.25,44.0,-0.25
无干扰 #4,Wi-Fi 干扰,GAL26,37.0,37.5,0.5
无干扰 #4,Wi-Fi 干扰,GAL27,38.25,40.25,2.0
无干扰 #4,Wi-Fi 干扰,GAL30,47.5,46.75,-0.75
无干扰 #4,Wi-Fi 干扰,GAL32,44.5,44.75,0.25
无干扰 #4,Wi-Fi 干扰,GAL7,45.75,46.125,0.375
无干扰 #4,Wi-Fi 干扰,GAL8,46.5,46.25,-0.25
无干扰 #4,Wi-Fi 干扰,GLO100,45.0,46.0,1.0
无干扰 #4,Wi-Fi 干扰,GLO75,26.75,22.625,-4.125
无干扰 #4,Wi-Fi 干扰,GLO76,31.5,31.75,0.25
无干扰 #4,Wi-Fi 干扰,GLO82,37.5,31.75,-5.75
无干扰 #4,Wi-Fi 干扰,GLO85,45.75,45.875,0.125
无干扰 #4,Wi-Fi 干扰,GLO86,45.25,44.625,-0.625
无干扰 #4,Wi-Fi 干扰,GLO91,32.125,35.5,3.375
无干扰 #4,Wi-Fi 干扰,GLO98,31.75,31.5,-0.25
