baseline_seg,interf_seg,svid,pre_cno,interf_cno,delta
无干扰 #1,409MHz 干扰,BDS1,44.0,45.75,1.75
无干扰 #1,409MHz 干扰,BDS10,44.75,45.0,0.25
无干扰 #1,409MHz 干扰,BDS2,42.5,40.75,-1.75
无干扰 #1,409MHz 干扰,BDS23,43.0,38.25,-4.75
无干扰 #1,409MHz 干扰,BDS24,44.75,44.375,-0.375
无干扰 #1,409MHz 干扰,BDS25,46.25,40.75,-5.5
无干扰 #1,409MHz 干扰,BDS3,43.75,41.5,-2.25
无干扰 #1,409MHz 干扰,BDS33,46.25,43.75,-2.5
无干扰 #1,409MHz 干扰,BDS4,43.5,46.75,3.25
无干扰 #1,409MHz 干扰,BDS41,47.5,43.0,-4.5
无干扰 #1,409MHz 干扰,BDS42,44.0,37.5,-6.5
无干扰 #1,409MHz 干扰,BDS6,43.25,44.0,0.75
无干扰 #1,409MHz 干扰,BDS7,46.625,44.375,-2.25
无干扰 #1,409MHz 干扰,BDS9,45.25,44.5,-0.75
无干扰 #1,409MHz 干扰,GAL13,44.75,43.875,-0.875
无干扰 #1,409MHz 干扰,GAL194,44.0,40.25,-3.75
无干扰 #1,409MHz 干扰,GAL2,45.625,47.25,1.625
无干扰 #1,409MHz 干扰,GAL26,37.25,35.0,-2.25
无干扰 #1,409MHz 干扰,GAL27,37.0,33.25,-3.75
无干扰 #1,409MHz 干扰,GAL30,46.75,47.25,0.5
无干扰 #1,409MHz 干扰,GAL32,45.25,45.25,0.0
无干扰 #1,409MHz 干扰,GAL7,44.25,45.0,0.75
无干扰 #1,409MHz 干扰,GAL8,45.0,42.75,-2.25
无干扰 #1,409MHz 干扰,GLO100,38.25,41.75,3.5
无干扰 #1,409MHz 干扰,GLO39,45.75,39.75,-6.0
无干扰 #1,409MHz 干扰,GLO76,37.5,36.0,-1.5
无干扰 #1,409MHz 干扰,GLO82,27.5,31.75,4.25
无干扰 #1,409MHz 干扰,GLO85,39.625,39.5,-0.125
无干扰 #1,409MHz 干扰,GLO86,46.375,42.0,-4.375
无干扰 #1,409MHz 干扰,GLO91,46.0,40.75,-5.25
无干扰 #1,409MHz 干扰,GLO98,29.5,38.25,8.75
无干扰 #1,409MHz 干扰,GPS10,45.625,46.0,0.375
无干扰 #1,409MHz 干扰,GPS12,46.875,43.75,-3.125
无干扰 #1,409MHz 干扰,GPS13,42.75,45.125,2.375
无干扰 #1,409MHz 干扰,GPS18,37.0,39.375,2.375
无干扰 #1,409MHz 干扰,GPS23,45.25,35.5,-9.75
无干扰 #1,409MHz 干扰,GPS25,45.375,45.0,-0.375
无干扰 #1,409MHz 干扰,GPS28,39.75,41.625,1.875
无干扰 #1,409MHz 干扰,GPS32,36.0,34.875,-1.125
无干扰 #1,409MHz 干扰,GPS38,35.25,32.25,-3.0
无干扰 #1,409MHz 干扰,QZS192,48.5,43.375,-5.125
无干扰 #1,409MHz 干扰,QZS385,41.75,42.75,1.0
无干扰 #1,409MHz 干扰,QZS386,39.75,39.375,-0.375
无干扰 #1,409MHz 干扰,QZS390,43.75,38.75,-5.0
无干扰 #2,392MHz 干扰,BDS1,44.5,35.75,-8.75
无干扰 #2,392MHz 干扰,BDS10,45.125,38.5,-6.625
无干扰 #2,392MHz 干扰,BDS2,43.0,36.25,-6.75
无干扰 #2,392MHz 干扰,BDS23,42.875,34.875,-8.0
无干扰 #2,392MHz 干扰,BDS24,46.0,36.125,-9.875
无干扰 #2,392MHz 干扰,BDS25,44.0,36.25,-7.75
无干扰 #2,392MHz 干扰,BDS3,41.5,31.75,-9.75
无干扰 #2,392MHz 干扰,BDS33,46.25,37.625,-8.625
无干扰 #2,392MHz 干扰,BDS4,45.0,38.25,-6.75
无干扰 #2,392MHz 干扰,BDS41,47.5,38.125,-9.375
无干扰 #2,392MHz 干扰,BDS42,37.25,36.25,-1.0
无干扰 #2,392MHz 干扰,BDS6,43.75,36.5,-7.25
无干扰 #2,392MHz 干扰,BDS7,46.375,38.625,-7.75
无干扰 #2,392MHz 干扰,BDS9,45.75,38.75,-7.0
无干扰 #2,392MHz 干扰,GAL13,45.0,41.75,-3.25
无干扰 #2,392MHz 干扰,GAL194,43.0,42.0,-1.0
无干扰 #2,392MHz 干扰,GAL2,46.875,41.5,-5.375
无干扰 #2,392MHz 干扰,GAL26,36.25,37.25,1.0
无干扰 #2,392MHz 干扰,GAL27,39.5,29.75,-9.75
无干扰 #2,392MHz 干扰,GAL30,47.25,39.0,-8.25
无干扰 #2,392MHz 干扰,GAL32,45.25,42.75,-2.5
无干扰 #2,392MHz 干扰,GAL7,44.25,41.5,-2.75
无干扰 #2,392MHz 干扰,GAL8,44.25,40.75,-3.5
无干扰 #2,392MHz 干扰,GLO100,42.0,43.25,1.25
无干扰 #2,392MHz 干扰,GLO39,44.5,43.25,-1.25
无干扰 #2,392MHz 干扰,GLO76,34.25,23.625,-10.625
无干扰 #2,392MHz 干扰,GLO82,31.25,26.5,-4.75
无干扰 #2,392MHz 干扰,GLO85,40.375,36.5,-3.875
无干扰 #2,392MHz 干扰,GLO86,45.5,43.0,-2.5
无干扰 #2,392MHz 干扰,GLO91,46.0,45.75,-0.25
无干扰 #2,392MHz 干扰,GLO98,33.5,45.75,12.25
无干扰 #2,392MHz 干扰,GPS10,45.375,44.75,-0.625
无干扰 #2,392MHz 干扰,GPS12,47.125,44.0,-3.125
无干扰 #2,392MHz 干扰,GPS13,43.5,41.125,-2.375
无干扰 #2,392MHz 干扰,GPS18,33.0,45.0,12.0
无干扰 #2,392MHz 干扰,GPS23,45.75,36.0,-9.75
无干扰 #2,392MHz 干扰,GPS25,44.25,44.75,0.5
无干扰 #2,392MHz 干扰,GPS28,37.0,37.75,0.75
无干扰 #2,392MHz 干扰,GPS32,36.25,36.75,0.5
无干扰 #2,392MHz 干扰,GPS38,37.75,30.25,-7.5
无干扰 #2,392MHz 干扰,QZS192,48.25,45.0,-3.25
无干扰 #2,392MHz 干扰,QZS385,41.75,39.0,-2.75
无干扰 #2,392MHz 干扰,QZS386,40.25,39.125,-1.125
无干扰 #2,392MHz 干扰,QZS390,43.5,38.5,-5.0
无干扰 #3,4G/5G 干扰,BDS1,45.25,45.5,0.25
无干扰 #3,4G/5G 干扰,BDS10,45.5,44.5,-1.0
无干扰 #3,4G/5G 干扰,BDS2,43.25,43.25,0.0
无干扰 #3,4G/5G 干扰,BDS23,43.5,42.5,-1.0
无干扰 #3,4G/5G 干扰,BDS24,46.25,47.0,0.75
无干扰 #3,4G/5G 干扰,BDS25,45.25,46.0,0.75
无干扰 #3,4G/5G 干扰,BDS3,41.75,42.0,0.25
无干扰 #3,4G/5G 干扰,BDS33,46.75,47.0,0.25
无干扰 #3,4G/5G 干扰,BDS4,45.25,45.25,0.0
无干扰 #3,4G/5G 干扰,BDS41,47.0,48.25,1.25
无干扰 #3,4G/5G 干扰,BDS42,36.0,36.25,0.25
无干扰 #3,4G/5G 干扰,BDS6,43.75,43.875,0.125
无干扰 #3,4G/5G 干扰,BDS7,45.75,46.875,1.125
无干扰 #3,4G/5G 干扰,BDS9,45.25,45.5,0.25
无干扰 #3,4G/5G 干扰,GAL13,45.25,45.25,0.0
无干扰 #3,4G/5G 干扰,GAL194,43.5,43.5,0.0
无干扰 #3,4G/5G 干扰,GAL2,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,GAL26,38.5,38.0,-0.5
无干扰 #3,4G/5G 干扰,GAL27,38.25,38.25,0.0
无干扰 #3,4G/5G 干扰,GAL30,45.125,44.5,-0.625
无干扰 #3,4G/5G 干扰,GAL32,46.75,47.0,0.25
无干扰 #3,4G/5G 干扰,GAL7,45.5,44.5,-1.0
无干扰 #3,4G/5G 干扰,GAL8,44.375,45.0,0.625
无干扰 #3,4G/5G 干扰,GLO100,39.25,39.125,-0.125
无干扰 #3,4G/5G 干扰,GLO39,44.25,44.5,0.25
无干扰 #3,4G/5G 干扰,GLO76,32.25,31.5,-0.75
无干扰 #3,4G/5G 干扰,GLO82,34.125,28.125,-6.0
无干扰 #3,4G/5G 干扰,GLO85,37.875,40.75,2.875
无干扰 #3,4G/5G 干扰,GLO86,46.25,46.25,0.0
无干扰 #3,4G/5G 干扰,GLO91,45.5,45.5,0.0
无干扰 #3,4G/5G 干扰,GLO98,33.25,29.625,-3.625
无干扰 #3,4G/5G 干扰,GPS10,44.875,45.25,0.375
无干扰 #3,4G/5G 干扰,GPS12,47.125,47.125,0.0
无干扰 #3,4G/5G 干扰,GPS13,43.0,42.875,-0.125
无干扰 #3,4G/5G 干扰,GPS18,33.5,32.75,-0.75
无干扰 #3,4G/5G 干扰,GPS23,45.75,45.25,-0.5
无干扰 #3,4G/5G 干扰,GPS25,45.25,45.5,0.25
无干扰 #3,4G/5G 干扰,GPS28,38.25,38.75,0.5
无干扰 #3,4G/5G 干扰,GPS32,37.0,36.75,-0.25
无干扰 #3,4G/5G 干扰,GPS38,36.0,35.0,-1.0
无干扰 #3,4G/5G 干扰,QZS192,48.5,48.5,0.0
无干扰 #3,4G/5G 干扰,QZS385,41.875,41.875,0.0
无干扰 #3,4G/5G 干扰,QZS386,39.75,40.5,0.75
无干扰 #3,4G/5G 干扰,QZS390,43.5,43.75,0.25
无干扰 #4,Wi-Fi 干扰,BDS1,45.0,44.875,-0.125
无干扰 #4,Wi-Fi 干扰,BDS10,45.25,44.5,-0.75
无干扰 #4,Wi-Fi 干扰,BDS2,42.875,44.5,1.625
无干扰 #4,Wi-Fi 干扰,BDS23,42.25,42.25,0.0
无干扰 #4,Wi-Fi 干扰,BDS24,46.25,45.0,-1.25
无干扰 #4,Wi-Fi 干扰,BDS25,46.5,46.25,-0.25
无干扰 #4,Wi-Fi 干扰,BDS3,41.5,41.5,0.0
无干扰 #4,Wi-Fi 干扰,BDS33,46.75,47.0,0.25
无干扰 #4,Wi-Fi 干扰,BDS4,45.75,45.25,-0.5
无干扰 #4,Wi-Fi 干扰,BDS41,48.0,48.0,0.0
无干扰 #4,Wi-Fi 干扰,BDS42,37.75,38.75,1.0
无干扰 #4,Wi-Fi 干扰,BDS6,43.75,44.0,0.25
无干扰 #4,Wi-Fi 干扰,BDS7,46.75,47.0,0.25
无干扰 #4,Wi-Fi 干扰,BDS9,45.5,45.5,0.0
无干扰 #4,Wi-Fi 干扰,GAL13,43.25,41.25,-2.0
无干扰 #4,Wi-Fi 干扰,GAL194,44.25,44.75,0.5
无干扰 #4,Wi-Fi 干扰,GAL2,45.75,44.75,-1.0
无干扰 #4,Wi-Fi 干扰,GAL26,39.25,41.0,1.75
无干扰 #4,Wi-Fi 干扰,GAL27,38.25,37.5,-0.75
无干扰 #4,Wi-Fi 干扰,GAL30,44.0,45.0,1.0
无干扰 #4,Wi-Fi 干扰,GAL32,47.25,46.75,-0.5
无干扰 #4,Wi-Fi 干扰,GAL7,45.75,46.125,0.375
无干扰 #4,Wi-Fi 干扰,GAL8,43.75,45.25,1.5
无干扰 #4,Wi-Fi 干扰,GLO100,39.375,39.75,0.375
无干扰 #4,Wi-Fi 干扰,GLO39,45.0,46.0,1.0
无干扰 #4,Wi-Fi 干扰,GLO76,27.25,30.5,3.25
无干扰 #4,Wi-Fi 干扰,GLO82,29.75,31.5,1.75
无干扰 #4,Wi-Fi 干扰,GLO85,41.5,41.75,0.25
无干扰 #4,Wi-Fi 干扰,GLO86,46.25,45.125,-1.125
无干扰 #4,Wi-Fi 干扰,GLO91,45.25,45.0,-0.25
无干扰 #4,Wi-Fi 干扰,GLO98,31.875,34.5,2.625
无干扰 #4,Wi-Fi 干扰,GPS10,45.75,45.125,-0.625
无干扰 #4,Wi-Fi 干扰,GPS12,46.625,46.75,0.125
无干扰 #4,Wi-Fi 干扰,GPS13,41.875,42.625,0.75
无干扰 #4,Wi-Fi 干扰,GPS18,40.0,38.75,-1.25
无干扰 #4,Wi-Fi 干扰,GPS23,46.0,45.5,-0.5
无干扰 #4,Wi-Fi 干扰,GPS25,43.5,44.25,0.75
无干扰 #4,Wi-Fi 干扰,GPS28,36.75,38.0,1.25
无干扰 #4,Wi-Fi 干扰,GPS32,37.25,34.5,-2.75
无干扰 #4,Wi-Fi 干扰,GPS38,34.75,37.0,2.25
无干扰 #4,Wi-Fi 干扰,QZS192,48.75,48.5,-0.25
无干扰 #4,Wi-Fi 干扰,QZS385,41.875,41.75,-0.125
无干扰 #4,Wi-Fi 干扰,QZS386,40.0,38.75,-1.25
无干扰 #4,Wi-Fi 干扰,QZS390,43.75,43.5,-0.25
