segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,50,48.75,48.0,48.25,48.5,48.375
无干扰 #1,BDS10,BDS,150,48.25,44.25,44.5,47.25,44.75
无干扰 #1,BDS2,BDS,100,45.75,42.25,42.5,45.25,43.875
无干扰 #1,BDS23,BDS,150,44.25,42.5,43.0,43.5,43.0
无干扰 #1,BDS24,BDS,150,47.0,41.75,42.0,46.75,44.25
无干扰 #1,BDS25,BDS,150,48.25,46.25,46.25,47.75,46.5
无干扰 #1,BDS3,BDS,100,46.75,40.5,41.0,46.3125,43.625
无干扰 #1,BDS33,BDS,150,49.0,46.75,46.75,49.0,47.0
无干扰 #1,BDS4,BDS,100,44.25,43.25,43.5,44.0,44.0
无干扰 #1,BDS41,BDS,150,47.75,45.25,45.5,47.5,47.25
无干扰 #1,BDS42,BDS,149,46.75,37.0,37.5,46.5,39.5
无干扰 #1,BDS6,BDS,100,44.75,44.0,44.25,44.5,44.25
无干扰 #1,BDS7,BDS,100,48.5,47.25,47.5,48.25,47.875
无干扰 #1,BDS9,BDS,150,47.5,45.75,46.5,47.5,46.5
无干扰 #1,GAL13,GAL,150,46.0,43.75,44.5,45.75,44.75
无干扰 #1,GAL194,GAL,50,45.0,44.5,44.75,44.75,44.75
无干扰 #1,GAL2,GAL,100,47.0,45.25,45.75,46.75,46.25
无干扰 #1,GAL26,GAL,150,42.25,33.0,34.75,42.0,40.0
无干扰 #1,GAL30,GAL,150,49.25,36.25,37.25,48.4375,46.5
无干扰 #1,GAL32,GAL,150,46.75,43.5,43.75,45.9375,45.25
无干扰 #1,GAL7,GAL,150,47.5,43.0,43.5,46.6875,46.0
无干扰 #1,GAL8,GAL,150,47.25,43.5,44.25,47.0,46.5
无干扰 #1,GLO100,GLO,100,45.25,29.0,31.0,44.3125,38.125
无干扰 #1,GLO39,GLO,50,44.5,43.5,43.75,44.25,44.25
无干扰 #1,GLO76,GLO,27,38.0,36.0,36.625,37.5,37.25
无干扰 #1,GLO82,GLO,100,37.25,21.5,27.0,31.375,28.875
无干扰 #1,GLO85,GLO,100,45.25,26.5,32.0,45.25,39.5
无干扰 #1,GLO86,GLO,100,46.25,44.25,45.25,45.75,45.75
无干扰 #1,GLO91,GLO,92,45.5,38.75,39.25,45.25,45.0
无干扰 #1,GLO98,GLO,93,35.0,20.5,25.25,31.5,28.5
无干扰 #1,GPS10,GPS,100,46.5,43.75,43.75,46.25,44.875
无干扰 #1,GPS12,GPS,100,48.0,46.5,47.0,48.0,47.625
无干扰 #1,GPS13,GPS,150,45.75,37.0,39.25,45.5,44.5
无干扰 #1,GPS18,GPS,150,46.5,26.5,27.25,46.25,34.75
无干扰 #1,GPS23,GPS,150,45.75,31.25,32.5,45.5,45.25
无干扰 #1,GPS25,GPS,150,49.0,40.75,41.0,48.75,45.25
无干扰 #1,GPS28,GPS,150,47.75,37.0,37.8125,47.5,39.5
无干扰 #1,GPS32,GPS,150,39.75,33.25,34.0,39.0,37.75
无干扰 #1,GPS38,GPS,50,35.5,35.0,35.25,35.25,35.25
无干扰 #1,QZS192,QZS,50,47.25,47.25,47.25,47.25,47.25
无干扰 #1,QZS385,QZS,100,39.25,38.75,38.75,39.25,39.0
无干扰 #1,QZS386,QZS,150,42.75,36.75,37.5,42.75,37.75
无干扰 #1,QZS390,QZS,150,43.0,40.25,41.0,42.75,41.5
409MHz 干扰,BDS1,BDS,44,48.5,48.0,48.25,48.5,48.25
409MHz 干扰,BDS10,BDS,150,48.5,35.5,35.75,48.25,43.25
409MHz 干扰,BDS2,BDS,50,48.5,35.0,36.5,37.25,36.75
409MHz 干扰,BDS23,BDS,136,44.75,32.5,33.5,44.25,35.625
409MHz 干扰,BDS24,BDS,150,47.25,31.25,34.75,47.0,42.0
409MHz 干扰,BDS25,BDS,144,48.0,36.25,36.75,47.5625,37.0
409MHz 干扰,BDS3,BDS,79,46.75,42.25,42.5,46.25,42.5
409MHz 干扰,BDS33,BDS,150,46.75,38.0,38.3125,46.75,43.25
409MHz 干扰,BDS4,BDS,95,46.75,27.75,36.125,44.0,43.5
409MHz 干扰,BDS41,BDS,150,47.75,39.5,39.75,47.5,40.25
409MHz 干扰,BDS42,BDS,143,38.25,35.5,35.75,37.0,36.5
409MHz 干扰,BDS6,BDS,100,44.75,34.5,36.25,44.75,44.25
409MHz 干扰,BDS7,BDS,100,48.25,39.0,39.25,48.0,43.625
409MHz 干扰,BDS9,BDS,150,46.75,38.25,38.5,46.5,44.0
409MHz 干扰,GAL13,GAL,150,45.5,41.5,41.5,44.5,43.0
409MHz 干扰,GAL194,GAL,50,40.75,40.25,40.25,40.5,40.375
409MHz 干扰,GAL2,GAL,100,46.5,45.75,46.0,46.25,46.25
409MHz 干扰,GAL26,GAL,140,40.75,32.25,34.0,38.125,36.75
