svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,4354,49.0,30.5,45.25,48.25,45.75,45.76085209003215
BDS10,BDS,6576,49.0,32.5,43.0,46.75,44.5,44.43236770072993
BDS2,BDS,4134,45.5,23.5,40.5,42.5,41.25,40.84234397677794
BDS23,BDS,6325,48.0,30.5,39.75,44.25,43.25,42.05675889328063
BDS24,BDS,6347,53.25,23.75,44.5,47.75,46.5,45.432605955569564
BDS25,BDS,6344,49.0,26.75,46.75,47.75,47.25,46.393718474148805
BDS3,BDS,4325,46.75,27.75,44.0,45.75,44.5,44.13606936416185
BDS32,BDS,1145,35.5,17.25,25.25,29.25,27.25,26.986899563318776
BDS33,BDS,6350,52.75,25.5,46.5,48.25,47.75,46.66488188976378
BDS4,BDS,4357,45.0,20.5,43.0,44.0,43.75,42.6712187284829
BDS41,BDS,6351,48.75,23.5,46.25,47.5,46.75,45.97968823807275
BDS42,BDS,6232,41.5,21.0,34.25,37.5,36.0,35.45053754813864
BDS6,BDS,4384,48.0,32.0,44.75,47.5,46.0,45.425638686131386
BDS7,BDS,4384,50.0,34.75,47.25,48.25,47.75,46.95232664233577
BDS9,BDS,6576,47.5,33.5,45.0,46.5,45.75,45.19255626520681
GAL13,GAL,6341,46.0,21.75,40.0,43.0,41.75,41.079009619933764
GAL2,GAL,6329,48.5,20.0,44.0,46.25,45.25,44.75240954337178
GAL26,GAL,6221,45.75,22.75,37.0,41.25,38.5,38.755143867545414
GAL27,GAL,300,45.75,36.5,38.5,45.0,39.25,40.97666666666667
GAL30,GAL,6352,50.5,19.0,46.5,48.25,47.25,46.95296756926952
GAL32,GAL,6340,49.0,24.5,42.5,46.25,44.25,44.094834384858046
GAL7,GAL,6348,49.5,19.0,43.75,47.25,46.25,45.52827662255829
GAL8,GAL,6354,49.5,19.5,45.25,47.0,46.25,45.852651872836006
GLO100,GLO,4384,46.75,35.25,44.75,46.0,45.5,44.73688412408759
GLO75,GLO,1938,38.0,19.0,27.0,33.0,29.25,29.635835913312693
GLO76,GLO,2615,39.75,17.0,28.5,33.0,31.25,30.484608030592735
GLO82,GLO,3560,41.25,17.25,29.5,35.0,32.25,31.737429775280898
GLO85,GLO,4384,47.0,30.75,45.75,46.5,46.0,45.033987226277375
GLO86,GLO,4384,47.25,28.75,44.75,46.0,45.5,44.40014826642336
GLO91,GLO,2523,42.0,15.0,30.0,36.0,33.25,32.82827982560444
GLO98,GLO,2401,37.0,15.25,25.75,31.5,28.25,28.419616826322365
GPS10,GPS,6186,50.5,18.5,45.0,48.0,46.0,46.12318137730359
GPS12,GPS,4223,48.0,21.5,39.5,46.25,42.5,42.907293393322284
GPS13,GPS,4782,48.25,16.5,44.5,45.75,45.25,44.75893977415308
GPS18,GPS,5137,37.75,17.5,28.0,32.5,31.5,30.370109013042633
GPS23,GPS,6189,51.0,19.5,45.25,48.0,46.0,46.228914202617545
GPS25,GPS,6172,49.25,18.5,42.75,47.0,43.5,44.144442644199614
GPS28,GPS,6149,42.75,17.25,36.25,39.0,37.75,37.35306553911205
GPS31,GPS,1747,36.5,18.25,28.25,31.5,29.75,29.50744132799084
GPS32,GPS,6171,42.0,21.5,34.25,37.0,35.25,35.54432020742181
QZS385,QZS,6143,45.25,19.75,39.5,42.0,40.75,40.38051440664171
QZS386,QZS,6196,42.5,17.75,38.0,40.25,39.5,38.84772433828277
QZS390,QZS,6193,48.25,19.0,40.75,47.0,42.75,42.81721298239948
