segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,700,0.253,0.2287600000000001,0.001953125,46.0,358.59375
无干扰 #1,B2,399,0.253,0.2424736842105264,0.001953125,45.0,355.5
无干扰 #1,B3,700,0.253,0.23572000000000007,0.001953125,44.0,357.09375
无干扰 #1,E1,350,0.253,0.25300000000000006,0.001953125,45.0,355.59375
无干扰 #1,E5a,350,0.253,0.25300000000000006,0.001953125,44.0,352.046875
无干扰 #1,E5b,350,0.253,0.23668000000000006,0.001953125,46.0,354.328125
无干扰 #1,L1,912,0.253,0.2697368421052632,0.001953125,39.0,353.0
无干扰 #1,L2,850,0.253,0.27332000000000006,0.001953125,39.0,347.046875
无干扰 #1,L5,500,0.253,0.22949200000000006,0.001953125,44.0,353.828125
409MHz 干扰,B1,700,0.253,0.22312000000000004,0.001953125,46.0,395.1875
409MHz 干扰,B2,387,0.253,0.25300000000000006,0.001953125,41.0,389.78125
409MHz 干扰,B3,604,0.253,0.2685596026490067,0.001953125,36.0,390.0
409MHz 干扰,E1,350,0.253,0.2393200000000001,0.001953125,45.0,392.1875
409MHz 干扰,E5a,350,0.253,0.25300000000000006,0.001953125,36.0,386.234375
409MHz 干扰,E5b,340,0.253,0.22977647058823533,0.001953125,46.0,391.140625
409MHz 干扰,L1,923,0.253,0.2586197183098592,0.001953125,40.0,331.09375
409MHz 干扰,L2,156,0.253,0.25788461538461543,0.001953125,36.0,2.28125
409MHz 干扰,L5,431,0.253,0.2636078886310905,0.001953125,41.0,390.0
无干扰 #2,B1,700,0.253,0.23032000000000005,0.001953125,46.0,429.375
无干扰 #2,B2,400,0.253,0.23242000000000004,0.001953125,46.0,236.34375
无干扰 #2,B3,693,0.253,0.2452424242424243,0.001953125,44.0,420.0
无干扰 #2,E1,350,0.253,0.25300000000000006,0.001953125,45.0,426.375
无干扰 #2,E5a,350,0.253,0.25300000000000006,0.001953125,44.0,420.4375
无干扰 #2,E5b,350,0.253,0.23308000000000004,0.001953125,46.0,425.140625
无干扰 #2,L1,889,0.253,0.26513948256467945,0.001953125,41.0,420.375
无干扰 #2,L2,731,0.253,0.2585595075239399,0.001953125,42.0,13.1875
无干扰 #2,L5,500,0.253,0.23950200000000008,0.001953125,44.5,422.9375
392MHz 干扰,B1,700,0.253,0.2776742857142857,0.001953125,34.0,4.375
392MHz 干扰,B2,100,0.253,0.25300000000000006,0.001953125,41.0,277.9375
392MHz 干扰,B3,686,0.253,0.24320408163265309,0.001953125,45.0,460.09375
392MHz 干扰,E1,350,0.253,0.2852942857142857,0.001953125,37.0,4.875
