baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,L1,0.253,0.253,0.0,39.0,40.0,1.0
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,45.0,41.0,-4.0
无干扰 #1,409MHz 干扰,L5,0.253,0.253,0.0,44.0,41.0,-3.0
无干扰 #1,409MHz 干扰,B3,0.253,0.253,0.0,44.0,36.0,-8.0
无干扰 #1,409MHz 干扰,E5b,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #1,409MHz 干扰,L2,0.253,0.253,0.0,39.0,36.0,-3.0
无干扰 #1,409MHz 干扰,E5a,0.253,0.253,0.0,44.0,36.0,-8.0
无干扰 #1,409MHz 干扰,E1,0.253,0.253,0.0,45.0,45.0,0.0
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #2,392MHz 干扰,L1,0.253,0.253,0.0,41.0,34.0,-7.0
无干扰 #2,392MHz 干扰,B2,0.253,0.253,0.0,46.0,41.0,-5.0
无干扰 #2,392MHz 干扰,B3,0.253,0.253,0.0,44.0,45.0,1.0
无干扰 #2,392MHz 干扰,E5b,0.253,0.253,0.0,46.0,41.0,-5.0
无干扰 #2,392MHz 干扰,L2,0.253,0.253,0.0,42.0,41.5,-0.5
无干扰 #2,392MHz 干扰,E1,0.253,0.253,0.0,45.0,37.0,-8.0
无干扰 #2,392MHz 干扰,B1,0.253,0.253,0.0,46.0,34.0,-12.0
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,42.0,41.0,-1.0
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,42.0,42.0,0.0
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,45.0,45.0,0.0
无干扰 #3,4G/5G 干扰,E5b,0.253,0.169,-0.08399999999999999,46.0,48.0,2.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,38.0,42.0,4.0
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,E1,0.253,0.253,0.0,45.0,44.0,-1.0
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,39.0,40.0,1.0
无干扰 #4,Wi-Fi 干扰,B2,0.253,0.253,0.0,47.0,46.0,-1.0
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,42.0,41.0,-1.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,45.0,45.0,0.0
无干扰 #4,Wi-Fi 干扰,E5b,0.253,0.169,-0.08399999999999999,46.0,48.0,2.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,40.5,41.0,0.5
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,43.0,45.0,2.0
无干扰 #4,Wi-Fi 干扰,E1,0.253,0.253,0.0,44.0,46.0,2.0
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
