baseline_seg,interf_seg,sys,n,delta_median,delta_mean,delta_p25,delta_p75,n_increase,n_decrease
无干扰 #1,409MHz 干扰,BDS,14,0.0,0.005999999999999999,0.0,0.0,2,1
无干扰 #1,409MHz 干扰,GAL,7,0.0,-0.011999999999999999,0.0,0.0,0,1
无干扰 #1,409MHz 干扰,GLO,8,0.0,0.0,0.0,0.0,0,0
无干扰 #1,409MHz 干扰,GPS,8,0.0,-0.010499999999999999,0.0,0.0,0,1
无干扰 #1,409MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #2,392MHz 干扰,BDS,14,0.0,0.019607142857142854,0.0,0.031499999999999986,4,1
无干扰 #2,392MHz 干扰,GAL,7,0.0,0.018142857142857145,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,GLO,7,0.0,0.0,0.0,0.0,1,1
无干扰 #2,392MHz 干扰,GPS,8,0.0,0.015875,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,BDS,14,0.0,-0.014999999999999998,0.0,0.0,0,3
无干扰 #3,4G/5G 干扰,GAL,7,0.0,0.011999999999999999,0.0,0.0,1,0
无干扰 #3,4G/5G 干扰,GLO,8,0.0,0.015875,0.0,0.03175,2,1
无干扰 #3,4G/5G 干扰,GPS,8,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,BDS,15,0.0,-0.007066666666666664,0.0,0.0,2,2
无干扰 #4,Wi-Fi 干扰,GAL,7,0.0,-0.011999999999999999,0.0,0.0,0,1
无干扰 #4,Wi-Fi 干扰,GLO,8,0.0,0.03175,0.0,0.03175,2,0
无干扰 #4,Wi-Fi 干扰,GPS,9,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
