segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,359.59375,46.5
无干扰 #1,BDS10,BDS,150,0.253,0.253,0.001953125,354.59375,44.0
无干扰 #1,BDS2,BDS,100,0.253,0.253,0.001953125,202.140625,41.5
无干扰 #1,BDS23,BDS,150,0.253,0.253,0.001953125,357.875,43.0
无干扰 #1,BDS24,BDS,150,0.253,0.253,0.001953125,357.4375,46.0
无干扰 #1,BDS25,BDS,150,0.253,0.253,0.001953125,357.28125,46.0
无干扰 #1,BDS3,BDS,100,0.253,0.253,0.001953125,359.59375,45.0
无干扰 #1,BDS33,BDS,150,0.169,0.253,0.001953125,355.375,47.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,359.28125,44.0
无干扰 #1,BDS41,BDS,150,0.253,0.253,0.001953125,353.1875,46.0
无干扰 #1,BDS42,BDS,145,0.253,0.253,0.001953125,216.5,38.0
无干扰 #1,BDS6,BDS,100,0.253,0.253,0.001953125,358.390625,45.5
无干扰 #1,BDS7,BDS,100,0.169,0.169,0.001953125,358.328125,47.5
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,357.546875,46.0
无干扰 #1,GAL13,GAL,150,0.253,0.253,0.001953125,355.828125,44.0
无干扰 #1,GAL2,GAL,150,0.253,0.253,0.001953125,358.5,46.0
无干扰 #1,GAL26,GAL,150,0.253,0.253,0.001953125,156.734375,36.0
无干扰 #1,GAL30,GAL,150,0.253,0.253,0.001953125,350.59375,46.0
无干扰 #1,GAL32,GAL,150,0.253,0.253,0.001953125,350.4375,44.0
无干扰 #1,GAL7,GAL,150,0.253,0.253,0.001953125,357.5,46.0
无干扰 #1,GAL8,GAL,150,0.253,0.253,0.001953125,351.734375,46.0
无干扰 #1,GLO100,GLO,100,0.253,0.253,0.001953125,304.9375,44.0
无干扰 #1,GLO75,GLO,50,0.253,0.253,0.001953125,357.390625,36.0
无干扰 #1,GLO76,GLO,29,0.38,0.38,0.00390625,0.0,27.0
无干扰 #1,GLO82,GLO,100,0.38,0.38,0.00390625,0.09375,29.0
无干扰 #1,GLO85,GLO,100,0.253,0.253,0.001953125,357.1875,45.0
无干扰 #1,GLO86,GLO,100,0.253,0.253,0.001953125,357.375,45.0
无干扰 #1,GLO91,GLO,88,0.253,0.38,0.001953125,1.140625,35.0
无干扰 #1,GLO98,GLO,93,0.38,0.57,0.00390625,0.0,29.0
无干扰 #1,GPS10,GPS,150,0.253,0.253,0.001953125,354.6875,46.0
无干扰 #1,GPS12,GPS,100,0.253,0.253,0.001953125,353.640625,42.5
无干扰 #1,GPS13,GPS,150,0.253,0.253,0.001953125,354.1875,45.0
无干扰 #1,GPS18,GPS,150,0.253,0.38,0.001953125,1.828125,32.0
无干扰 #1,GPS23,GPS,150,0.253,0.253,0.001953125,352.234375,45.0
无干扰 #1,GPS25,GPS,150,0.253,0.253,0.001953125,351.4375,45.0
无干扰 #1,GPS28,GPS,150,0.253,0.253,0.001953125,192.390625,37.0
无干扰 #1,GPS32,GPS,150,0.253,0.253,0.001953125,37.59375,35.0
无干扰 #1,QZS194,QZS,150,0.253,0.253,0.001953125,355.734375,39.0
无干扰 #1,QZS195,QZS,150,0.253,0.253,0.001953125,338.6875,37.0
无干扰 #1,QZS199,QZS,150,0.253,0.253,0.001953125,355.234375,42.0
409MHz 干扰,BDS1,BDS,94,0.169,0.253,0.001953125,391.78125,48.0
409MHz 干扰,BDS10,BDS,150,0.253,0.253,0.001953125,13.09375,43.0
409MHz 干扰,BDS2,BDS,50,0.253,0.253,0.001953125,396.1875,42.0
409MHz 干扰,BDS23,BDS,132,0.253,0.38,0.001953125,3.28125,35.0
409MHz 干扰,BDS24,BDS,150,0.253,0.253,0.001953125,394.046875,42.0
409MHz 干扰,BDS25,BDS,148,0.253,0.253,0.001953125,392.78125,38.0
