segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,360.390625,46.5
无干扰 #1,BDS10,BDS,150,0.253,0.253,0.001953125,355.390625,44.0
无干扰 #1,BDS2,BDS,100,0.253,0.253,0.001953125,202.9375,41.5
无干扰 #1,BDS23,BDS,150,0.253,0.253,0.001953125,358.6875,43.0
无干扰 #1,BDS24,BDS,150,0.253,0.253,0.001953125,358.234375,46.0
无干扰 #1,BDS25,BDS,150,0.253,0.253,0.001953125,358.09375,46.0
无干扰 #1,BDS3,BDS,100,0.253,0.253,0.001953125,360.390625,45.0
无干扰 #1,BDS33,BDS,150,0.169,0.253,0.001953125,356.1875,47.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,360.09375,44.0
无干扰 #1,BDS41,BDS,150,0.253,0.253,0.001953125,354.0,46.0
无干扰 #1,BDS42,BDS,149,0.253,0.253,0.001953125,216.875,38.0
无干扰 #1,BDS6,BDS,100,0.253,0.253,0.001953125,359.1875,45.5
无干扰 #1,BDS7,BDS,100,0.169,0.169,0.001953125,359.140625,47.5
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,358.328125,46.0
无干扰 #1,GAL13,GAL,150,0.253,0.253,0.001953125,356.640625,44.0
无干扰 #1,GAL2,GAL,150,0.253,0.253,0.001953125,359.28125,45.0
无干扰 #1,GAL26,GAL,150,0.253,0.253,0.001953125,157.546875,36.5
无干扰 #1,GAL30,GAL,150,0.253,0.253,0.001953125,351.375,46.0
无干扰 #1,GAL32,GAL,150,0.253,0.253,0.001953125,351.234375,44.0
无干扰 #1,GAL7,GAL,150,0.253,0.253,0.001953125,358.28125,46.0
无干扰 #1,GAL8,GAL,150,0.253,0.253,0.001953125,352.546875,46.0
无干扰 #1,GLO100,GLO,100,0.253,0.253,0.001953125,305.734375,44.0
无干扰 #1,GLO75,GLO,50,0.253,0.253,0.001953125,358.1875,36.0
无干扰 #1,GLO76,GLO,27,0.38,0.38,0.00390625,0.0,27.0
