interf_seg,svid,sys,track_gap_sec,rc_gap_sec
409MHz 干扰,GAL28,GAL,10.0,10.0
409MHz 干扰,GPS29,GPS,10.0,10.0
409MHz 干扰,GLO82,GLO,10.0,10.0
409MHz 干扰,GPS30,GPS,10.0,10.0
409MHz 干扰,BDS19,BDS,10.0,10.0
409MHz 干扰,QZS199,QZS,10.0,10.0
409MHz 干扰,GLO95,GLO,10.0,10.0
409MHz 干扰,BDS2,BDS,5.2700000000186265,5.2700000000186265
409MHz 干扰,GLO96,GLO,10.0,10.0
409MHz 干扰,GAL36,GAL,10.0,10.0
409MHz 干扰,GPS6,GPS,10.0,10.0
409MHz 干扰,GLO97,GLO,10.0,10.0
409MHz 干扰,GAL12,GAL,10.0,10.0
409MHz 干扰,QZS390,QZS,10.0,10.0
409MHz 干扰,GLO81,GLO,10.0,10.0
392MHz 干扰,GAL28,GAL,10.0,10.0
392MHz 干扰,BDS8,BDS,10.0,10.0
392MHz 干扰,GPS29,GPS,10.0,10.0
392MHz 干扰,GLO82,GLO,10.0,10.0
392MHz 干扰,GPS30,GPS,10.0,10.0
392MHz 干扰,BDS21,BDS,10.0,10.0
392MHz 干扰,BDS34,BDS,10.0,10.0
392MHz 干扰,BDS19,BDS,10.0,10.0
392MHz 干扰,QZS195,QZS,10.0,10.0
392MHz 干扰,BDS35,BDS,10.0,10.0
392MHz 干扰,QZS199,QZS,10.0,10.0
392MHz 干扰,BDS9,BDS,10.0,10.0
392MHz 干扰,GAL9,GAL,10.0,10.0
392MHz 干扰,GLO95,GLO,10.0,10.0
392MHz 干扰,GPS5,GPS,10.0,10.0
392MHz 干扰,BDS6,BDS,10.0,10.0
392MHz 干扰,QZS386,QZS,10.0,10.0
392MHz 干扰,GPS11,GPS,10.0,10.0
392MHz 干扰,GAL4,GAL,10.0,10.0
392MHz 干扰,BDS2,BDS,3.2049999999871943,3.2049999999871943
392MHz 干扰,BDS1,BDS,4.199999999982538,4.199999999982538
392MHz 干扰,GLO96,GLO,8.195000000006985,8.195000000006985
392MHz 干扰,GAL6,GAL,10.0,10.0
392MHz 干扰,BDS14,BDS,10.0,10.0
392MHz 干扰,BDS22,BDS,10.0,10.0
392MHz 干扰,GPS6,GPS,10.0,10.0
392MHz 干扰,GAL10,GAL,10.0,10.0
392MHz 干扰,BDS3,BDS,10.0,10.0
392MHz 干扰,GLO97,GLO,10.0,10.0
392MHz 干扰,GAL18,GAL,10.0,10.0
392MHz 干扰,GAL12,GAL,10.0,10.0
392MHz 干扰,GPS20,GPS,10.0,10.0
392MHz 干扰,QZS390,QZS,10.0,10.0
392MHz 干扰,GLO81,GLO,10.0,10.0
392MHz 干扰,GPS15,GPS,10.0,10.0
