baseline_seg,interf_seg,svid,pre_cno,interf_cno,delta
无干扰 #1,409MHz 干扰,BDS1,46.25,46.5,0.25
无干扰 #1,409MHz 干扰,BDS14,40.625,34.375,-6.25
无干扰 #1,409MHz 干扰,BDS2,38.25,38.0,-0.25
无干扰 #1,409MHz 干扰,BDS21,44.75,43.5,-1.25
无干扰 #1,409MHz 干扰,BDS22,45.5,45.0,-0.5
无干扰 #1,409MHz 干扰,BDS3,44.5,44.25,-0.25
无干扰 #1,409MHz 干扰,BDS34,30.0,29.0,-1.0
无干扰 #1,409MHz 干扰,BDS35,45.5,36.25,-9.25
无干扰 #1,409MHz 干扰,BDS4,42.5,42.75,0.25
无干扰 #1,409MHz 干扰,BDS6,45.5,38.625,-6.875
无干扰 #1,409MHz 干扰,BDS8,45.0,37.625,-7.375
无干扰 #1,409MHz 干扰,BDS9,35.25,30.875,-4.375
无干扰 #1,409MHz 干扰,GAL10,45.0,37.75,-7.25
无干扰 #1,409MHz 干扰,GAL12,40.5,36.25,-4.25
无干扰 #1,409MHz 干扰,GAL18,45.25,42.5,-2.75
无干扰 #1,409MHz 干扰,GAL28,44.5,36.25,-8.25
无干扰 #1,409MHz 干扰,GAL4,44.75,39.125,-5.625
无干扰 #1,409MHz 干扰,GAL6,44.5,39.375,-5.125
无干扰 #1,409MHz 干扰,GAL9,45.0,39.125,-5.875
无干扰 #1,409MHz 干扰,GLO81,45.125,37.75,-7.375
无干扰 #1,409MHz 干扰,GLO82,41.75,33.25,-8.5
无干扰 #1,409MHz 干扰,GLO95,43.375,35.125,-8.25
无干扰 #1,409MHz 干扰,GLO96,43.625,38.0,-5.625
无干扰 #1,409MHz 干扰,GLO97,37.75,34.0,-3.75
无干扰 #1,409MHz 干扰,GPS11,45.0,40.125,-4.875
无干扰 #1,409MHz 干扰,GPS15,41.875,42.875,1.0
无干扰 #1,409MHz 干扰,GPS20,44.25,39.375,-4.875
无干扰 #1,409MHz 干扰,GPS29,32.125,34.5,2.375
无干扰 #1,409MHz 干扰,GPS30,29.0,23.75,-5.25
无干扰 #1,409MHz 干扰,GPS5,41.875,42.75,0.875
无干扰 #1,409MHz 干扰,GPS6,39.25,32.625,-6.625
无干扰 #1,409MHz 干扰,QZS386,42.25,38.125,-4.125
无干扰 #1,409MHz 干扰,QZS390,41.25,36.25,-5.0
无干扰 #2,392MHz 干扰,BDS1,46.125,37.125,-9.0
无干扰 #2,392MHz 干扰,BDS14,40.75,27.625,-13.125
无干扰 #2,392MHz 干扰,BDS2,38.0,28.25,-9.75
无干扰 #2,392MHz 干扰,BDS21,43.25,34.5,-8.75
无干扰 #2,392MHz 干扰,BDS22,41.25,19.25,-22.0
无干扰 #2,392MHz 干扰,BDS3,44.5,34.75,-9.75
无干扰 #2,392MHz 干扰,BDS34,32.0,24.75,-7.25
无干扰 #2,392MHz 干扰,BDS35,46.25,31.75,-14.5
无干扰 #2,392MHz 干扰,BDS4,43.5,33.75,-9.75
无干扰 #2,392MHz 干扰,BDS6,45.75,31.75,-14.0
无干扰 #2,392MHz 干扰,BDS8,44.625,30.875,-13.75
无干扰 #2,392MHz 干扰,BDS9,34.5,25.5,-9.0
无干扰 #2,392MHz 干扰,GAL10,45.0,34.25,-10.75
无干扰 #2,392MHz 干扰,GAL18,44.5,35.25,-9.25
无干扰 #2,392MHz 干扰,GAL28,43.75,31.125,-12.625
无干扰 #2,392MHz 干扰,GAL4,44.25,33.75,-10.5
无干扰 #2,392MHz 干扰,GAL6,44.0,28.75,-15.25
无干扰 #2,392MHz 干扰,GAL9,44.25,32.5,-11.75
无干扰 #2,392MHz 干扰,GLO81,44.5,44.0,-0.5
无干扰 #2,392MHz 干扰,GLO82,40.5,43.25,2.75
无干扰 #2,392MHz 干扰,GLO95,43.5,43.875,0.375
无干扰 #2,392MHz 干扰,GLO96,43.625,42.25,-1.375
无干扰 #2,392MHz 干扰,GPS11,44.75,37.875,-6.875
无干扰 #2,392MHz 干扰,GPS15,41.5,37.0,-4.5
无干扰 #2,392MHz 干扰,GPS20,42.5,37.375,-5.125
无干扰 #2,392MHz 干扰,GPS29,35.625,32.5,-3.125
无干扰 #2,392MHz 干扰,GPS5,41.125,36.25,-4.875
无干扰 #2,392MHz 干扰,GPS6,36.75,34.25,-2.5
无干扰 #2,392MHz 干扰,QZS385,31.75,34.75,3.0
无干扰 #2,392MHz 干扰,QZS386,42.25,35.5,-6.75
无干扰 #2,392MHz 干扰,QZS390,40.5,41.25,0.75
无干扰 #3,4G/5G 干扰,BDS1,46.375,45.5,-0.875
无干扰 #3,4G/5G 干扰,BDS14,39.75,38.25,-1.5
无干扰 #3,4G/5G 干扰,BDS2,37.75,37.75,0.0
无干扰 #3,4G/5G 干扰,BDS21,43.25,42.75,-0.5
无干扰 #3,4G/5G 干扰,BDS22,36.5,33.75,-2.75
无干扰 #3,4G/5G 干扰,BDS3,44.25,43.75,-0.5
