svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,3657,48.0,24.0,42.25,46.75,42.75,43.63795460760186
BDS14,BDS,3478,42.5,14.5,32.0,38.5,33.5,34.904183438757904
BDS19,BDS,379,31.25,18.5,27.5,29.5,28.5,28.312005277044854
BDS2,BDS,2552,40.0,20.5,32.25,34.5,33.25,33.129702194357364
BDS21,BDS,5221,47.0,21.0,39.0,43.75,40.75,40.918214901359896
BDS22,BDS,2960,45.0,19.75,30.25,39.25,34.25,34.308614864864865
BDS3,BDS,3514,48.25,26.25,40.25,47.25,40.75,43.1625640295959
BDS34,BDS,2738,38.0,17.75,27.25,32.25,30.25,29.97972972972973
BDS35,BDS,5255,48.0,13.75,41.25,46.25,42.0,42.69571836346337
BDS4,BDS,3606,47.0,21.25,41.0,45.5,41.5,42.55047143649473
BDS6,BDS,3581,48.25,20.75,42.0,47.5,42.75,44.15714884110584
BDS8,BDS,3584,47.0,15.5,39.5,45.25,40.25,41.79750279017857
BDS9,BDS,5258,41.5,17.0,32.25,39.25,36.0,35.65134081399772
GAL10,GAL,5252,51.75,21.5,41.25,48.75,48.0,45.12809405940594
GAL12,GAL,5028,45.75,15.75,36.75,43.25,42.25,40.55131264916468
GAL18,GAL,5255,54.5,24.0,41.25,50.0,48.75,45.9883920076118
GAL28,GAL,5083,53.0,21.25,39.5,48.0,45.75,43.786887664764905
GAL36,GAL,1510,41.75,23.25,27.75,37.25,35.5,33.61341059602649
GAL4,GAL,5251,50.5,23.25,38.25,48.0,47.5,43.84693391734908
GAL6,GAL,5256,54.5,22.75,41.0,48.25,47.5,44.72869101978691
GAL9,GAL,5206,51.5,20.75,40.0,48.0,47.0,44.433922397233964
GLO81,GLO,3354,52.0,19.5,45.5,47.0,46.5,46.19849433512224
GLO82,GLO,3358,48.5,17.0,41.0,44.0,42.75,42.466870160810004
GLO95,GLO,3389,49.25,15.75,45.0,47.5,45.75,45.88042195337858
GLO96,GLO,3428,52.0,14.0,43.75,47.5,44.75,45.25233372228705
GLO97,GLO,1677,42.75,21.25,37.0,39.75,38.5,38.089296362552176
GPS11,GPS,5287,49.75,16.25,43.25,47.75,46.5,44.9352184603745
GPS15,GPS,3554,47.75,18.0,39.75,45.25,42.5,41.72024479459763
GPS20,GPS,3811,48.0,18.0,45.0,46.5,45.75,44.14687745998425
GPS29,GPS,3088,42.0,20.0,34.25,37.75,35.75,35.86941386010363
GPS30,GPS,2411,36.75,17.25,26.0,31.25,28.75,28.566984653670676
GPS5,GPS,3588,49.25,14.5,43.25,47.5,44.0,43.926351727982166
GPS6,GPS,4353,44.75,16.25,30.0,36.5,32.5,33.19147714220078
QZS385,QZS,3405,37.25,23.0,31.0,35.25,32.75,33.095374449339204
QZS386,QZS,5288,48.5,14.75,41.75,46.25,45.5,43.47045196671709
QZS390,QZS,5045,48.75,15.75,40.0,45.0,42.5,42.2298810703667
