segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1418,0.001953125,0.0020467868476727784,0.001953125,0.00390625
无干扰 #1,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GPS,793,0.001953125,0.0021821800126103404,0.001953125,0.00390625
无干扰 #1,QZS,450,0.001953125,0.0022005208333333334,0.001953125,0.00390625
409MHz 干扰,BDS,924,0.001953125,0.002460430194805195,0.00390625,0.00390625
409MHz 干扰,GAL,960,0.001953125,0.00234375,0.001953125,0.00390625
409MHz 干扰,GLO,450,0.001953125,0.00203125,0.001953125,0.00390625
409MHz 干扰,GPS,481,0.001953125,0.0021723947505197503,0.001953125,0.005859375
409MHz 干扰,QZS,193,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,BDS,1450,0.001953125,0.0020110452586206895,0.001953125,0.00390625
无干扰 #2,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GPS,719,0.001953125,0.0019911552503477053,0.001953125,0.00390625
无干扰 #2,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
392MHz 干扰,BDS,876,0.00390625,0.0031660245433789954,0.00390625,0.0078125
392MHz 干扰,GAL,490,0.001953125,0.0025629783163265306,0.00390625,0.00390625
392MHz 干扰,GLO,220,0.001953125,0.002166193181818182,0.001953125,0.005859375
392MHz 干扰,GPS,543,0.001953125,0.002539422191528545,0.00390625,0.005859375
392MHz 干扰,QZS,245,0.001953125,0.002774234693877551,0.00390625,0.005859375
无干扰 #3,BDS,1438,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GPS,773,0.001953125,0.00213757276843467,0.001953125,0.00390625
无干扰 #3,QZS,450,0.001953125,0.002052951388888889,0.001953125,0.00390625
4G/5G 干扰,BDS,1395,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GPS,750,0.001953125,0.0023776041666666668,0.001953125,0.005859375
4G/5G 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,BDS,1420,0.001953125,0.0019806338028169014,0.001953125,0.00390625
无干扰 #4,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GPS,730,0.001953125,0.0021350599315068494,0.001953125,0.00390625
无干扰 #4,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,BDS,1375,0.001953125,0.0020241477272727273,0.001953125,0.00390625
Wi-Fi 干扰,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GPS,699,0.001953125,0.002402986409155937,0.001953125,0.005859375
Wi-Fi 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,BDS,1372,0.001953125,0.002032844387755102,0.001953125,0.00390625
无干扰 #5,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GPS,653,0.001953125,0.002368874425727412,0.001953125,0.00390625
无干扰 #5,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
