baseline_seg,interf_seg,svid,sys,baseline_std_adr,interf_std_adr,delta
无干扰 #1,409MHz 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS14,BDS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,BDS2,BDS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,BDS21,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS22,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS3,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS34,BDS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,BDS35,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS4,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS6,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS8,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS9,BDS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GAL10,GAL,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GAL18,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL4,GAL,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GAL6,GAL,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GAL9,GAL,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GPS11,GPS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GPS15,GPS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GPS20,GPS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,GPS5,GPS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,QZS195,QZS,0.001953125,0.00390625,0.001953125
无干扰 #2,392MHz 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS2,BDS,0.001953125,0.00390625,0.001953125
无干扰 #2,392MHz 干扰,BDS4,BDS,0.001953125,0.00390625,0.001953125
无干扰 #2,392MHz 干扰,GLO96,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS14,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS2,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS21,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS22,BDS,0.001953125,0.0029296875,0.0009765625
无干扰 #3,4G/5G 干扰,BDS3,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS34,BDS,0.00390625,0.00390625,0.0
无干扰 #3,4G/5G 干扰,BDS35,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS4,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS6,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS8,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS9,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL10,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL12,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL18,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL28,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL4,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL6,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL9,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO81,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO82,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO95,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO96,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO97,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS11,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS15,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS20,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS29,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS30,GPS,0.00390625,0.001953125,-0.001953125
无干扰 #3,4G/5G 干扰,GPS5,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS6,GPS,0.001953125,0.00390625,0.001953125
无干扰 #3,4G/5G 干扰,QZS194,QZS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,QZS195,QZS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,QZS199,QZS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS14,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS2,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS21,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS22,BDS,0.001953125,0.00390625,0.001953125
无干扰 #4,Wi-Fi 干扰,BDS3,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS34,BDS,0.00390625,0.00390625,0.0
无干扰 #4,Wi-Fi 干扰,BDS35,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS4,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS6,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS8,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS9,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL10,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL12,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL18,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL28,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL4,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL6,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL9,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO81,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO82,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO95,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO96,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO97,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS11,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS15,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS20,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS29,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS30,GPS,0.001953125,0.00390625,0.001953125
无干扰 #4,Wi-Fi 干扰,GPS5,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS6,GPS,0.0029296875,0.00390625,0.0009765625
无干扰 #4,Wi-Fi 干扰,QZS194,QZS,0.001953125,0.00390625,0.001953125
无干扰 #4,Wi-Fi 干扰,QZS195,QZS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,QZS199,QZS,0.001953125,0.001953125,0.0
