segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.253,0.253,0.001953125,247.734375,44.0
无干扰 #1,BDS14,BDS,100,0.253,0.253,0.001953125,67.25,35.5
无干扰 #1,BDS19,BDS,50,0.38,0.38,0.00390625,0.28125,27.0
无干扰 #1,BDS2,BDS,89,0.253,0.38,0.001953125,0.09375,33.0
无干扰 #1,BDS21,BDS,150,0.253,0.253,0.001953125,262.78125,39.0
无干扰 #1,BDS22,BDS,150,0.253,0.253,0.001953125,266.6875,40.0
无干扰 #1,BDS3,BDS,100,0.253,0.253,0.001953125,189.6875,43.5
无干扰 #1,BDS34,BDS,50,0.253,0.253,0.001953125,24.28125,37.0
无干扰 #1,BDS35,BDS,150,0.253,0.253,0.001953125,265.734375,42.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,168.9375,42.5
无干扰 #1,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,269.1875,44.5
无干扰 #1,BDS8,BDS,100,0.253,0.253,0.001953125,268.1875,42.0
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,262.9375,37.0
无干扰 #1,GAL10,GAL,150,0.169,0.253,0.001953125,267.375,48.0
无干扰 #1,GAL12,GAL,150,0.253,0.253,0.001953125,260.0,39.0
无干扰 #1,GAL18,GAL,150,0.169,0.253,0.001953125,265.046875,49.0
无干扰 #1,GAL28,GAL,150,0.169,0.253,0.001953125,262.375,48.0
无干扰 #1,GAL36,GAL,61,0.253,0.38,0.001953125,58.59375,39.0
无干扰 #1,GAL4,GAL,150,0.169,0.253,0.001953125,269.1875,47.0
无干扰 #1,GAL6,GAL,150,0.169,0.253,0.001953125,268.640625,48.0
无干扰 #1,GAL9,GAL,150,0.169,0.253,0.001953125,268.09375,47.0
无干扰 #1,GLO81,GLO,100,0.253,0.253,0.001953125,247.6875,45.5
无干扰 #1,GLO82,GLO,100,0.253,0.253,0.001953125,142.078125,43.0
无干扰 #1,GLO95,GLO,100,0.253,0.253,0.001953125,247.6875,45.5
无干扰 #1,GLO96,GLO,100,0.253,0.253,0.001953125,235.984375,45.0
无干扰 #1,GLO97,GLO,50,0.253,0.253,0.001953125,11.484375,38.0
无干扰 #1,GPS11,GPS,150,0.253,0.253,0.001953125,266.5,47.0
无干扰 #1,GPS15,GPS,100,0.253,0.253,0.001953125,264.890625,42.5
无干扰 #1,GPS20,GPS,150,0.253,0.253,0.001953125,262.78125,45.0
无干扰 #1,GPS29,GPS,100,0.253,0.253,0.001953125,1.046875,34.5
无干扰 #1,GPS30,GPS,100,0.38,0.57,0.00390625,0.0,27.0
无干扰 #1,GPS5,GPS,100,0.253,0.253,0.001953125,246.984375,44.0
无干扰 #1,GPS6,GPS,150,0.253,0.253,0.001953125,264.046875,40.0
无干扰 #1,QZS195,QZS,150,0.253,0.253,0.001953125,266.390625,45.0
无干扰 #1,QZS199,QZS,150,0.253,0.253,0.001953125,263.4375,42.0
409MHz 干扰,BDS1,BDS,75,0.253,0.253,0.001953125,0.59375,35.0
409MHz 干扰,BDS14,BDS,50,0.38,0.38,0.00390625,0.1875,27.0
409MHz 干扰,BDS2,BDS,5,0.38,0.38,0.00390625,0.0,26.0
409MHz 干扰,BDS21,BDS,50,0.253,0.253,0.001953125,16.484375,33.0
409MHz 干扰,BDS22,BDS,50,0.38,0.38,0.001953125,2.734375,31.0
409MHz 干扰,BDS3,BDS,50,0.253,0.253,0.001953125,0.1875,34.0
409MHz 干扰,BDS34,BDS,50,0.57,0.57,0.00390625,0.0,21.0
409MHz 干扰,BDS35,BDS,50,0.253,0.253,0.001953125,306.28125,35.0
409MHz 干扰,BDS4,BDS,50,0.253,0.38,0.001953125,0.09375,32.0
409MHz 干扰,BDS6,BDS,50,0.253,0.253,0.001953125,309.78125,37.0
409MHz 干扰,BDS8,BDS,50,0.253,0.253,0.001953125,4.890625,33.0
409MHz 干扰,BDS9,BDS,50,0.38,0.38,0.00390625,0.375,28.5
409MHz 干扰,GAL10,GAL,50,0.38,0.38,0.00390625,0.0,28.0
409MHz 干扰,GAL18,GAL,50,0.38,0.38,0.001953125,0.0,31.0
409MHz 干扰,GAL4,GAL,50,0.38,0.38,0.00390625,0.0,28.0
409MHz 干扰,GAL6,GAL,50,0.38,0.38,0.00390625,0.0,27.0
409MHz 干扰,GAL9,GAL,50,0.38,0.38,0.00390625,0.0,26.0
409MHz 干扰,GPS11,GPS,50,0.38,0.38,0.00390625,0.28125,26.0
409MHz 干扰,GPS15,GPS,50,0.38,0.38,0.00390625,0.0,26.0
409MHz 干扰,GPS20,GPS,50,0.38,0.38,0.00390625,0.140625,25.0
409MHz 干扰,GPS5,GPS,42,0.38,0.57,0.00390625,0.0,26.0
409MHz 干扰,QZS195,QZS,50,0.38,0.38,0.00390625,0.0,24.5
无干扰 #2,BDS1,BDS,100,0.253,0.253,0.001953125,21.78125,44.0
无干扰 #2,BDS14,BDS,100,0.253,0.38,0.001953125,12.484375,35.5
无干扰 #2,BDS19,BDS,50,0.38,0.38,0.00390625,0.78125,29.0
无干扰 #2,BDS2,BDS,85,0.253,0.38,0.001953125,0.09375,33.0
无干扰 #2,BDS21,BDS,150,0.253,0.253,0.001953125,21.6875,40.0
无干扰 #2,BDS22,BDS,132,0.253,0.253,0.001953125,19.59375,36.0
无干扰 #2,BDS3,BDS,100,0.253,0.253,0.001953125,21.28125,43.0
无干扰 #2,BDS34,BDS,124,0.253,0.38,0.001953125,0.828125,32.0
无干扰 #2,BDS35,BDS,150,0.253,0.253,0.001953125,21.734375,42.0
无干扰 #2,BDS4,BDS,100,0.253,0.253,0.001953125,21.78125,43.0
无干扰 #2,BDS6,BDS,100,0.253,0.253,0.001953125,188.1875,44.5
无干扰 #2,BDS8,BDS,100,0.253,0.253,0.001953125,23.984375,42.0
无干扰 #2,BDS9,BDS,150,0.253,0.38,0.001953125,19.1875,35.0
无干扰 #2,GAL10,GAL,150,0.169,0.253,0.001953125,20.9375,48.0
无干扰 #2,GAL12,GAL,150,0.253,0.253,0.001953125,20.140625,39.0
无干扰 #2,GAL18,GAL,150,0.169,0.253,0.001953125,21.328125,49.0
无干扰 #2,GAL28,GAL,150,0.253,0.253,0.001953125,20.78125,46.0
无干扰 #2,GAL4,GAL,150,0.169,0.253,0.001953125,20.828125,47.0
无干扰 #2,GAL6,GAL,150,0.169,0.253,0.001953125,21.09375,47.0
无干扰 #2,GAL9,GAL,150,0.169,0.253,0.001953125,21.234375,47.0
无干扰 #2,GLO81,GLO,100,0.253,0.253,0.001953125,20.28125,45.5
无干扰 #2,GLO82,GLO,100,0.253,0.253,0.001953125,19.890625,42.0
无干扰 #2,GLO95,GLO,100,0.253,0.253,0.001953125,20.6875,45.5
无干扰 #2,GLO96,GLO,100,0.253,0.253,0.001953125,20.640625,45.0
无干扰 #2,GLO97,GLO,50,0.253,0.253,0.001953125,2.78125,35.0
无干扰 #2,GPS11,GPS,150,0.253,0.253,0.001953125,20.734375,46.0
无干扰 #2,GPS15,GPS,100,0.253,0.253,0.001953125,21.09375,42.0
无干扰 #2,GPS20,GPS,100,0.253,0.253,0.001953125,20.4375,46.0
无干扰 #2,GPS29,GPS,50,0.253,0.253,0.001953125,20.28125,36.0
无干扰 #2,GPS30,GPS,100,0.38,0.38,0.00390625,1.0,30.0
无干扰 #2,GPS5,GPS,100,0.253,0.253,0.001953125,21.640625,45.0
无干扰 #2,GPS6,GPS,150,0.253,0.253,0.001953125,17.6875,40.0
无干扰 #2,QZS195,QZS,150,0.253,0.253,0.001953125,20.828125,46.0
无干扰 #2,QZS199,QZS,150,0.253,0.253,0.001953125,19.59375,42.0
392MHz 干扰,BDS1,BDS,6,0.253,0.38,0.001953125,0.0,33.0
392MHz 干扰,BDS2,BDS,7,0.38,0.57,0.00390625,0.0,23.0
392MHz 干扰,BDS4,BDS,11,0.38,0.38,0.00390625,0.0,28.0
392MHz 干扰,GLO96,GLO,10,0.253,0.253,0.001953125,0.1875,34.0
无干扰 #3,BDS1,BDS,100,0.253,0.253,0.001953125,16.234375,44.5
无干扰 #3,BDS14,BDS,100,0.253,0.253,0.001953125,10.1875,36.5
无干扰 #3,BDS2,BDS,40,0.253,0.253,0.001953125,0.09375,33.0
无干扰 #3,BDS21,BDS,150,0.253,0.253,0.001953125,13.59375,41.0
无干扰 #3,BDS22,BDS,88,0.253,0.38,0.001953125,3.78125,34.0
无干扰 #3,BDS3,BDS,100,0.253,0.253,0.001953125,11.03125,43.5
无干扰 #3,BDS34,BDS,111,0.38,0.38,0.00390625,0.09375,30.0
无干扰 #3,BDS35,BDS,150,0.253,0.253,0.001953125,14.640625,41.0
无干扰 #3,BDS4,BDS,100,0.253,0.253,0.001953125,16.546875,43.0
无干扰 #3,BDS6,BDS,100,0.253,0.253,0.001953125,15.234375,44.5
无干扰 #3,BDS8,BDS,100,0.253,0.253,0.001953125,15.234375,42.0
无干扰 #3,BDS9,BDS,150,0.253,0.38,0.001953125,13.328125,36.0
无干扰 #3,GAL10,GAL,150,0.169,0.253,0.001953125,15.78125,48.0
无干扰 #3,GAL12,GAL,150,0.253,0.253,0.001953125,15.59375,42.0
无干扰 #3,GAL18,GAL,150,0.169,0.253,0.001953125,15.59375,49.0
无干扰 #3,GAL28,GAL,150,0.169,0.253,0.001953125,15.828125,48.0
无干扰 #3,GAL4,GAL,150,0.169,0.253,0.001953125,15.734375,47.0
无干扰 #3,GAL6,GAL,150,0.169,0.253,0.001953125,15.828125,47.0
无干扰 #3,GAL9,GAL,150,0.169,0.253,0.001953125,15.9375,48.0
无干扰 #3,GLO81,GLO,100,0.253,0.253,0.001953125,16.0,46.0
无干扰 #3,GLO82,GLO,100,0.253,0.253,0.001953125,15.9375,42.0
无干扰 #3,GLO95,GLO,100,0.21100000000000002,0.253,0.001953125,16.0,46.0
无干扰 #3,GLO96,GLO,100,0.253,0.253,0.001953125,15.6875,45.0
无干扰 #3,GLO97,GLO,50,0.253,0.253,0.001953125,15.6875,38.0
无干扰 #3,GPS11,GPS,150,0.253,0.253,0.001953125,15.234375,47.0
无干扰 #3,GPS15,GPS,100,0.253,0.253,0.001953125,15.78125,42.0
无干扰 #3,GPS20,GPS,100,0.253,0.253,0.001953125,15.78125,45.0
无干扰 #3,GPS29,GPS,100,0.253,0.253,0.001953125,13.734375,36.0
无干扰 #3,GPS30,GPS,100,0.38,0.38,0.00390625,0.375,28.0
无干扰 #3,GPS5,GPS,100,0.253,0.253,0.001953125,15.6875,45.0
无干扰 #3,GPS6,GPS,150,0.253,0.38,0.001953125,11.140625,36.0
无干扰 #3,QZS194,QZS,117,0.253,0.38,0.001953125,1.28125,33.0
无干扰 #3,QZS195,QZS,150,0.253,0.253,0.001953125,15.4375,45.0
无干扰 #3,QZS199,QZS,150,0.253,0.253,0.001953125,14.59375,42.0
4G/5G 干扰,BDS1,BDS,100,0.253,0.253,0.001953125,63.046875,44.5
4G/5G 干扰,BDS14,BDS,86,0.253,0.38,0.001953125,59.09375,38.0
4G/5G 干扰,BDS2,BDS,63,0.253,0.38,0.001953125,0.0,32.0
4G/5G 干扰,BDS21,BDS,150,0.253,0.253,0.001953125,60.375,41.0
4G/5G 干扰,BDS22,BDS,100,0.3165,0.38,0.0029296875,2.1875,30.5
4G/5G 干扰,BDS3,BDS,95,0.253,0.253,0.001953125,59.5,46.0
4G/5G 干扰,BDS34,BDS,100,0.38,0.38,0.00390625,0.09375,30.0
4G/5G 干扰,BDS35,BDS,150,0.253,0.253,0.001953125,59.484375,42.0
4G/5G 干扰,BDS4,BDS,100,0.253,0.253,0.001953125,63.328125,43.0
4G/5G 干扰,BDS6,BDS,100,0.253,0.253,0.001953125,62.046875,44.5
4G/5G 干扰,BDS8,BDS,100,0.253,0.253,0.001953125,62.046875,42.5
4G/5G 干扰,BDS9,BDS,150,0.253,0.253,0.001953125,60.140625,34.0
4G/5G 干扰,GAL10,GAL,150,0.169,0.253,0.001953125,62.59375,48.0
4G/5G 干扰,GAL12,GAL,150,0.253,0.253,0.001953125,60.09375,41.0
4G/5G 干扰,GAL18,GAL,150,0.169,0.253,0.001953125,62.375,48.0
4G/5G 干扰,GAL28,GAL,150,0.169,0.253,0.001953125,62.640625,48.0
4G/5G 干扰,GAL4,GAL,150,0.169,0.253,0.001953125,62.546875,47.0
4G/5G 干扰,GAL6,GAL,150,0.169,0.253,0.001953125,62.640625,48.0
4G/5G 干扰,GAL9,GAL,150,0.253,0.253,0.001953125,62.734375,47.0
4G/5G 干扰,GLO81,GLO,100,0.253,0.253,0.001953125,62.78125,46.0
4G/5G 干扰,GLO82,GLO,100,0.253,0.253,0.001953125,62.734375,42.5
4G/5G 干扰,GLO95,GLO,100,0.21100000000000002,0.253,0.001953125,62.78125,46.0
4G/5G 干扰,GLO96,GLO,100,0.21100000000000002,0.253,0.001953125,62.484375,45.5
4G/5G 干扰,GLO97,GLO,50,0.253,0.253,0.001953125,62.484375,39.0
4G/5G 干扰,GPS11,GPS,150,0.253,0.253,0.001953125,62.046875,46.0
4G/5G 干扰,GPS15,GPS,100,0.253,0.253,0.001953125,62.59375,42.5
4G/5G 干扰,GPS20,GPS,100,0.253,0.253,0.001953125,62.59375,46.0
4G/5G 干扰,GPS29,GPS,100,0.253,0.253,0.001953125,32.984375,36.5
4G/5G 干扰,GPS30,GPS,50,0.253,0.38,0.001953125,3.28125,34.0
4G/5G 干扰,GPS5,GPS,100,0.253,0.253,0.001953125,62.484375,45.5
4G/5G 干扰,GPS6,GPS,150,0.38,0.38,0.00390625,1.375,30.0
4G/5G 干扰,QZS194,QZS,150,0.253,0.38,0.001953125,21.09375,33.0
4G/5G 干扰,QZS195,QZS,150,0.253,0.253,0.001953125,62.234375,45.0
4G/5G 干扰,QZS199,QZS,150,0.253,0.253,0.001953125,61.390625,42.0
无干扰 #4,BDS1,BDS,100,0.253,0.253,0.001953125,116.828125,45.0
无干扰 #4,BDS14,BDS,100,0.253,0.38,0.001953125,61.046875,33.5
无干扰 #4,BDS2,BDS,89,0.253,0.38,0.001953125,0.09375,33.0
无干扰 #4,BDS21,BDS,150,0.253,0.253,0.001953125,114.1875,40.0
无干扰 #4,BDS22,BDS,50,0.253,0.38,0.001953125,3.6875,31.0
无干扰 #4,BDS3,BDS,100,0.253,0.253,0.001953125,85.234375,43.0
无干扰 #4,BDS34,BDS,50,0.38,0.38,0.00390625,0.546875,28.0
无干扰 #4,BDS35,BDS,150,0.253,0.253,0.001953125,113.28125,42.0
无干扰 #4,BDS4,BDS,100,0.253,0.253,0.001953125,117.140625,43.0
无干扰 #4,BDS6,BDS,100,0.253,0.253,0.001953125,115.828125,44.5
无干扰 #4,BDS8,BDS,100,0.253,0.253,0.001953125,115.828125,42.5
无干扰 #4,BDS9,BDS,150,0.253,0.253,0.001953125,113.9375,36.0
无干扰 #4,GAL10,GAL,150,0.169,0.253,0.001953125,116.375,47.0
无干扰 #4,GAL12,GAL,150,0.253,0.253,0.001953125,113.890625,43.0
无干扰 #4,GAL18,GAL,150,0.169,0.253,0.001953125,116.1875,48.0
无干扰 #4,GAL28,GAL,150,0.253,0.253,0.001953125,116.4375,46.0
无干扰 #4,GAL4,GAL,150,0.169,0.253,0.001953125,116.328125,47.0
无干扰 #4,GAL6,GAL,150,0.169,0.253,0.001953125,116.4375,47.0
无干扰 #4,GAL9,GAL,150,0.253,0.253,0.001953125,116.546875,47.0
无干扰 #4,GLO81,GLO,100,0.253,0.253,0.001953125,116.59375,45.5
无干扰 #4,GLO82,GLO,100,0.253,0.253,0.001953125,116.546875,42.5
无干扰 #4,GLO95,GLO,100,0.21100000000000002,0.253,0.001953125,116.59375,46.0
无干扰 #4,GLO96,GLO,100,0.21100000000000002,0.253,0.001953125,116.28125,45.5
无干扰 #4,GLO97,GLO,50,0.253,0.253,0.001953125,116.28125,41.0
无干扰 #4,GPS11,GPS,150,0.253,0.253,0.001953125,115.828125,46.0
无干扰 #4,GPS15,GPS,100,0.253,0.253,0.001953125,68.890625,44.5
无干扰 #4,GPS20,GPS,100,0.21100000000000002,0.253,0.001953125,116.375,46.5
无干扰 #4,GPS29,GPS,100,0.253,0.253,0.001953125,59.53125,36.0
无干扰 #4,GPS30,GPS,50,0.38,0.38,0.001953125,2.390625,31.0
无干扰 #4,GPS5,GPS,100,0.21100000000000002,0.253,0.001953125,116.28125,45.5
无干扰 #4,GPS6,GPS,100,0.3165,0.38,0.0029296875,0.046875,30.5
无干扰 #4,QZS194,QZS,144,0.253,0.38,0.001953125,17.390625,32.0
无干扰 #4,QZS195,QZS,150,0.253,0.253,0.001953125,116.046875,45.0
无干扰 #4,QZS199,QZS,150,0.253,0.253,0.001953125,115.1875,42.0
Wi-Fi 干扰,BDS1,BDS,100,0.253,0.253,0.001953125,171.046875,43.5
Wi-Fi 干扰,BDS14,BDS,100,0.253,0.253,0.001953125,87.28125,34.5
Wi-Fi 干扰,BDS2,BDS,94,0.253,0.38,0.001953125,0.09375,33.0
Wi-Fi 干扰,BDS21,BDS,150,0.253,0.253,0.001953125,168.375,41.0
Wi-Fi 干扰,BDS22,BDS,50,0.38,0.38,0.00390625,0.4375,27.5
Wi-Fi 干扰,BDS3,BDS,100,0.253,0.253,0.001953125,100.734375,43.5
Wi-Fi 干扰,BDS34,BDS,50,0.38,0.38,0.00390625,0.09375,26.0
Wi-Fi 干扰,BDS35,BDS,150,0.253,0.253,0.001953125,167.484375,41.0
Wi-Fi 干扰,BDS4,BDS,100,0.253,0.253,0.001953125,93.578125,43.0
Wi-Fi 干扰,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,170.046875,44.5
Wi-Fi 干扰,BDS8,BDS,100,0.253,0.253,0.001953125,170.046875,42.5
Wi-Fi 干扰,BDS9,BDS,150,0.253,0.253,0.001953125,168.140625,37.0
Wi-Fi 干扰,GAL10,GAL,150,0.169,0.253,0.001953125,170.59375,48.0
Wi-Fi 干扰,GAL12,GAL,150,0.253,0.253,0.001953125,168.09375,43.0
Wi-Fi 干扰,GAL18,GAL,150,0.169,0.253,0.001953125,170.375,48.0
Wi-Fi 干扰,GAL28,GAL,150,0.253,0.253,0.001953125,170.640625,44.5
Wi-Fi 干扰,GAL36,GAL,129,0.253,0.38,0.001953125,4.59375,36.0
Wi-Fi 干扰,GAL4,GAL,150,0.253,0.253,0.001953125,170.546875,47.0
Wi-Fi 干扰,GAL6,GAL,150,0.169,0.253,0.001953125,170.640625,47.0
Wi-Fi 干扰,GAL9,GAL,150,0.253,0.253,0.001953125,170.734375,46.0
