segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,650,0.253,0.25922769230769227,0.001953125,45.0,132.6875
无干扰 #1,B2I,50,0.253,0.25300000000000006,0.001953125,41.0,77.1875
无干扰 #1,B2a,141,0.253,0.27461702127659576,0.001953125,44.0,132.875
无干扰 #1,B3,600,0.253,0.2565833333333334,0.001953125,44.0,132.1875
无干扰 #1,E1,450,0.253,0.24618666666666672,0.001953125,43.0,133.59375
无干扰 #1,E5a,450,0.253,0.26711111111111113,0.001953125,42.0,133.28125
无干扰 #1,E5b,450,0.169,0.2063333333333334,0.001953125,48.0,132.6875
无干扰 #1,L1,680,0.253,0.2623382352941177,0.001953125,43.0,132.4375
无干扰 #1,L2,600,0.253,0.25300000000000006,0.001953125,43.0,133.375
无干扰 #1,L5,200,0.253,0.28307000000000004,0.001953125,46.5,133.0
409MHz 干扰,B1,585,0.253,0.25448888888888893,0.001953125,45.0,177.875
409MHz 干扰,B2I,51,0.253,0.25300000000000006,0.001953125,36.0,15.6875
409MHz 干扰,B2a,100,0.253,0.25300000000000006,0.001953125,37.0,2.6875
409MHz 干扰,B3,427,0.253,0.28006557377049185,0.001953125,35.0,1.375
409MHz 干扰,E1,450,0.253,0.2436466666666667,0.001953125,44.0,178.0
409MHz 干扰,E5a,400,0.253,0.2580800000000001,0.001953125,37.0,176.140625
409MHz 干扰,E5b,359,0.169,0.20760724233983288,0.001953125,47.0,175.875
409MHz 干扰,L1,687,0.253,0.2683435225618632,0.001953125,42.0,176.78125
409MHz 干扰,L2,200,0.3165,0.32125,0.001953125,31.5,0.09375
409MHz 干扰,L5,150,0.253,0.25300000000000006,0.001953125,41.0,179.046875
无干扰 #2,B1,600,0.253,0.26049500000000003,0.001953125,44.0,227.6875
无干扰 #2,B2I,50,0.253,0.25300000000000006,0.001953125,40.0,29.09375
无干扰 #2,B2a,150,0.253,0.25300000000000006,0.001953125,42.0,26.484375
无干扰 #2,B3,553,0.253,0.2457866184448463,0.001953125,44.0,28.875
无干扰 #2,E1,450,0.253,0.24929111111111113,0.001953125,45.0,228.0
无干扰 #2,E5a,400,0.253,0.25300000000000006,0.001953125,43.0,138.1875
无干扰 #2,E5b,400,0.169,0.19567000000000004,0.001953125,48.0,151.03125
无干扰 #2,L1,700,0.253,0.2711428571428572,0.001953125,42.5,226.59375
无干扰 #2,L2,625,0.253,0.271888,0.001953125,43.0,26.375
无干扰 #2,L5,233,0.253,0.27098712446351936,0.001953125,46.0,226.28125
392MHz 干扰,B1,502,0.253,0.30815139442231076,0.001953125,32.0,0.28125
392MHz 干扰,B2I,50,0.38,0.37999999999999995,0.00390625,25.0,0.1875
392MHz 干扰,B3,503,0.253,0.2757236580516899,0.001953125,36.0,75.6875
392MHz 干扰,E1,400,0.253,0.28475000000000006,0.001953125,36.0,1.0
392MHz 干扰,E5b,303,0.253,0.25383828382838286,0.001953125,37.0,1.09375
392MHz 干扰,L1,514,0.253,0.3056089494163424,0.001953125,34.0,0.875
392MHz 干扰,L2,616,0.253,0.2597889610389611,0.001953125,44.0,76.828125
无干扰 #3,B1,600,0.253,0.2534,0.001953125,44.0,24.1875
无干扰 #3,B2I,50,0.253,0.25300000000000006,0.001953125,38.0,24.890625
无干扰 #3,B2a,150,0.253,0.25300000000000006,0.001953125,44.0,23.09375
无干扰 #3,B3,567,0.253,0.25522398589065265,0.001953125,43.0,28.375
无干扰 #3,E1,400,0.253,0.23200000000000007,0.001953125,45.0,26.640625
无干扰 #3,E5a,400,0.253,0.25300000000000006,0.001953125,44.0,23.828125
无干扰 #3,E5b,400,0.169,0.19,0.001953125,48.0,26.828125
无干扰 #3,L1,768,0.253,0.4633932291666667,0.001953125,40.0,25.875
无干扰 #3,L2,611,0.253,0.24996726677577744,0.001953125,43.0,123.28125
无干扰 #3,L5,250,0.253,0.265632,0.001953125,46.0,22.046875
4G/5G 干扰,B1,600,0.253,0.262815,0.001953125,44.0,78.59375
4G/5G 干扰,B2I,50,0.253,0.25300000000000006,0.001953125,38.0,79.28125
4G/5G 干扰,B2a,132,0.253,0.25300000000000006,0.001953125,42.0,76.375
4G/5G 干扰,B3,548,0.253,0.24610218978102197,0.001953125,43.0,83.1875
4G/5G 干扰,E1,400,0.253,0.24166000000000007,0.001953125,44.5,80.328125
4G/5G 干扰,E5a,400,0.253,0.25300000000000006,0.001953125,43.0,77.59375
4G/5G 干扰,E5b,394,0.169,0.19437055837563455,0.001953125,48.0,80.78125
4G/5G 干扰,L1,780,0.253,0.27682820512820516,0.001953125,42.0,77.875
4G/5G 干扰,L2,650,0.253,0.25279076923076926,0.001953125,43.0,177.328125
4G/5G 干扰,L5,250,0.253,0.26671600000000006,0.001953125,45.0,74.546875
