baseline_seg,interf_seg,svid,sys,baseline_std_psr,interf_std_psr,delta
无干扰 #1,409MHz 干扰,BDS1,BDS,0.169,0.169,0.0
无干扰 #1,409MHz 干扰,BDS14,BDS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,BDS2,BDS,0.253,0.38,0.127
无干扰 #1,409MHz 干扰,BDS21,BDS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,BDS22,BDS,0.38,0.38,0.0
无干扰 #1,409MHz 干扰,BDS3,BDS,0.21100000000000002,0.169,-0.04200000000000001
无干扰 #1,409MHz 干扰,BDS34,BDS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,BDS35,BDS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,BDS4,BDS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,BDS6,BDS,0.21100000000000002,0.253,0.04199999999999998
无干扰 #1,409MHz 干扰,BDS8,BDS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,BDS9,BDS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL10,GAL,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL11,GAL,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL12,GAL,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL18,GAL,0.169,0.169,0.0
无干扰 #1,409MHz 干扰,GAL28,GAL,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL36,GAL,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL4,GAL,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL6,GAL,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GAL9,GAL,0.169,0.169,0.0
无干扰 #1,409MHz 干扰,GLO44,GLO,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GLO45,GLO,0.253,0.3165,0.0635
无干扰 #1,409MHz 干扰,GLO58,GLO,0.253,0.3165,0.0635
无干扰 #1,409MHz 干扰,GLO59,GLO,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GLO60,GLO,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GPS11,GPS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GPS15,GPS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GPS20,GPS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GPS29,GPS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,GPS30,GPS,0.38,0.38,0.0
无干扰 #1,409MHz 干扰,GPS5,GPS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,QZS194,QZS,0.253,0.38,0.127
无干扰 #1,409MHz 干扰,QZS195,QZS,0.253,0.253,0.0
无干扰 #1,409MHz 干扰,QZS199,QZS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,BDS1,BDS,0.169,0.253,0.08399999999999999
无干扰 #2,392MHz 干扰,BDS14,BDS,0.253,0.3165,0.0635
无干扰 #2,392MHz 干扰,BDS2,BDS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,BDS21,BDS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,BDS3,BDS,0.21100000000000002,0.253,0.04199999999999998
无干扰 #2,392MHz 干扰,BDS34,BDS,0.253,0.38,0.127
无干扰 #2,392MHz 干扰,BDS35,BDS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,BDS4,BDS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,BDS6,BDS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,BDS8,BDS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,BDS9,BDS,0.253,0.38,0.127
无干扰 #2,392MHz 干扰,GAL10,GAL,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GAL11,GAL,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GAL12,GAL,0.253,0.38,0.127
无干扰 #2,392MHz 干扰,GAL18,GAL,0.169,0.253,0.08399999999999999
无干扰 #2,392MHz 干扰,GAL36,GAL,0.253,0.38,0.127
无干扰 #2,392MHz 干扰,GAL4,GAL,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GAL6,GAL,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GAL9,GAL,0.169,0.253,0.08399999999999999
无干扰 #2,392MHz 干扰,GLO44,GLO,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GLO45,GLO,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GLO58,GLO,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GLO59,GLO,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GLO60,GLO,0.253,0.38,0.127
无干扰 #2,392MHz 干扰,GPS11,GPS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GPS15,GPS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,GPS20,GPS,0.253,0.21100000000000002,-0.04199999999999998
无干扰 #2,392MHz 干扰,GPS29,GPS,0.253,0.3165,0.0635
无干扰 #2,392MHz 干扰,GPS30,GPS,0.38,0.38,0.0
无干扰 #2,392MHz 干扰,GPS5,GPS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,QZS194,QZS,0.38,0.38,0.0
无干扰 #2,392MHz 干扰,QZS195,QZS,0.253,0.253,0.0
无干扰 #2,392MHz 干扰,QZS199,QZS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS1,BDS,0.169,0.253,0.08399999999999999
无干扰 #3,4G/5G 干扰,BDS14,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS2,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS21,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS3,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS34,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS35,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS4,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS6,BDS,0.21100000000000002,0.253,0.04199999999999998
无干扰 #3,4G/5G 干扰,BDS8,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS9,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL10,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL11,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL12,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL18,GAL,0.169,0.169,0.0
无干扰 #3,4G/5G 干扰,GAL36,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL4,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL6,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL9,GAL,0.169,0.21100000000000002,0.04200000000000001
无干扰 #3,4G/5G 干扰,GLO38,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO44,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO45,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO58,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO59,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO60,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS11,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS15,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS20,GPS,0.21100000000000002,0.21100000000000002,0.0
无干扰 #3,4G/5G 干扰,GPS21,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS29,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS30,GPS,0.38,0.38,0.0
无干扰 #3,4G/5G 干扰,GPS5,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,QZS194,QZS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,QZS195,QZS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,QZS199,QZS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS1,BDS,0.253,0.21100000000000002,-0.04199999999999998
无干扰 #4,Wi-Fi 干扰,BDS14,BDS,0.253,0.253,0.0
