svid,sys,n,r
BDS1,BDS,1663,0.5587854988941594
BDS14,BDS,6836,0.17821498809055883
BDS2,BDS,4622,0.014979185485626519
BDS21,BDS,15436,0.1298855694394906
BDS22,BDS,7443,0.37455542239122963
BDS3,BDS,6790,0.023821250495713864
BDS34,BDS,7291,0.1522893059307771
BDS35,BDS,15520,0.06680292559103335
BDS4,BDS,6929,0.24625325912836968
BDS6,BDS,7140,0.17759773959611824
BDS8,BDS,7125,0.5348151668308507
BDS9,BDS,15510,0.1874794995849408
GAL10,GAL,15629,0.41003527246745725
GAL12,GAL,15008,0.18766844667221116
GAL18,GAL,15716,0.19392089395071838
GAL194,GAL,1206,0.7452180697593902
GAL195,GAL,123,0.026633907543540968
GAL28,GAL,15193,0.35136606973264695
GAL4,GAL,6669,0.35832819557881396
GAL6,GAL,15647,0.3942357409014401
GAL9,GAL,15554,0.4561687063459576
GLO41,GLO,1725,0.08130077092296525
GLO81,GLO,1668,0.2738514160503897
GLO82,GLO,6680,0.1704069382958364
GLO95,GLO,6692,0.13652536055674003
GLO96,GLO,6716,0.24916049433663703
GLO97,GLO,1669,0.11919083492115996
GPS11,GPS,15563,0.05995336325776829
GPS15,GPS,6881,0.6929113766618588
GPS20,GPS,8118,0.06752263835473435
GPS29,GPS,6154,-0.02910320035552435
GPS30,GPS,2820,0.09829024313913369
GPS44,GPS,1676,-0.032676323974598354
GPS5,GPS,1680,0.6230753654996813
GPS6,GPS,11641,0.18377569774084165
QZS192,QZS,1896,0.9359210245494894
QZS385,QZS,4398,-0.02357657513733115
QZS386,QZS,13688,0.014820478658752344
QZS390,QZS,15080,0.12075437118329772
