baseline_seg,interf_seg,svid,pre_cno,interf_cno,delta
无干扰 #1,409MHz 干扰,BDS1,46.0,45.0,-1.0
无干扰 #1,409MHz 干扰,BDS14,38.375,35.625,-2.75
无干扰 #1,409MHz 干扰,BDS2,45.25,36.5,-8.75
无干扰 #1,409MHz 干扰,BDS21,44.75,35.0,-9.75
无干扰 #1,409MHz 干扰,BDS22,36.25,32.125,-4.125
无干扰 #1,409MHz 干扰,BDS3,42.75,40.0,-2.75
无干扰 #1,409MHz 干扰,BDS34,32.25,28.75,-3.5
无干扰 #1,409MHz 干扰,BDS35,42.5,34.75,-7.75
无干扰 #1,409MHz 干扰,BDS4,43.25,45.5,2.25
无干扰 #1,409MHz 干扰,BDS42,31.5,33.75,2.25
无干扰 #1,409MHz 干扰,BDS6,45.5,44.875,-0.625
无干扰 #1,409MHz 干扰,BDS8,43.75,39.5,-4.25
无干扰 #1,409MHz 干扰,BDS9,36.5,35.5,-1.0
无干扰 #1,409MHz 干扰,GAL10,44.75,44.25,-0.5
无干扰 #1,409MHz 干扰,GAL11,43.125,38.0,-5.125
无干扰 #1,409MHz 干扰,GAL12,39.75,36.5,-3.25
无干扰 #1,409MHz 干扰,GAL18,44.5,44.75,0.25
无干扰 #1,409MHz 干扰,GAL194,32.5,28.25,-4.25
无干扰 #1,409MHz 干扰,GAL28,45.25,38.25,-7.0
无干扰 #1,409MHz 干扰,GAL4,45.75,45.875,0.125
无干扰 #1,409MHz 干扰,GAL6,44.5,42.0,-2.5
无干扰 #1,409MHz 干扰,GAL9,44.0,42.25,-1.75
无干扰 #1,409MHz 干扰,GLO41,39.25,41.0,1.75
无干扰 #1,409MHz 干扰,GLO81,47.75,46.5,-1.25
无干扰 #1,409MHz 干扰,GLO82,42.0,38.125,-3.875
无干扰 #1,409MHz 干扰,GLO95,41.0,38.875,-2.125
无干扰 #1,409MHz 干扰,GLO96,44.25,41.625,-2.625
无干扰 #1,409MHz 干扰,GLO97,41.5,35.25,-6.25
无干扰 #1,409MHz 干扰,GPS11,41.25,45.125,3.875
无干扰 #1,409MHz 干扰,GPS15,45.25,37.75,-7.5
无干扰 #1,409MHz 干扰,GPS20,41.375,44.25,2.875
无干扰 #1,409MHz 干扰,GPS29,39.875,42.0,2.125
无干扰 #1,409MHz 干扰,GPS44,29.75,35.875,6.125
无干扰 #1,409MHz 干扰,QZS192,46.0,39.25,-6.75
无干扰 #1,409MHz 干扰,QZS386,41.5,38.375,-3.125
无干扰 #1,409MHz 干扰,QZS390,40.75,37.625,-3.125
无干扰 #2,392MHz 干扰,BDS1,46.0,33.625,-12.375
无干扰 #2,392MHz 干扰,BDS14,38.5,31.25,-7.25
无干扰 #2,392MHz 干扰,BDS2,45.0,41.25,-3.75
无干扰 #2,392MHz 干扰,BDS21,45.5,33.0,-12.5
无干扰 #2,392MHz 干扰,BDS3,42.25,34.5,-7.75
