segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,50,47.0,46.0,46.5,46.75,46.5
无干扰 #1,BDS14,BDS,100,40.25,33.5,33.75,39.5,36.5
无干扰 #1,BDS2,BDS,100,46.25,38.0,38.5,46.0,42.5
无干扰 #1,BDS21,BDS,150,46.5,41.0,41.25,46.0,44.75
无干扰 #1,BDS22,BDS,150,45.75,43.0,43.25,45.75,45.5
无干扰 #1,BDS3,BDS,100,45.25,37.75,38.0,45.0,41.5
无干扰 #1,BDS34,BDS,118,44.0,25.25,36.75,43.75,37.0
无干扰 #1,BDS35,BDS,150,47.0,29.25,30.0,46.75,45.5
无干扰 #1,BDS4,BDS,100,44.5,42.0,42.75,44.0625,43.5
无干扰 #1,BDS6,BDS,100,46.75,42.25,42.5,46.5,44.5
无干扰 #1,BDS8,BDS,100,44.75,43.25,43.5,44.5,44.25
无干扰 #1,BDS9,BDS,150,46.0,33.75,35.75,45.75,38.5
无干扰 #1,GAL10,GAL,150,47.75,43.75,44.0,47.0,45.0
无干扰 #1,GAL12,GAL,150,45.25,38.5,39.5,45.0,43.0
无干扰 #1,GAL18,GAL,150,47.25,40.25,40.5,46.5,45.25
无干扰 #1,GAL194,GAL,50,43.5,42.75,43.0,43.25,43.0
无干扰 #1,GAL28,GAL,150,45.5,44.0,44.25,44.75,44.5
无干扰 #1,GAL4,GAL,100,46.25,44.25,44.75,46.0,45.25
无干扰 #1,GAL6,GAL,150,45.0,43.75,44.0,44.25,44.0
无干扰 #1,GAL9,GAL,150,46.75,44.5,45.0,46.5,45.75
无干扰 #1,GLO41,GLO,50,38.25,37.0,37.75,38.0,37.75
无干扰 #1,GLO81,GLO,50,46.5,46.5,46.5,46.5,46.5
无干扰 #1,GLO82,GLO,100,43.75,38.0,39.75,43.5,41.625
无干扰 #1,GLO95,GLO,100,45.0,43.25,43.5,44.0625,44.0
无干扰 #1,GLO96,GLO,100,46.0,42.5,43.0,45.75,44.25
无干扰 #1,GLO97,GLO,50,42.0,41.5,41.5,42.0,41.75
无干扰 #1,GPS11,GPS,150,45.25,40.5,40.75,44.75,42.75
无干扰 #1,GPS15,GPS,100,46.5,44.5,44.75,46.5,45.625
无干扰 #1,GPS20,GPS,150,44.5,38.75,39.0,43.9375,43.0
无干扰 #1,GPS29,GPS,100,46.5,33.75,35.25,46.5,41.125
无干扰 #1,GPS30,GPS,43,30.5,28.5,29.25,30.25,29.5
无干扰 #1,GPS44,GPS,50,30.5,23.75,28.0,30.25,29.75
无干扰 #1,GPS5,GPS,50,44.5,44.25,44.5,44.5,44.5
无干扰 #1,GPS6,GPS,150,39.5,33.0,34.75,39.4375,39.25
无干扰 #1,QZS192,QZS,50,46.5,46.25,46.25,46.25,46.25
无干扰 #1,QZS385,QZS,100,35.25,24.75,26.25,34.5,30.5
无干扰 #1,QZS386,QZS,150,42.25,29.75,32.0,42.25,42.0
无干扰 #1,QZS390,QZS,150,46.0,38.0,38.25,45.75,41.25
409MHz 干扰,BDS1,BDS,2,46.25,46.25,46.25,46.25,46.25
409MHz 干扰,BDS14,BDS,100,41.75,24.75,27.5,41.25,34.75
409MHz 干扰,BDS2,BDS,50,47.0,35.25,46.25,46.5,46.5
409MHz 干扰,BDS21,BDS,88,43.75,24.25,26.5,43.5,27.625
409MHz 干扰,BDS22,BDS,50,43.75,27.0,28.0,43.75,29.25
409MHz 干扰,BDS3,BDS,54,44.5,37.5,38.0,38.25,38.0
409MHz 干扰,BDS34,BDS,50,45.25,44.5,44.75,45.25,45.0
409MHz 干扰,BDS35,BDS,130,45.75,28.0,29.25,45.5,36.0
409MHz 干扰,BDS4,BDS,50,44.75,29.25,44.0,44.25,44.25
409MHz 干扰,BDS6,BDS,100,46.0,42.25,42.75,45.75,44.375
409MHz 干扰,BDS8,BDS,100,43.0,29.5,30.6875,42.75,37.25
