svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,1734,48.0,27.5,46.25,47.25,47.0,46.21107266435986
BDS14,BDS,3469,41.5,15.5,32.0,38.25,32.25,34.7519458057077
BDS19,BDS,379,41.0,19.75,31.875,33.0,32.25,32.42018469656992
BDS2,BDS,2520,47.5,24.0,34.75,42.5,42.25,39.263392857142854
BDS21,BDS,5221,47.0,18.5,32.25,43.75,40.75,38.40389772074315
BDS22,BDS,2960,45.5,21.0,36.75,39.5,38.75,38.300844594594594
BDS3,BDS,3506,48.25,22.0,32.75,47.0,36.25,39.69160011409013
BDS34,BDS,2738,42.5,19.0,29.25,34.25,31.5,31.758582907231556
BDS35,BDS,5255,48.0,15.5,30.75,46.25,42.0,38.757754519505234
BDS4,BDS,3579,48.0,23.25,40.25,45.75,41.0,42.49266554903604
BDS6,BDS,3580,48.25,21.0,41.0,47.5,41.5,43.48324022346369
BDS8,BDS,3578,48.25,20.75,42.0,45.25,42.75,43.285844046953606
BDS9,BDS,5258,45.5,16.0,36.75,39.75,39.25,38.22841384556866
GAL10,GAL,5252,51.25,22.25,40.0,48.75,48.0,44.767993145468395
GAL12,GAL,5023,51.75,20.75,41.0,43.25,42.25,42.06977901652399
GAL18,GAL,5255,53.5,18.25,36.75,50.0,48.75,44.38506184586109
GAL194,GAL,1206,41.75,23.25,35.75,40.0,38.5,36.44548092868988
GAL195,GAL,704,53.0,15.75,27.25,38.25,30.25,32.39595170454545
GAL28,GAL,5083,54.5,24.0,41.25,48.0,45.75,44.78226441078103
GAL36,GAL,1510,41.0,25.25,35.5,38.0,36.5,36.400496688741725
GAL4,GAL,3345,49.75,26.0,47.5,48.25,48.0,47.81240657698057
GAL6,GAL,5256,51.75,23.25,38.25,48.25,47.5,43.84118150684932
GAL9,GAL,5205,54.5,22.75,41.0,48.0,47.0,44.77804995196926
GLO38,GLO,9,34.25,31.5,33.25,34.0,33.75,33.47222222222222
GLO39,GLO,6,34.5,33.25,33.5,34.3125,33.625,33.833333333333336
GLO41,GLO,1730,52.0,14.0,36.75,39.75,38.5,37.721098265895954
GLO49,GLO,5,33.25,32.5,32.5,33.0,32.75,32.8
GLO81,GLO,1673,48.5,21.5,46.75,47.25,47.0,46.917065152420804
GLO82,GLO,3351,52.0,19.75,44.0,45.5,45.0,44.70128319904506
GLO95,GLO,3356,49.25,17.0,41.0,47.75,44.25,44.25968414779499
GLO96,GLO,3368,49.75,18.0,45.0,47.5,46.0,45.988494655581945
GLO97,GLO,1677,51.25,23.5,43.5,44.0,43.75,43.74686940966011
GPS11,GPS,5274,49.75,14.5,31.0,47.75,46.5,40.91894197952218
GPS15,GPS,3554,49.25,19.0,43.0,45.25,43.75,43.14441474395048
GPS20,GPS,3811,48.0,18.0,39.75,46.5,43.0,42.221004985568094
GPS29,GPS,3088,47.0,22.5,38.0,45.25,42.75,41.483484455958546
GPS30,GPS,2411,40.5,19.0,30.5,35.0,33.25,32.23983824139361
GPS4,GPS,183,27.5,19.75,21.75,25.0,23.25,23.37295081967213
GPS44,GPS,1681,48.5,17.75,26.5,32.25,29.75,29.27528256989887
GPS45,GPS,7,22.75,17.25,18.625,21.25,19.75,19.928571428571427
GPS5,GPS,1691,49.25,20.25,47.0,48.0,47.5,47.1583382613838
GPS58,GPS,33,27.0,18.25,23.5,26.25,24.5,24.28787878787879
GPS59,GPS,7,27.0,17.75,18.375,22.0,21.5,21.0
GPS6,GPS,4349,46.25,15.75,32.75,43.0,40.5,38.070993331800416
QZS192,QZS,1901,48.75,16.25,42.25,42.75,42.5,40.188321935823254
QZS199,QZS,6,21.0,15.75,16.4375,19.0,17.625,17.916666666666668
QZS205,QZS,8,16.0,14.75,14.75,15.75,15.375,15.3125
QZS385,QZS,2199,37.25,23.0,32.5,36.25,34.25,34.146884947703505
QZS386,QZS,4577,48.5,18.25,34.5,46.25,45.75,41.970340834607825
QZS390,QZS,5045,47.5,16.5,40.0,45.0,41.75,41.97249752229931
