segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1422,0.001953125,0.002167391877637131,0.001953125,0.00390625
无干扰 #1,GAL,1346,0.001953125,0.0020503459323922735,0.001953125,0.00390625
无干扰 #1,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GPS,600,0.001953125,0.0021158854166666665,0.001953125,0.00390625
无干扰 #1,QZS,436,0.001953125,0.001980002866972477,0.001953125,0.00390625
409MHz 干扰,BDS,1130,0.001953125,0.0021363384955752213,0.001953125,0.00390625
409MHz 干扰,GAL,1230,0.001953125,0.001980119410569106,0.001953125,0.00390625
409MHz 干扰,GLO,450,0.001953125,0.002400173611111111,0.001953125,0.005859375
409MHz 干扰,GPS,350,0.001953125,0.002232142857142857,0.001953125,0.00390625
409MHz 干扰,QZS,241,0.001953125,0.002285399377593361,0.001953125,0.00390625
无干扰 #2,BDS,1350,0.001953125,0.0020905671296296297,0.001953125,0.00390625
无干扰 #2,GAL,1250,0.001953125,0.00200625,0.001953125,0.00390625
无干扰 #2,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GPS,681,0.001953125,0.0023202321953010277,0.001953125,0.005859375
无干扰 #2,QZS,431,0.001953125,0.0023156540023201856,0.001953125,0.00390625
392MHz 干扰,BDS,1050,0.001953125,0.0026004464285714285,0.00390625,0.00390625
392MHz 干扰,GAL,678,0.001953125,0.002200866519174041,0.001953125,0.00390625
392MHz 干扰,GLO,299,0.001953125,0.0023319920568561875,0.001953125,0.005859375
392MHz 干扰,GPS,581,0.001953125,0.00248762908777969,0.001953125,0.0078125
392MHz 干扰,QZS,271,0.001953125,0.0027242850553505535,0.00390625,0.0078125
无干扰 #3,BDS,1357,0.001953125,0.00207834377302874,0.001953125,0.00390625
无干扰 #3,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GLO,500,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GPS,721,0.001953125,0.0022104715672676837,0.001953125,0.005859375
无干扰 #3,QZS,420,0.001953125,0.0021298363095238093,0.001953125,0.03125
4G/5G 干扰,BDS,1327,0.001953125,0.002013470233609646,0.001953125,0.00390625
4G/5G 干扰,GAL,1198,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GLO,500,0.001953125,0.00199609375,0.001953125,0.00390625
4G/5G 干扰,GPS,730,0.001953125,0.002108304794520548,0.001953125,0.00390625
4G/5G 干扰,QZS,450,0.001953125,0.002265625,0.001953125,0.005859375
无干扰 #4,BDS,1349,0.001953125,0.0019545728317272052,0.001953125,0.00390625
无干扰 #4,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GLO,500,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GPS,750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
Wi-Fi 干扰,BDS,1488,0.001953125,0.0020883211525537636,0.001953125,0.00390625
Wi-Fi 干扰,GAL,1195,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GLO,500,0.001953125,0.00198046875,0.001953125,0.00390625
Wi-Fi 干扰,GPS,750,0.001953125,0.0019973958333333332,0.001953125,0.00390625
Wi-Fi 干扰,QZS,450,0.001953125,0.002105034722222222,0.001953125,0.00390625
无干扰 #5,BDS,1437,0.001953125,0.0020210834203201115,0.001953125,0.00390625
无干扰 #5,GAL,1305,0.001953125,0.002051903735632184,0.001953125,0.00390625
无干扰 #5,GLO,500,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GPS,750,0.001953125,0.002,0.001953125,0.00390625
无干扰 #5,QZS,450,0.001953125,0.0019618055555555556,0.001953125,0.00390625
