segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,650,0.253,0.2538523076923077,0.001953125,44.0,265.6875
无干扰 #1,B2,200,0.253,0.25300000000000006,0.001953125,39.5,163.6875
无干扰 #1,B3,539,0.253,0.2537068645640075,0.001953125,40.0,224.875
无干扰 #1,E1,365,0.169,0.18917808219178087,0.001953125,48.0,266.375
无干扰 #1,E5a,375,0.253,0.2614666666666668,0.001953125,40.0,262.28125
无干扰 #1,E5b,386,0.169,0.18771502590673575,0.001953125,48.0,264.890625
无干扰 #1,L1,700,0.253,0.25407571428571435,0.001953125,45.0,255.546875
无干扰 #1,L2,650,0.253,0.26861538461538464,0.001953125,44.0,249.1875
无干扰 #1,L5,250,0.253,0.25300000000000006,0.001953125,42.0,264.5
409MHz 干扰,B1,555,0.253,0.3052666666666667,0.001953125,33.0,0.875
409MHz 干扰,B2,25,0.253,0.253,0.001953125,35.0,2.375
409MHz 干扰,E1,250,0.38,0.37339599999999995,0.00390625,28.0,0.0
409MHz 干扰,L1,242,0.38,0.3902066115702479,0.00390625,26.0,0.09375
无干扰 #2,B1,645,0.253,0.25620310077519387,0.001953125,44.0,21.6875
无干扰 #2,B2,223,0.253,0.2569865470852019,0.001953125,36.0,17.0
无干扰 #2,B3,566,0.253,0.26444346289752657,0.001953125,39.0,17.09375
无干扰 #2,E1,350,0.169,0.19300000000000003,0.001953125,48.0,20.9375
无干扰 #2,E5a,350,0.253,0.25300000000000006,0.001953125,41.0,19.234375
无干扰 #2,E5b,350,0.169,0.18100000000000002,0.001953125,48.0,19.59375
无干扰 #2,L1,700,0.253,0.2548714285714286,0.001953125,46.0,19.5
无干扰 #2,L2,550,0.253,0.25300000000000006,0.001953125,45.0,18.828125
无干扰 #2,L5,250,0.253,0.2784,0.001953125,41.0,16.09375
392MHz 干扰,B1,26,0.38,0.35800000000000004,0.00390625,28.0,0.0
392MHz 干扰,L1,15,0.253,0.25300000000000006,0.001953125,34.0,0.28125
无干扰 #3,B1,590,0.253,0.25621694915254245,0.001953125,45.0,13.734375
无干扰 #3,B2,200,0.253,0.25871500000000003,0.001953125,38.5,11.6875
无干扰 #3,B3,489,0.253,0.2628691206543967,0.001953125,39.0,10.59375
无干扰 #3,E1,350,0.169,0.18196,0.001953125,48.0,15.640625
无干扰 #3,E5a,350,0.253,0.25300000000000006,0.001953125,40.0,14.28125
无干扰 #3,E5b,350,0.169,0.18100000000000002,0.001953125,48.0,14.328125
无干扰 #3,L1,750,0.253,0.24892266666666676,0.001953125,44.0,14.0
无干扰 #3,L2,649,0.253,0.25222342064714953,0.001953125,43.0,13.6875
无干扰 #3,L5,263,0.253,0.2998403041825095,0.001953125,42.0,9.875
4G/5G 干扰,B1,584,0.253,0.25862500000000005,0.001953125,45.0,60.375
4G/5G 干扰,B2,200,0.253,0.2815750000000001,0.001953125,38.0,34.390625
4G/5G 干扰,B3,516,0.253,0.2746589147286822,0.001953125,40.0,57.0
4G/5G 干扰,E1,350,0.169,0.18100000000000002,0.001953125,48.0,62.4375
4G/5G 干扰,E5a,350,0.253,0.25300000000000006,0.001953125,40.0,60.28125
4G/5G 干扰,E5b,350,0.169,0.19540000000000005,0.001953125,48.0,61.140625
4G/5G 干扰,L1,750,0.253,0.24382000000000004,0.001953125,46.0,60.375
4G/5G 干扰,L2,650,0.253,0.2557353846153847,0.001953125,44.0,60.046875
4G/5G 干扰,L5,255,0.253,0.3032941176470588,0.001953125,41.0,56.28125
无干扰 #4,B1,600,0.253,0.25808833333333336,0.001953125,44.5,114.0
无干扰 #4,B2,150,0.253,0.25300000000000006,0.001953125,40.0,111.828125
无干扰 #4,B3,488,0.253,0.26158811475409843,0.001953125,40.0,111.1875
无干扰 #4,E1,350,0.169,0.18100000000000002,0.001953125,48.0,116.234375
无干扰 #4,E5a,350,0.253,0.25300000000000006,0.001953125,39.0,114.09375
