baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,L1,0.253,0.253,0.0,43.0,42.0,-1.0
无干扰 #1,409MHz 干扰,E5a,0.253,0.253,0.0,42.0,38.0,-4.0
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,45.0,45.0,0.0
无干扰 #1,409MHz 干扰,B3,0.253,0.253,0.0,44.0,35.5,-8.5
无干扰 #1,409MHz 干扰,L2,0.253,0.3165,0.0635,43.0,30.0,-13.0
无干扰 #1,409MHz 干扰,E1,0.253,0.253,0.0,44.0,43.5,-0.5
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,44.0,37.0,-7.0
无干扰 #1,409MHz 干扰,E5b,0.169,0.169,0.0,48.0,48.0,0.0
无干扰 #1,409MHz 干扰,L5,0.253,0.253,0.0,46.5,42.0,-4.5
无干扰 #2,392MHz 干扰,L1,0.253,0.253,0.0,42.5,32.0,-10.5
无干扰 #2,392MHz 干扰,B1,0.253,0.253,0.0,44.0,32.0,-12.0
无干扰 #2,392MHz 干扰,B3,0.253,0.253,0.0,44.0,35.0,-9.0
无干扰 #2,392MHz 干扰,L2,0.253,0.253,0.0,43.0,44.0,1.0
无干扰 #2,392MHz 干扰,E1,0.253,0.253,0.0,45.0,35.0,-10.0
无干扰 #2,392MHz 干扰,B2,0.253,0.38,0.127,41.0,25.0,-16.0
无干扰 #2,392MHz 干扰,E5b,0.169,0.253,0.08399999999999999,48.0,37.0,-11.0
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,40.0,41.0,1.0
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,E1,0.253,0.253,0.0,45.0,44.5,-0.5
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,41.0,42.0,1.0
无干扰 #3,4G/5G 干扰,E5b,0.169,0.169,0.0,48.0,48.0,0.0
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,40.0,41.0,1.0
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,42.5,43.0,0.5
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,41.0,43.0,2.0
无干扰 #4,Wi-Fi 干扰,E1,0.253,0.253,0.0,44.0,45.0,1.0
无干扰 #4,Wi-Fi 干扰,B2,0.253,0.253,0.0,41.0,39.0,-2.0
无干扰 #4,Wi-Fi 干扰,E5b,0.169,0.169,0.0,48.0,48.0,0.0
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,44.0,45.0,1.0
