baseline_seg,interf_seg,sys,n,delta_median,delta_mean,delta_p25,delta_p75,n_increase,n_decrease
无干扰 #1,409MHz 干扰,BDS,13,0.0,0.00976923076923077,0.0,0.0,2,0
无干扰 #1,409MHz 干扰,GAL,8,0.0,0.015875,0.0,0.0,1,0
无干扰 #1,409MHz 干扰,GLO,5,0.0,0.008399999999999996,0.0,0.0,1,0
无干扰 #1,409MHz 干扰,GPS,5,0.0,-0.0127,0.0,0.0,0,1
无干扰 #1,409MHz 干扰,QZS,3,0.0,0.042333333333333334,0.0,0.0635,1,0
无干扰 #2,392MHz 干扰,BDS,11,0.0,0.038454545454545457,0.0,0.08449999999999999,4,0
无干扰 #2,392MHz 干扰,GAL,9,0.0,0.0,0.0,0.0,0,0
无干扰 #2,392MHz 干扰,GLO,5,0.0,0.0254,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,GPS,6,0.0,0.021166666666666667,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,QZS,3,0.0,0.042333333333333334,0.0,0.0635,1,0
无干扰 #3,4G/5G 干扰,BDS,12,0.0,0.0034999999999999983,0.0,0.0,1,0
无干扰 #3,4G/5G 干扰,GAL,8,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GLO,6,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GPS,6,0.0,0.010583333333333333,0.0,0.0,1,0
无干扰 #3,4G/5G 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,BDS,13,0.0,-0.004884615384615385,0.0,0.0,0,1
无干扰 #4,Wi-Fi 干扰,GAL,8,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,GLO,6,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,GPS,7,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
