segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.253,0.253,0.001953125,536.09375,45.0
无干扰 #1,BDS14,BDS,100,0.253,0.253,0.001953125,524.5,40.0
无干扰 #1,BDS2,BDS,87,0.253,0.253,0.001953125,140.6875,39.0
无干扰 #1,BDS21,BDS,150,0.253,0.253,0.001953125,526.6875,44.0
无干扰 #1,BDS22,BDS,100,0.38,0.38,0.00390625,3.59375,30.0
无干扰 #1,BDS3,BDS,100,0.253,0.253,0.001953125,321.328125,44.0
无干扰 #1,BDS34,BDS,122,0.253,0.253,0.001953125,4.1875,33.0
无干扰 #1,BDS35,BDS,150,0.253,0.253,0.001953125,524.9375,43.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,344.734375,43.0
无干扰 #1,BDS42,BDS,121,0.38,0.38,0.001953125,2.09375,31.0
无干扰 #1,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,535.390625,45.5
无干扰 #1,BDS8,BDS,100,0.253,0.253,0.001953125,569.9375,44.0
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,54.484375,35.0
无干扰 #1,GAL10,GAL,150,0.253,0.253,0.001953125,524.6875,45.0
无干扰 #1,GAL11,GAL,150,0.253,0.253,0.001953125,59.375,41.0
无干扰 #1,GAL12,GAL,150,0.253,0.253,0.001953125,520.1875,39.0
无干扰 #1,GAL18,GAL,150,0.253,0.253,0.001953125,524.875,45.0
无干扰 #1,GAL28,GAL,85,0.253,0.38,0.001953125,0.09375,32.0
无干扰 #1,GAL4,GAL,150,0.253,0.253,0.001953125,524.328125,44.0
无干扰 #1,GAL6,GAL,150,0.253,0.253,0.001953125,523.6875,44.0
无干扰 #1,GAL9,GAL,150,0.253,0.253,0.001953125,524.734375,44.0
无干扰 #1,GLO81,GLO,100,0.21100000000000002,0.253,0.001953125,569.640625,44.5
无干扰 #1,GLO82,GLO,100,0.253,0.253,0.001953125,165.78125,41.0
无干扰 #1,GLO95,GLO,100,0.253,0.253,0.001953125,569.734375,41.0
无干扰 #1,GLO96,GLO,100,0.253,0.253,0.001953125,570.484375,43.5
无干扰 #1,GLO97,GLO,50,0.253,0.253,0.001953125,66.984375,39.0
无干扰 #1,GPS11,GPS,150,0.253,0.253,0.001953125,526.484375,44.0
无干扰 #1,GPS15,GPS,100,0.253,0.253,0.001953125,569.59375,42.0
无干扰 #1,GPS20,GPS,100,0.253,0.253,0.001953125,570.234375,42.5
无干扰 #1,GPS29,GPS,100,0.3165,0.38,0.001953125,9.046875,32.5
无干扰 #1,GPS5,GPS,100,0.253,0.253,0.001953125,569.4375,41.5
无干扰 #1,QZS194,QZS,100,0.253,0.38,0.001953125,15.890625,33.0
无干扰 #1,QZS195,QZS,150,0.253,0.253,0.001953125,526.546875,44.0
无干扰 #1,QZS199,QZS,150,0.253,0.253,0.001953125,522.78125,40.0
409MHz 干扰,BDS1,BDS,95,0.253,0.38,0.001953125,564.59375,44.0
409MHz 干扰,BDS14,BDS,100,0.3165,0.38,0.001953125,284.828125,36.5
409MHz 干扰,BDS2,BDS,50,0.253,0.253,0.001953125,188.78125,40.0
409MHz 干扰,BDS21,BDS,134,0.253,0.38,0.001953125,2.9375,35.0
409MHz 干扰,BDS22,BDS,50,0.38,0.38,0.00390625,0.59375,28.0
409MHz 干扰,BDS3,BDS,58,0.253,0.38,0.001953125,567.78125,45.0
409MHz 干扰,BDS34,BDS,50,0.253,0.253,0.001953125,13.484375,34.0
409MHz 干扰,BDS35,BDS,142,0.253,0.253,0.001953125,2.546875,35.0
409MHz 干扰,BDS4,BDS,64,0.253,0.38,0.001953125,567.09375,41.0
409MHz 干扰,BDS42,BDS,50,0.38,0.38,0.00390625,0.328125,28.0
409MHz 干扰,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,286.6875,40.5
409MHz 干扰,BDS8,BDS,100,0.253,0.253,0.001953125,614.34375,40.0
409MHz 干扰,BDS9,BDS,100,0.3165,0.38,0.0029296875,4.140625,31.0
409MHz 干扰,GAL10,GAL,150,0.253,0.253,0.001953125,569.09375,44.0
409MHz 干扰,GAL11,GAL,115,0.253,0.38,0.001953125,3.0,38.0
409MHz 干扰,GAL12,GAL,150,0.253,0.38,0.001953125,3.046875,36.0
409MHz 干扰,GAL18,GAL,150,0.253,0.253,0.001953125,569.28125,44.0
409MHz 干扰,GAL28,GAL,50,0.38,0.38,0.00390625,0.0,29.0
409MHz 干扰,GAL36,GAL,88,0.253,0.38,0.001953125,16.390625,39.0
409MHz 干扰,GAL4,GAL,150,0.253,0.253,0.001953125,568.734375,43.0
409MHz 干扰,GAL6,GAL,150,0.253,0.253,0.001953125,22.390625,42.0
409MHz 干扰,GAL9,GAL,150,0.253,0.253,0.001953125,569.140625,42.0
409MHz 干扰,GLO81,GLO,100,0.253,0.253,0.001953125,287.84375,41.0
409MHz 干扰,GLO82,GLO,100,0.253,0.38,0.001953125,36.734375,37.5
409MHz 干扰,GLO95,GLO,100,0.253,0.253,0.001953125,287.375,39.0
409MHz 干扰,GLO96,GLO,100,0.253,0.253,0.001953125,286.6875,40.0
409MHz 干扰,GLO97,GLO,50,0.253,0.253,0.001953125,111.390625,41.0
409MHz 干扰,GPS11,GPS,100,0.253,0.253,0.001953125,568.375,41.0
409MHz 干扰,GPS15,GPS,50,0.253,0.253,0.001953125,569.59375,44.0
409MHz 干扰,GPS20,GPS,50,0.253,0.253,0.001953125,570.78125,42.0
409MHz 干扰,GPS29,GPS,50,0.253,0.38,0.001953125,15.390625,35.5
409MHz 干扰,GPS5,GPS,50,0.253,0.253,0.001953125,569.6875,45.0
409MHz 干扰,QZS194,QZS,50,0.38,0.38,0.00390625,1.78125,30.0
409MHz 干扰,QZS195,QZS,100,0.253,0.253,0.001953125,568.4375,41.5
409MHz 干扰,QZS199,QZS,100,0.253,0.253,0.001953125,347.53125,37.5
无干扰 #2,BDS1,BDS,100,0.253,0.253,0.001953125,323.9375,45.0
无干扰 #2,BDS14,BDS,100,0.253,0.253,0.001953125,324.78125,40.5
无干扰 #2,BDS2,BDS,93,0.253,0.253,0.001953125,234.5,38.0
无干扰 #2,BDS21,BDS,150,0.253,0.253,0.001953125,32.328125,45.0
无干扰 #2,BDS22,BDS,100,0.38,0.38,0.00390625,0.234375,26.5
无干扰 #2,BDS3,BDS,100,0.253,0.253,0.001953125,323.6875,44.5
无干扰 #2,BDS34,BDS,150,0.253,0.253,0.001953125,16.984375,36.0
无干扰 #2,BDS35,BDS,150,0.253,0.253,0.001953125,31.890625,44.0
无干扰 #2,BDS4,BDS,100,0.253,0.253,0.001953125,323.6875,42.0
无干扰 #2,BDS42,BDS,73,0.38,0.57,0.001953125,2.6875,31.0
无干扰 #2,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,324.9375,45.5
无干扰 #2,BDS8,BDS,100,0.253,0.253,0.001953125,664.34375,45.0
无干扰 #2,BDS9,BDS,150,0.253,0.253,0.001953125,29.234375,36.0
无干扰 #2,GAL10,GAL,150,0.253,0.253,0.001953125,619.09375,45.0
无干扰 #2,GAL11,GAL,150,0.253,0.253,0.001953125,30.875,43.0
无干扰 #2,GAL12,GAL,150,0.253,0.253,0.001953125,30.6875,37.0
无干扰 #2,GAL18,GAL,150,0.253,0.253,0.001953125,619.28125,45.0
无干扰 #2,GAL28,GAL,83,0.38,0.38,0.00390625,0.0,28.0
无干扰 #2,GAL36,GAL,142,0.253,0.253,0.001953125,27.28125,37.0
无干扰 #2,GAL4,GAL,150,0.253,0.253,0.001953125,616.640625,45.0
无干扰 #2,GAL6,GAL,150,0.253,0.253,0.001953125,72.390625,45.0
无干扰 #2,GAL9,GAL,150,0.253,0.253,0.001953125,619.140625,44.5
无干扰 #2,GLO81,GLO,100,0.253,0.253,0.001953125,324.53125,44.0
无干扰 #2,GLO82,GLO,100,0.253,0.253,0.001953125,32.375,41.0
无干扰 #2,GLO95,GLO,100,0.253,0.253,0.001953125,323.375,42.0
无干扰 #2,GLO96,GLO,100,0.253,0.253,0.001953125,325.078125,44.0
无干扰 #2,GLO97,GLO,50,0.253,0.253,0.001953125,161.390625,41.0
无干扰 #2,GPS11,GPS,150,0.253,0.253,0.001953125,615.890625,45.0
无干扰 #2,GPS15,GPS,100,0.253,0.253,0.001953125,323.09375,42.0
无干扰 #2,GPS20,GPS,100,0.253,0.253,0.001953125,323.828125,42.0
无干扰 #2,GPS21,GPS,40,0.253,0.253,0.001953125,6.28125,34.0
无干扰 #2,GPS29,GPS,100,0.253,0.253,0.001953125,21.4375,34.5
无干扰 #2,GPS5,GPS,100,0.253,0.253,0.001953125,323.234375,42.0
无干扰 #2,QZS194,QZS,150,0.253,0.38,0.001953125,2.234375,32.5
无干扰 #2,QZS195,QZS,150,0.253,0.253,0.001953125,615.9375,44.0
无干扰 #2,QZS199,QZS,150,0.253,0.253,0.001953125,177.890625,41.0
392MHz 干扰,BDS1,BDS,100,0.253,0.38,0.001953125,37.640625,40.0
392MHz 干扰,BDS14,BDS,100,0.253,0.38,0.001953125,1.875,33.0
392MHz 干扰,BDS2,BDS,53,0.38,0.38,0.00390625,0.0,29.0
392MHz 干扰,BDS21,BDS,100,0.253,0.38,0.001953125,42.328125,35.0
392MHz 干扰,BDS3,BDS,100,0.253,0.253,0.001953125,0.640625,37.0
392MHz 干扰,BDS34,BDS,100,0.38,0.38,0.00390625,0.0,26.0
392MHz 干扰,BDS35,BDS,100,0.253,0.253,0.001953125,8.84375,33.5
