baseline_seg,interf_seg,svid,pre_cno,interf_cno,delta
无干扰 #1,409MHz 干扰,BDS1,46.375,48.0,1.625
无干扰 #1,409MHz 干扰,BDS10,45.5,40.0,-5.5
无干扰 #1,409MHz 干扰,BDS12,45.625,39.75,-5.875
无干扰 #1,409MHz 干扰,BDS19,48.0,42.5,-5.5
无干扰 #1,409MHz 干扰,BDS2,40.25,37.75,-2.5
无干扰 #1,409MHz 干扰,BDS20,48.5,42.5,-6.0
无干扰 #1,409MHz 干扰,BDS22,42.25,34.875,-7.375
无干扰 #1,409MHz 干扰,BDS3,46.25,47.25,1.0
无干扰 #1,409MHz 干扰,BDS36,48.25,43.0,-5.25
无干扰 #1,409MHz 干扰,BDS39,42.25,35.0,-7.25
无干扰 #1,409MHz 干扰,BDS4,44.0,44.0,0.0
无干扰 #1,409MHz 干扰,BDS6,46.25,41.25,-5.0
无干扰 #1,409MHz 干扰,BDS7,47.25,41.25,-6.0
无干扰 #1,409MHz 干扰,BDS9,45.5,39.0,-6.5
无干扰 #1,409MHz 干扰,GAL15,42.25,38.75,-3.5
无干扰 #1,409MHz 干扰,GAL2,46.75,44.25,-2.5
无干扰 #1,409MHz 干扰,GAL25,48.75,44.25,-4.5
无干扰 #1,409MHz 干扰,GAL3,48.25,44.375,-3.875
无干扰 #1,409MHz 干扰,GAL32,48.0,46.0,-2.0
无干扰 #1,409MHz 干扰,GAL8,42.0,38.25,-3.75
无干扰 #1,409MHz 干扰,GLO78,33.5,40.125,6.625
无干扰 #1,409MHz 干扰,GLO79,46.75,43.5,-3.25
无干扰 #1,409MHz 干扰,GLO80,42.25,39.125,-3.125
无干扰 #1,409MHz 干扰,GLO90,47.375,43.0,-4.375
无干扰 #1,409MHz 干扰,GPS10,47.5,44.0,-3.5
无干扰 #1,409MHz 干扰,GPS12,44.0,45.0,1.0
无干扰 #1,409MHz 干扰,GPS13,47.0,42.875,-4.125
无干扰 #1,409MHz 干扰,GPS23,44.75,40.625,-4.125
无干扰 #1,409MHz 干扰,GPS24,40.0,41.75,1.75
无干扰 #1,409MHz 干扰,GPS25,45.5,41.875,-3.625
无干扰 #1,409MHz 干扰,GPS28,40.5,36.875,-3.625
无干扰 #1,409MHz 干扰,GPS31,33.875,38.25,4.375
无干扰 #1,409MHz 干扰,GPS32,44.75,42.125,-2.625
无干扰 #1,409MHz 干扰,QZS385,44.75,42.25,-2.5
无干扰 #1,409MHz 干扰,QZS386,34.25,34.0,-0.25
无干扰 #1,409MHz 干扰,QZS390,44.75,41.25,-3.5
无干扰 #2,392MHz 干扰,BDS1,46.5,35.125,-11.375
无干扰 #2,392MHz 干扰,BDS10,45.75,34.75,-11.0
无干扰 #2,392MHz 干扰,BDS12,45.375,35.25,-10.125
无干扰 #2,392MHz 干扰,BDS19,48.25,37.5,-10.75
无干扰 #2,392MHz 干扰,BDS2,40.125,31.25,-8.875
无干扰 #2,392MHz 干扰,BDS20,47.5,38.5,-9.0
无干扰 #2,392MHz 干扰,BDS22,39.0,31.5,-7.5
无干扰 #2,392MHz 干扰,BDS3,46.125,36.5,-9.625
无干扰 #2,392MHz 干扰,BDS36,48.5,37.75,-10.75
无干扰 #2,392MHz 干扰,BDS39,43.5,34.125,-9.375
无干扰 #2,392MHz 干扰,BDS4,44.375,34.5,-9.875
无干扰 #2,392MHz 干扰,BDS6,46.5,36.5,-10.0
无干扰 #2,392MHz 干扰,BDS7,47.5,36.5,-11.0
无干扰 #2,392MHz 干扰,BDS9,45.25,35.25,-10.0
无干扰 #2,392MHz 干扰,GAL15,42.75,30.25,-12.5
无干扰 #2,392MHz 干扰,GAL2,48.0,33.75,-14.25
无干扰 #2,392MHz 干扰,GAL25,48.25,37.0,-11.25
无干扰 #2,392MHz 干扰,GAL3,46.5,35.25,-11.25
无干扰 #2,392MHz 干扰,GAL32,48.75,38.25,-10.5
无干扰 #2,392MHz 干扰,GAL8,39.25,28.5,-10.75
无干扰 #2,392MHz 干扰,GLO78,41.375,35.0,-6.375
无干扰 #2,392MHz 干扰,GLO79,46.625,41.0,-5.625
无干扰 #2,392MHz 干扰,GLO80,43.25,39.625,-3.625
无干扰 #2,392MHz 干扰,GLO90,47.125,41.625,-5.5
无干扰 #2,392MHz 干扰,GPS10,47.5,42.375,-5.125
无干扰 #2,392MHz 干扰,GPS12,43.875,40.125,-3.75
