baseline_seg,interf_seg,svid,pre_cno,interf_cno,delta
无干扰 #1,409MHz 干扰,BDS1,46.625,48.75,2.125
无干扰 #1,409MHz 干扰,BDS10,44.75,37.25,-7.5
无干扰 #1,409MHz 干扰,BDS12,48.75,40.25,-8.5
无干扰 #1,409MHz 干扰,BDS19,47.25,36.25,-11.0
无干扰 #1,409MHz 干扰,BDS2,38.875,37.75,-1.125
无干扰 #1,409MHz 干扰,BDS20,47.75,35.0,-12.75
无干扰 #1,409MHz 干扰,BDS22,38.0,39.875,1.875
无干扰 #1,409MHz 干扰,BDS3,45.75,44.625,-1.125
无干扰 #1,409MHz 干扰,BDS36,48.75,34.75,-14.0
无干扰 #1,409MHz 干扰,BDS39,42.0,41.0,-1.0
无干扰 #1,409MHz 干扰,BDS4,45.75,46.25,0.5
无干扰 #1,409MHz 干扰,BDS6,49.25,41.25,-8.0
无干扰 #1,409MHz 干扰,BDS7,46.75,38.875,-7.875
无干扰 #1,409MHz 干扰,BDS9,45.0,36.5,-8.5
无干扰 #1,409MHz 干扰,GAL15,42.5,41.0,-1.5
无干扰 #1,409MHz 干扰,GAL2,46.75,42.75,-4.0
无干扰 #1,409MHz 干扰,GAL25,48.25,44.5,-3.75
无干扰 #1,409MHz 干扰,GAL3,49.25,43.75,-5.5
无干扰 #1,409MHz 干扰,GAL32,49.0,44.75,-4.25
无干扰 #1,409MHz 干扰,GAL8,40.5,31.625,-8.875
无干扰 #1,409MHz 干扰,GLO78,41.0,35.25,-5.75
无干扰 #1,409MHz 干扰,GLO79,47.25,36.0,-11.25
无干扰 #1,409MHz 干扰,GLO80,38.375,29.125,-9.25
无干扰 #1,409MHz 干扰,GLO90,46.625,34.875,-11.75
无干扰 #1,409MHz 干扰,GPS10,46.75,37.25,-9.5
无干扰 #1,409MHz 干扰,GPS12,45.0,43.5,-1.5
无干扰 #1,409MHz 干扰,GPS13,45.0,35.5,-9.5
无干扰 #1,409MHz 干扰,GPS23,46.5,35.5,-11.0
无干扰 #1,409MHz 干扰,GPS24,39.0,31.375,-7.625
无干扰 #1,409MHz 干扰,GPS25,45.5,34.75,-10.75
无干扰 #1,409MHz 干扰,GPS28,36.5,34.0,-2.5
无干扰 #1,409MHz 干扰,GPS31,28.625,29.0,0.375
无干扰 #1,409MHz 干扰,GPS32,40.5,33.375,-7.125
无干扰 #1,409MHz 干扰,QZS385,46.25,39.5,-6.75
无干扰 #1,409MHz 干扰,QZS386,39.75,35.5,-4.25
无干扰 #1,409MHz 干扰,QZS390,46.25,35.0,-11.25
无干扰 #2,392MHz 干扰,BDS1,46.875,29.75,-17.125
无干扰 #2,392MHz 干扰,BDS10,43.5,33.0,-10.5
无干扰 #2,392MHz 干扰,BDS12,48.0,30.0,-18.0
无干扰 #2,392MHz 干扰,BDS19,47.5,31.75,-15.75
无干扰 #2,392MHz 干扰,BDS2,39.75,27.625,-12.125
无干扰 #2,392MHz 干扰,BDS20,48.5,32.75,-15.75
无干扰 #2,392MHz 干扰,BDS22,40.0,30.0,-10.0
无干扰 #2,392MHz 干扰,BDS3,46.125,25.25,-20.875
无干扰 #2,392MHz 干扰,BDS36,48.5,30.25,-18.25
无干扰 #2,392MHz 干扰,BDS39,43.5,26.75,-16.75
无干扰 #2,392MHz 干扰,BDS4,45.875,28.25,-17.625
无干扰 #2,392MHz 干扰,BDS6,49.25,32.75,-16.5
无干扰 #2,392MHz 干扰,BDS7,46.75,29.0,-17.75
无干扰 #2,392MHz 干扰,BDS9,45.25,35.25,-10.0
无干扰 #2,392MHz 干扰,GAL15,44.0,38.375,-5.625
无干扰 #2,392MHz 干扰,GAL2,46.5,40.75,-5.75
无干扰 #2,392MHz 干扰,GAL25,47.0,40.75,-6.25
无干扰 #2,392MHz 干扰,GAL3,48.375,39.5,-8.875
无干扰 #2,392MHz 干扰,GAL32,47.5,40.375,-7.125
无干扰 #2,392MHz 干扰,GAL8,33.75,27.0,-6.75
无干扰 #2,392MHz 干扰,GLO78,45.5,35.375,-10.125
无干扰 #2,392MHz 干扰,GLO79,47.125,36.875,-10.25
无干扰 #2,392MHz 干扰,GLO80,42.25,32.375,-9.875
无干扰 #2,392MHz 干扰,GLO90,46.0,37.25,-8.75
无干扰 #2,392MHz 干扰,GPS10,47.25,35.5,-11.75
无干扰 #2,392MHz 干扰,GPS12,45.25,32.875,-12.375
无干扰 #2,392MHz 干扰,GPS13,45.0,33.5,-11.5
无干扰 #2,392MHz 干扰,GPS23,47.0,34.75,-12.25
无干扰 #2,392MHz 干扰,GPS24,34.5,29.25,-5.25
无干扰 #2,392MHz 干扰,GPS25,45.75,34.375,-11.375
无干扰 #2,392MHz 干扰,GPS28,38.25,28.625,-9.625
无干扰 #2,392MHz 干扰,GPS32,39.25,30.375,-8.875
无干扰 #2,392MHz 干扰,QZS385,46.25,35.0,-11.25
无干扰 #2,392MHz 干扰,QZS386,40.375,26.75,-13.625
无干扰 #2,392MHz 干扰,QZS390,46.0,33.25,-12.75
无干扰 #3,4G/5G 干扰,BDS1,46.625,47.125,0.5
无干扰 #3,4G/5G 干扰,BDS10,42.75,44.625,1.875
无干扰 #3,4G/5G 干扰,BDS12,47.375,48.0,0.625
无干扰 #3,4G/5G 干扰,BDS16,26.875,26.75,-0.125
无干扰 #3,4G/5G 干扰,BDS19,47.0,47.0,0.0
无干扰 #3,4G/5G 干扰,BDS2,39.5,39.0,-0.5
无干扰 #3,4G/5G 干扰,BDS20,48.0,48.0,0.0
无干扰 #3,4G/5G 干扰,BDS22,40.25,40.75,0.5
无干扰 #3,4G/5G 干扰,BDS3,46.375,46.75,0.375
无干扰 #3,4G/5G 干扰,BDS36,48.75,48.75,0.0
无干扰 #3,4G/5G 干扰,BDS39,44.75,43.75,-1.0
无干扰 #3,4G/5G 干扰,BDS4,45.625,45.75,0.125
无干扰 #3,4G/5G 干扰,BDS6,48.375,49.0,0.625
无干扰 #3,4G/5G 干扰,BDS7,46.625,47.0,0.375
无干扰 #3,4G/5G 干扰,BDS9,45.0,45.5,0.5
无干扰 #3,4G/5G 干扰,GAL15,43.5,43.5,0.0
无干扰 #3,4G/5G 干扰,GAL2,47.5,47.0,-0.5
无干扰 #3,4G/5G 干扰,GAL25,47.5,46.75,-0.75
无干扰 #3,4G/5G 干扰,GAL3,48.75,48.75,0.0
无干扰 #3,4G/5G 干扰,GAL32,48.5,48.25,-0.25
无干扰 #3,4G/5G 干扰,GAL8,36.25,40.75,4.5
无干扰 #3,4G/5G 干扰,GLO78,46.125,43.75,-2.375
无干扰 #3,4G/5G 干扰,GLO79,47.5,47.5,0.0
无干扰 #3,4G/5G 干扰,GLO80,38.5,39.625,1.125
无干扰 #3,4G/5G 干扰,GLO89,30.0,29.5,-0.5
无干扰 #3,4G/5G 干扰,GLO90,46.75,46.75,0.0
无干扰 #3,4G/5G 干扰,GPS10,47.5,47.25,-0.25
无干扰 #3,4G/5G 干扰,GPS12,44.625,44.875,0.25
无干扰 #3,4G/5G 干扰,GPS13,44.625,43.75,-0.875
无干扰 #3,4G/5G 干扰,GPS23,47.0,46.5,-0.5
无干扰 #3,4G/5G 干扰,GPS24,37.5,36.75,-0.75
无干扰 #3,4G/5G 干扰,GPS25,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,GPS28,39.0,40.25,1.25
无干扰 #3,4G/5G 干扰,GPS31,29.5,34.25,4.75
无干扰 #3,4G/5G 干扰,GPS32,39.5,41.5,2.0
无干扰 #3,4G/5G 干扰,QZS385,46.0,46.75,0.75
无干扰 #3,4G/5G 干扰,QZS386,39.0,39.75,0.75
无干扰 #3,4G/5G 干扰,QZS390,46.0,46.0,0.0
无干扰 #4,Wi-Fi 干扰,BDS1,46.75,46.625,-0.125
无干扰 #4,Wi-Fi 干扰,BDS10,44.0,45.25,1.25
无干扰 #4,Wi-Fi 干扰,BDS12,47.5,47.75,0.25
无干扰 #4,Wi-Fi 干扰,BDS16,26.0,27.0,1.0
无干扰 #4,Wi-Fi 干扰,BDS19,46.5,46.75,0.25
无干扰 #4,Wi-Fi 干扰,BDS2,39.75,39.5,-0.25
无干扰 #4,Wi-Fi 干扰,BDS20,46.25,45.75,-0.5
无干扰 #4,Wi-Fi 干扰,BDS22,40.0,40.0,0.0
无干扰 #4,Wi-Fi 干扰,BDS3,46.5,46.5,0.0
无干扰 #4,Wi-Fi 干扰,BDS36,48.75,48.75,0.0
无干扰 #4,Wi-Fi 干扰,BDS39,43.5,42.75,-0.75
无干扰 #4,Wi-Fi 干扰,BDS4,45.25,45.0,-0.25
无干扰 #4,Wi-Fi 干扰,BDS6,48.25,48.5,0.25
无干扰 #4,Wi-Fi 干扰,BDS7,47.0,47.0,0.0
无干扰 #4,Wi-Fi 干扰,BDS9,45.0,45.25,0.25
无干扰 #4,Wi-Fi 干扰,GAL13,34.5,27.375,-7.125
无干扰 #4,Wi-Fi 干扰,GAL15,45.0,44.75,-0.25
无干扰 #4,Wi-Fi 干扰,GAL2,48.0,48.5,0.5
无干扰 #4,Wi-Fi 干扰,GAL25,48.0,47.0,-1.0
无干扰 #4,Wi-Fi 干扰,GAL3,48.25,49.5,1.25
无干扰 #4,Wi-Fi 干扰,GAL32,48.75,48.5,-0.25
无干扰 #4,Wi-Fi 干扰,GAL8,39.25,38.5,-0.75
无干扰 #4,Wi-Fi 干扰,GLO78,45.0,44.0,-1.0
无干扰 #4,Wi-Fi 干扰,GLO79,47.25,46.875,-0.375
无干扰 #4,Wi-Fi 干扰,GLO80,43.125,42.0,-1.125
无干扰 #4,Wi-Fi 干扰,GLO89,26.5,24.75,-1.75
无干扰 #4,Wi-Fi 干扰,GLO90,47.0,46.75,-0.25
无干扰 #4,Wi-Fi 干扰,GPS10,47.0,47.25,0.25
无干扰 #4,Wi-Fi 干扰,GPS12,45.25,46.0,0.75
无干扰 #4,Wi-Fi 干扰,GPS13,44.125,44.875,0.75
无干扰 #4,Wi-Fi 干扰,GPS23,47.0,46.5,-0.5
无干扰 #4,Wi-Fi 干扰,GPS24,36.25,34.75,-1.5
无干扰 #4,Wi-Fi 干扰,GPS25,46.0,46.25,0.25
无干扰 #4,Wi-Fi 干扰,GPS28,40.5,39.5,-1.0
无干扰 #4,Wi-Fi 干扰,GPS31,32.0,30.625,-1.375
无干扰 #4,Wi-Fi 干扰,GPS32,40.75,41.375,0.625
无干扰 #4,Wi-Fi 干扰,QZS385,47.25,45.375,-1.875
无干扰 #4,Wi-Fi 干扰,QZS386,39.0,38.5,-0.5
无干扰 #4,Wi-Fi 干扰,QZS390,45.75,46.0,0.25
