segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,100,48.5,44.25,44.5,48.25,46.375
无干扰 #1,BDS10,BDS,150,47.0,42.5,42.5,46.0,45.5
无干扰 #1,BDS12,BDS,100,46.25,44.75,45.0,45.75,45.625
无干扰 #1,BDS19,BDS,150,49.5,43.5,44.25,49.25,48.0
无干扰 #1,BDS2,BDS,100,42.0,38.5,38.75,41.25,40.25
无干扰 #1,BDS20,BDS,150,49.25,46.0,46.25,49.25,48.5
无干扰 #1,BDS22,BDS,150,45.75,38.25,38.75,45.0,42.25
无干扰 #1,BDS3,BDS,100,48.25,43.75,44.5,48.0,46.25
无干扰 #1,BDS36,BDS,150,49.5,46.75,46.75,49.5,48.25
无干扰 #1,BDS39,BDS,150,46.5,41.25,41.75,46.0,42.25
无干扰 #1,BDS4,BDS,100,45.5,43.25,43.5,45.0,44.0
无干扰 #1,BDS6,BDS,100,47.25,45.5,45.5,47.0,46.25
无干扰 #1,BDS7,BDS,100,47.5,47.0,47.25,47.5,47.25
无干扰 #1,BDS9,BDS,150,46.5,43.75,44.0,46.5,45.5
无干扰 #1,GAL15,GAL,150,46.75,38.5,40.75,46.25,42.25
无干扰 #1,GAL2,GAL,150,49.75,45.0,45.25,49.5,46.75
无干扰 #1,GAL25,GAL,150,49.75,45.0,45.0,49.25,48.75
无干扰 #1,GAL3,GAL,150,50.5,46.75,47.0,50.5,48.25
无干扰 #1,GAL32,GAL,150,50.0,46.25,46.5,50.0,48.0
无干扰 #1,GAL8,GAL,150,45.5,38.75,39.0,45.25,42.0
无干扰 #1,GLO41,GLO,94,37.75,24.5,32.0,35.25,33.5
无干扰 #1,GLO42,GLO,100,46.75,46.25,46.5,46.75,46.75
无干扰 #1,GLO43,GLO,100,43.5,39.75,41.0,43.0625,42.25
无干扰 #1,GLO53,GLO,100,48.25,46.0,46.25,48.25,47.375
无干扰 #1,GPS10,GPS,150,47.75,43.75,44.25,47.75,47.5
无干扰 #1,GPS12,GPS,100,45.5,42.75,42.9375,45.25,44.0
无干扰 #1,GPS13,GPS,150,48.75,44.0,44.25,48.75,47.0
无干扰 #1,GPS23,GPS,150,47.0,44.5,44.75,46.75,44.75
无干扰 #1,GPS24,GPS,150,41.5,35.0,35.75,41.25,40.0
无干扰 #1,GPS25,GPS,150,48.5,43.0,43.75,48.5,45.5
无干扰 #1,GPS28,GPS,150,42.0,39.25,39.5,41.5,40.5
无干扰 #1,GPS31,GPS,100,36.0,29.5,31.25,35.0,33.875
无干扰 #1,GPS32,GPS,150,46.0,41.75,42.0,45.9375,44.75
无干扰 #1,QZS194,QZS,150,46.25,43.25,43.25,46.0,44.75
无干扰 #1,QZS195,QZS,150,39.25,26.0,29.25,39.0,34.25
无干扰 #1,QZS199,QZS,150,48.0,40.0,40.5,48.0,44.75
409MHz 干扰,BDS1,BDS,75,48.5,30.5,33.75,48.25,48.0
409MHz 干扰,BDS10,BDS,147,47.75,29.0,31.0,47.0,40.0
409MHz 干扰,BDS12,BDS,100,45.75,31.75,33.75,45.25,39.75
409MHz 干扰,BDS19,BDS,150,43.75,35.0,38.0,43.0,42.5
409MHz 干扰,BDS2,BDS,51,38.25,31.25,37.5,38.0,37.75
409MHz 干扰,BDS20,BDS,150,48.0,34.25,37.3125,47.5,42.5
409MHz 干扰,BDS22,BDS,132,43.75,28.0,30.5,40.125,34.875
409MHz 干扰,BDS3,BDS,77,47.75,29.0,35.25,47.25,47.25
409MHz 干扰,BDS36,BDS,150,48.5,37.75,38.8125,48.0,43.0
409MHz 干扰,BDS39,BDS,142,42.75,30.75,33.0,42.5,35.0
409MHz 干扰,BDS4,BDS,72,45.0,32.5,36.4375,44.25,44.0
409MHz 干扰,BDS6,BDS,100,47.25,34.0,36.25,46.75,41.25
409MHz 干扰,BDS7,BDS,100,47.0,32.75,35.25,47.0,41.25
409MHz 干扰,BDS9,BDS,150,46.0,31.75,34.25,45.75,39.0
409MHz 干扰,GAL15,GAL,148,43.75,32.75,34.25,42.0,38.75
409MHz 干扰,GAL2,GAL,150,47.25,36.25,37.75,46.75,44.25
409MHz 干扰,GAL25,GAL,150,48.0,35.0,38.5,47.5,44.25
409MHz 干扰,GAL3,GAL,150,48.0,35.5,37.75,47.25,44.375
409MHz 干扰,GAL32,GAL,150,49.25,33.25,38.0,49.0,46.0
409MHz 干扰,GAL8,GAL,143,42.5,29.0,31.625,40.625,38.25
409MHz 干扰,GLO41,GLO,50,41.0,39.5,39.5,40.75,40.125
409MHz 干扰,GLO42,GLO,100,46.75,36.0,40.0,46.75,43.5
409MHz 干扰,GLO43,GLO,100,43.75,28.75,33.5,43.5,39.125
409MHz 干扰,GLO53,GLO,100,47.5,35.5,38.25,47.5,43.0
409MHz 干扰,GPS10,GPS,100,47.25,37.75,41.0,46.5,44.0
409MHz 干扰,GPS12,GPS,50,45.0,44.75,45.0,45.0,45.0
409MHz 干扰,GPS13,GPS,100,44.75,37.25,40.25,44.5,42.875
409MHz 干扰,GPS23,GPS,100,44.0,33.25,37.75,43.75,40.625
409MHz 干扰,GPS24,GPS,97,42.5,31.5,32.5,42.25,41.75
409MHz 干扰,GPS25,GPS,100,45.5,35.0,38.5,45.25,41.875
409MHz 干扰,GPS28,GPS,100,41.0,32.5,34.75,39.5625,36.875
409MHz 干扰,GPS31,GPS,50,38.5,37.25,38.0,38.25,38.25
409MHz 干扰,GPS32,GPS,100,46.0,36.5,38.5,46.0,42.125
409MHz 干扰,QZS194,QZS,82,42.5,36.5,37.0,42.5,42.25
409MHz 干扰,QZS195,QZS,89,34.25,25.5,29.25,34.0,34.0
409MHz 干扰,QZS199,QZS,100,42.25,38.75,41.0,42.0,41.25
无干扰 #2,BDS1,BDS,100,48.25,44.25,44.75,48.25,46.5
无干扰 #2,BDS10,BDS,150,46.5,42.25,42.5,46.0,45.75
无干扰 #2,BDS12,BDS,100,46.0,44.75,45.0,46.0,45.375
无干扰 #2,BDS19,BDS,150,49.25,45.5,45.75,49.0,48.25
无干扰 #2,BDS2,BDS,100,42.0,37.5,38.0,41.75,40.125
无干扰 #2,BDS20,BDS,150,48.75,46.25,46.25,48.5,47.5
无干扰 #2,BDS22,BDS,150,42.0,35.25,38.75,41.75,39.0
无干扰 #2,BDS3,BDS,100,47.75,44.5,44.75,47.5,46.125
无干扰 #2,BDS36,BDS,150,49.75,46.5,46.75,49.75,48.5
无干扰 #2,BDS39,BDS,150,44.75,42.5,43.25,43.5,43.5
无干扰 #2,BDS4,BDS,100,45.75,43.0,43.25,45.25,44.375
无干扰 #2,BDS6,BDS,100,47.75,45.5,45.5,47.5,46.5
无干扰 #2,BDS7,BDS,100,47.75,47.25,47.25,47.75,47.5
无干扰 #2,BDS9,BDS,150,46.5,44.25,44.5,46.25,45.25
无干扰 #2,GAL15,GAL,150,47.5,41.75,42.25,47.25,42.75
