segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,100,49.25,44.0,44.25,49.0,46.625
无干扰 #1,BDS10,BDS,150,46.0,41.75,42.0,45.0,44.75
无干扰 #1,BDS12,BDS,100,49.0,48.5,48.75,48.75,48.75
无干扰 #1,BDS19,BDS,150,50.5,44.5,44.75,50.5,47.25
无干扰 #1,BDS2,BDS,100,41.0,36.25,37.25,40.25,38.875
无干扰 #1,BDS20,BDS,150,49.0,45.25,45.5,49.0,47.75
无干扰 #1,BDS22,BDS,150,40.0,29.75,37.5625,38.75,38.0
无干扰 #1,BDS3,BDS,100,47.0,44.5,45.0,46.75,45.75
无干扰 #1,BDS36,BDS,150,49.25,47.25,47.75,48.75,48.75
无干扰 #1,BDS39,BDS,150,45.75,40.5,40.75,45.25,42.0
无干扰 #1,BDS4,BDS,100,47.0,44.5,44.75,46.5625,45.75
无干扰 #1,BDS6,BDS,100,49.25,49.0,49.0,49.25,49.25
无干扰 #1,BDS7,BDS,100,47.25,46.25,46.25,47.0,46.75
无干扰 #1,BDS9,BDS,150,47.5,44.0,44.25,47.25,45.0
无干扰 #1,GAL15,GAL,150,47.75,41.25,42.5,47.25,42.5
无干扰 #1,GAL2,GAL,150,50.0,45.5,45.75,49.5,46.75
无干扰 #1,GAL25,GAL,150,49.25,45.25,45.25,48.75,48.25
无干扰 #1,GAL3,GAL,150,49.75,46.5,46.75,49.5,49.25
无干扰 #1,GAL32,GAL,150,49.25,42.75,43.25,49.25,49.0
无干扰 #1,GAL8,GAL,150,41.0,33.25,34.0,40.75,40.5
无干扰 #1,GLO41,GLO,100,42.5,39.25,40.25,41.25,41.0
无干扰 #1,GLO42,GLO,100,47.75,46.5,46.5,47.75,47.25
无干扰 #1,GLO43,GLO,100,43.75,32.5,35.1875,42.25,38.375
无干扰 #1,GLO52,GLO,100,34.5,29.75,31.5,32.75,32.0
无干扰 #1,GLO53,GLO,100,47.0,46.5,46.5,47.0,46.625
无干扰 #1,GPS10,GPS,150,48.25,46.0,46.25,48.0,46.75
无干扰 #1,GPS12,GPS,100,46.25,42.75,43.25,46.0,45.0
无干扰 #1,GPS13,GPS,150,45.5,44.75,45.0,45.25,45.0
无干扰 #1,GPS23,GPS,150,47.25,45.25,45.5,47.0,46.5
无干扰 #1,GPS24,GPS,150,41.75,37.0,37.25,41.25,39.0
无干扰 #1,GPS25,GPS,150,45.75,44.0,44.25,45.75,45.5
无干扰 #1,GPS28,GPS,150,37.25,34.75,35.75,37.0,36.5
无干扰 #1,GPS31,GPS,98,31.75,25.25,26.5625,31.25,28.625
无干扰 #1,GPS32,GPS,150,43.5,39.5,39.75,42.25,40.5
无干扰 #1,QZS194,QZS,150,47.0,44.25,44.5,46.5,46.25
