svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,4225,49.0,24.0,44.75,48.25,45.25,45.25295857988166
BDS10,BDS,6488,47.75,23.0,42.25,46.25,45.25,43.39838933415536
BDS12,BDS,4377,50.5,24.75,45.75,47.25,46.75,44.996458761708936
BDS19,BDS,6295,52.0,22.75,45.0,49.0,47.5,46.018864177918985
BDS2,BDS,4028,42.5,18.75,38.75,41.5,39.75,39.46449851042701
BDS20,BDS,6311,50.25,27.25,46.25,47.75,47.0,46.004555537949614
BDS22,BDS,6277,45.75,20.25,39.75,43.0,42.25,40.748008602835746
BDS3,BDS,4209,48.5,28.25,44.5,47.75,45.0,45.13993822760751
BDS36,BDS,6318,54.75,24.25,46.75,49.5,48.0,47.06406299461855
BDS39,BDS,6298,52.0,23.0,41.5,45.25,42.75,42.301365512861224
BDS4,BDS,4178,45.75,23.5,43.75,44.25,44.0,43.11404978458592
BDS6,BDS,4382,48.5,26.75,45.75,47.75,46.25,45.22187357371063
BDS7,BDS,4382,48.25,25.5,46.5,47.5,47.25,45.46913509812871
BDS9,BDS,6573,47.0,24.0,44.25,46.0,45.25,43.78099802221208
GAL15,GAL,6211,50.25,16.0,42.25,45.75,43.25,43.07591370149734
GAL2,GAL,6351,50.25,20.25,45.25,49.25,46.75,46.08124704770902
GAL25,GAL,6240,50.0,16.5,44.75,49.0,47.5,46.30276442307692
GAL3,GAL,6252,50.75,21.25,45.75,49.5,47.0,46.49808061420345
GAL30,GAL,460,42.0,31.5,33.25,40.0,38.0,37.26576086956522
GAL32,GAL,6287,50.75,17.0,46.75,49.75,48.25,47.258310800063626
GAL8,GAL,6011,46.0,18.25,39.5,42.5,40.75,40.37335717850607
GLO78,GLO,4207,46.75,18.25,40.5,45.0,43.25,41.60827192773948
GLO79,GLO,4382,47.75,22.5,46.5,47.0,46.75,45.71445686900959
GLO80,GLO,4382,47.75,20.5,42.0,44.75,43.5,42.72284345047923
GLO89,GLO,1746,35.75,17.25,26.5,32.25,30.0,29.295675830469644
GLO90,GLO,4382,48.25,26.0,45.75,47.5,46.25,45.60508900045641
GPS10,GPS,6179,49.5,23.0,44.0,47.75,47.0,45.75708043372714
GPS12,GPS,4195,47.25,20.25,43.5,45.25,44.25,44.1108462455304
GPS13,GPS,4845,49.0,19.5,44.5,46.5,45.75,44.92528379772962
GPS23,GPS,6193,50.0,14.5,44.25,47.0,45.5,44.887090263200385
GPS24,GPS,5302,43.0,15.25,31.25,39.5,35.75,35.10708223311958
GPS25,GPS,6179,49.5,21.75,44.0,48.5,45.5,45.41414468360576
GPS28,GPS,6184,44.75,20.0,38.0,42.0,40.0,39.73532503234153
GPS31,GPS,4180,38.75,16.25,31.75,35.5,33.75,33.325
GPS32,GPS,6190,48.25,18.75,43.25,46.0,44.25,44.322011308562196
QZS385,QZS,6105,46.25,16.75,43.25,44.5,43.75,43.3982800982801
QZS386,QZS,6096,42.5,18.75,31.5,35.0,33.75,33.17080872703412
QZS390,QZS,6188,51.5,16.0,40.75,47.5,44.75,43.560883968972206
