svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,4017,50.5,24.0,44.5,49.0,45.0,45.88243714214588
BDS10,BDS,6361,47.0,18.0,42.0,45.25,43.5,42.4044568464078
BDS12,BDS,4383,49.5,21.75,47.25,48.0,47.75,45.30555555555556
BDS16,BDS,1495,28.25,17.25,26.0,27.0,26.5,26.35
BDS19,BDS,6270,54.25,16.5,45.5,50.75,46.75,45.83811802232855
BDS2,BDS,3777,44.0,23.75,38.25,40.25,39.0,39.05679110405083
BDS20,BDS,6087,50.5,19.25,45.0,48.25,46.75,45.61195991457204
BDS22,BDS,5757,45.25,16.0,38.5,40.5,39.75,39.2101789126281
BDS3,BDS,3957,49.5,22.0,45.5,46.75,46.25,45.408011119535004
BDS36,BDS,6303,51.75,23.0,47.75,48.75,48.5,46.36986355703633
BDS39,BDS,5948,48.5,16.75,42.0,45.25,43.25,42.811112979152654
BDS4,BDS,3973,47.5,22.5,45.0,46.0,45.25,44.73873647118047
BDS6,BDS,4387,49.5,23.25,47.75,49.0,48.75,46.27780943697287
BDS7,BDS,4399,48.25,20.5,46.25,47.25,46.5,44.21749261195726
BDS9,BDS,6355,47.75,18.75,44.75,46.75,45.0,44.11966955153422
GAL13,GAL,2099,42.25,19.25,32.25,34.75,33.75,32.69425917103383
GAL15,GAL,6352,49.25,19.75,41.75,46.75,43.5,43.2369726070529
GAL2,GAL,6384,50.5,20.75,46.5,49.5,47.0,46.498041979949875
GAL25,GAL,6390,50.0,14.25,45.25,49.0,46.75,46.00015649452269
GAL3,GAL,6392,50.0,24.0,45.5,49.25,48.25,46.42205100125157
GAL30,GAL,1226,43.5,26.5,35.25,41.5,40.5,39.01345840130506
GAL32,GAL,6350,49.75,19.25,44.25,48.75,48.0,45.844527559055116
GAL8,GAL,5633,43.0,18.0,33.75,40.25,37.25,36.86042073495473
GLO41,GLO,4296,48.0,18.5,42.25,45.0,44.0,42.27287011173184
GLO42,GLO,4406,48.0,21.75,46.5,47.5,46.875,44.952734906945075
GLO43,GLO,4256,46.25,16.0,36.25,43.0,40.5,38.82877114661654
GLO52,GLO,2800,35.25,15.0,24.75,30.5,27.75,27.39169642857143
GLO53,GLO,4406,47.75,18.25,45.75,47.0,46.75,44.37023377212891
GPS10,GPS,6208,49.25,18.75,45.5,47.75,47.0,45.591212951030926
GPS12,GPS,4219,48.75,19.5,42.75,46.75,43.75,43.67089357667694
GPS13,GPS,4861,48.0,17.5,43.5,45.0,44.25,42.89276897757663
GPS23,GPS,6219,49.0,18.75,45.25,47.0,46.5,44.85833735327223
GPS24,GPS,5875,43.0,14.25,31.5,38.5,36.5,34.92404255319149
GPS25,GPS,6222,48.5,18.0,44.0,46.25,45.75,44.06689971070395
GPS28,GPS,6000,43.75,16.75,36.75,40.0,39.0,38.111625
GPS31,GPS,3565,38.25,14.0,28.75,33.0,31.5,30.90806451612903
GPS32,GPS,6218,47.0,18.25,39.25,43.25,40.5,40.24501447410743
QZS194,QZS,6164,48.25,17.25,43.75,47.0,46.0,44.43393088903309
QZS195,QZS,6065,43.75,18.75,35.25,40.25,39.0,37.53330585325639
QZS199,QZS,6219,48.25,20.5,40.25,46.75,45.75,43.03360668917833
