segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GLO,394,0.001953125,0.0020423540609137056,0.001953125,0.00390625
无干扰 #1,GPS,1250,0.001953125,0.0019734375,0.001953125,0.00390625
无干扰 #1,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
409MHz 干扰,BDS,1596,0.001953125,0.0020351170895989974,0.001953125,0.00390625
409MHz 干扰,GAL,891,0.001953125,0.00198162177328844,0.001953125,0.00390625
409MHz 干扰,GLO,350,0.001953125,0.0019642857142857144,0.001953125,0.00390625
409MHz 干扰,GPS,797,0.001953125,0.001953125,0.001953125,0.001953125
409MHz 干扰,QZS,271,0.001953125,0.0022342020295202953,0.001953125,0.00390625
无干扰 #2,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GLO,400,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GPS,1226,0.001953125,0.002066234196574225,0.001953125,0.00390625
无干扰 #2,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
392MHz 干扰,BDS,1400,0.001953125,0.0021665736607142856,0.001953125,0.00390625
392MHz 干扰,GAL,452,0.001953125,0.002393874446902655,0.001953125,0.00390625
392MHz 干扰,GLO,400,0.001953125,0.00271484375,0.00390625,0.005859375
392MHz 干扰,GPS,900,0.001953125,0.0022743055555555555,0.001953125,0.005859375
392MHz 干扰,QZS,300,0.001953125,0.00263671875,0.00390625,0.005859375
无干扰 #3,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GLO,400,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GPS,1156,0.001953125,0.0020950475778546713,0.001953125,0.00390625
无干扰 #3,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GLO,500,0.001953125,0.0020546875,0.001953125,0.00390625
4G/5G 干扰,GPS,1150,0.001953125,0.0020023777173913044,0.001953125,0.00390625
4G/5G 干扰,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GLO,450,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GPS,1150,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,QZS,450,0.001953125,0.0021527777777777778,0.001953125,0.00390625
Wi-Fi 干扰,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GAL,900,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GLO,494,0.001953125,0.0023247722672064776,0.001953125,0.00390625
Wi-Fi 干扰,GPS,1187,0.001953125,0.0020732413647851725,0.001953125,0.00390625
Wi-Fi 干扰,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
无干扰 #5,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GAL,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GLO,448,0.001953125,0.002162388392857143,0.001953125,0.00390625
无干扰 #5,GPS,1200,0.001953125,0.0020345052083333335,0.001953125,0.00390625
无干扰 #5,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
