segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,700,0.253,0.22768000000000005,0.001953125,45.0,260.6875
无干扰 #1,B2I,100,0.253,0.25300000000000006,0.001953125,46.0,260.78125
无干扰 #1,B2a,250,0.169,0.20260000000000003,0.001953125,49.0,257.78125
无干扰 #1,B3,700,0.253,0.24244000000000004,0.001953125,44.0,259.546875
无干扰 #1,E1,300,0.21100000000000002,0.21100000000000005,0.001953125,47.0,256.59375
无干扰 #1,E5a,300,0.253,0.25300000000000006,0.001953125,45.0,253.0
无干扰 #1,E5b,300,0.169,0.19700000000000004,0.001953125,49.0,255.640625
无干扰 #1,L1,800,0.253,0.2449150000000001,0.001953125,43.5,250.09375
无干扰 #1,L2,794,0.253,0.2694748110831235,0.001953125,43.0,244.6875
无干扰 #1,L5,500,0.253,0.21940000000000004,0.001953125,45.5,254.140625
409MHz 干扰,B1,700,0.253,0.23008000000000006,0.001953125,46.0,300.6875
409MHz 干扰,B2I,100,0.253,0.25300000000000006,0.001953125,39.0,8.875
409MHz 干扰,B2a,224,0.253,0.2535669642857144,0.001953125,42.0,4.28125
409MHz 干扰,B3,572,0.253,0.276979020979021,0.001953125,34.0,4.6875
409MHz 干扰,E1,300,0.253,0.21800000000000003,0.001953125,47.0,296.59375
409MHz 干扰,E5a,293,0.253,0.26860409556314,0.001953125,37.0,5.375
409MHz 干扰,E5b,298,0.253,0.25300000000000006,0.001953125,43.0,7.59375
409MHz 干扰,L1,800,0.253,0.24838000000000007,0.001953125,43.0,290.09375
409MHz 干扰,L2,150,0.253,0.2640066666666667,0.001953125,38.0,5.546875
409MHz 干扰,L5,468,0.253,0.2638547008547009,0.001953125,38.0,7.375
无干扰 #2,B1,700,0.253,0.22696000000000002,0.001953125,45.0,341.328125
无干扰 #2,B2I,100,0.253,0.25300000000000006,0.001953125,46.0,28.78125
无干扰 #2,B2a,250,0.169,0.20260000000000003,0.001953125,48.0,23.78125
无干扰 #2,B3,700,0.253,0.24100000000000008,0.001953125,44.0,22.59375
无干扰 #2,E1,300,0.21100000000000002,0.21100000000000005,0.001953125,46.5,337.59375
无干扰 #2,E5a,300,0.253,0.25300000000000006,0.001953125,45.0,24.140625
无干扰 #2,E5b,300,0.169,0.19308000000000003,0.001953125,49.0,25.1875
无干扰 #2,L1,800,0.253,0.24460000000000007,0.001953125,43.0,331.09375
无干扰 #2,L2,800,0.253,0.26824000000000003,0.001953125,43.0,18.0
无干扰 #2,L5,476,0.169,0.2169600840336135,0.001953125,47.0,25.78125
392MHz 干扰,B1,650,0.253,0.29813384615384614,0.001953125,32.0,2.5
392MHz 干扰,B2I,100,0.253,0.25300000000000006,0.001953125,34.0,71.1875
392MHz 干扰,B3,650,0.253,0.2547584615384616,0.001953125,37.0,61.734375
392MHz 干扰,E1,300,0.253,0.27289666666666673,0.001953125,35.0,1.5
392MHz 干扰,E5b,152,0.253,0.30563815789473686,0.001953125,32.0,0.046875
392MHz 干扰,L1,800,0.253,0.32494875,0.001953125,32.0,2.5
392MHz 干扰,L2,800,0.253,0.2624425,0.001953125,44.0,60.375
无干扰 #3,B1,700,0.253,0.23092000000000004,0.001953125,46.0,21.09375
无干扰 #3,B2I,100,0.253,0.25300000000000006,0.001953125,46.0,74.28125
无干扰 #3,B2a,250,0.169,0.20260000000000003,0.001953125,48.0,19.875
无干扰 #3,B3,700,0.253,0.24676000000000003,0.001953125,44.0,103.59375
无干扰 #3,E1,300,0.253,0.21156000000000003,0.001953125,47.0,24.640625
无干扰 #3,E5a,300,0.253,0.25300000000000006,0.001953125,44.0,20.046875
无干扰 #3,E5b,300,0.169,0.19700000000000004,0.001953125,49.0,27.0
无干扰 #3,L1,800,0.253,0.24670000000000009,0.001953125,44.0,35.046875
无干扰 #3,L2,800,0.253,0.26633500000000004,0.001953125,43.0,102.828125
无干扰 #3,L5,406,0.253,0.21349753694581286,0.001953125,44.0,19.09375
4G/5G 干扰,B1,700,0.253,0.22420000000000007,0.001953125,46.0,68.6875
4G/5G 干扰,B2I,100,0.253,0.25300000000000006,0.001953125,46.0,121.875
4G/5G 干扰,B2a,250,0.169,0.20260000000000003,0.001953125,48.0,67.5
4G/5G 干扰,B3,700,0.253,0.23836000000000004,0.001953125,45.0,151.1875
4G/5G 干扰,E1,300,0.253,0.21492000000000006,0.001953125,47.0,72.234375
4G/5G 干扰,E5a,300,0.253,0.2524400000000001,0.001953125,44.0,67.640625
4G/5G 干扰,E5b,300,0.169,0.19700000000000004,0.001953125,49.5,74.59375
4G/5G 干扰,L1,850,0.253,0.2521882352941177,0.001953125,44.0,81.640625
4G/5G 干扰,L2,800,0.253,0.2594337500000001,0.001953125,44.0,150.4375
4G/5G 干扰,L5,450,0.253,0.21566666666666673,0.001953125,44.0,66.09375
无干扰 #4,B1,700,0.253,0.22300000000000003,0.001953125,46.0,127.875
无干扰 #4,B2I,100,0.253,0.23788000000000004,0.001953125,46.5,181.09375
无干扰 #4,B2a,250,0.169,0.19588000000000003,0.001953125,47.0,126.6875
无干扰 #4,B3,700,0.253,0.24592000000000006,0.001953125,44.0,210.375
无干扰 #4,E1,300,0.253,0.23340000000000002,0.001953125,46.0,131.4375
无干扰 #4,E5a,300,0.253,0.24684000000000006,0.001953125,44.5,126.828125
无干扰 #4,E5b,300,0.169,0.19700000000000004,0.001953125,50.0,133.78125
无干扰 #4,L1,850,0.253,0.25059529411764714,0.001953125,45.0,140.828125
无干扰 #4,L2,750,0.253,0.25300000000000006,0.001953125,44.0,210.1875
无干扰 #4,L5,450,0.253,0.21996000000000007,0.001953125,44.0,125.28125
Wi-Fi 干扰,B1,700,0.253,0.22300000000000003,0.001953125,46.0,197.234375
Wi-Fi 干扰,B2I,100,0.253,0.25300000000000006,0.001953125,46.0,250.6875
Wi-Fi 干扰,B2a,250,0.169,0.20260000000000003,0.001953125,48.0,196.28125
Wi-Fi 干扰,B3,700,0.253,0.24664000000000003,0.001953125,44.0,280.0
Wi-Fi 干扰,E1,300,0.169,0.20232000000000003,0.001953125,47.0,201.046875
Wi-Fi 干扰,E5a,300,0.253,0.25300000000000006,0.001953125,44.5,196.4375
Wi-Fi 干扰,E5b,300,0.169,0.18300000000000002,0.001953125,49.0,203.375
Wi-Fi 干扰,L1,837,0.253,0.26591158900836326,0.001953125,44.0,210.6875
Wi-Fi 干扰,L2,844,0.253,0.2642582938388626,0.001953125,43.0,278.78125
Wi-Fi 干扰,L5,450,0.253,0.21566666666666673,0.001953125,44.0,194.375
无干扰 #5,B1,700,0.253,0.21856000000000003,0.001953125,45.0,252.046875
无干扰 #5,B2I,100,0.253,0.25300000000000006,0.001953125,45.5,305.5
无干扰 #5,B2a,250,0.169,0.18580000000000002,0.001953125,48.0,251.09375
无干扰 #5,B3,700,0.253,0.24700000000000005,0.001953125,44.0,334.78125
无干扰 #5,E1,350,0.253,0.21700000000000005,0.001953125,46.0,254.546875
无干扰 #5,E5a,350,0.253,0.2537257142857144,0.001953125,45.0,250.375
无干扰 #5,E5b,350,0.169,0.19300000000000003,0.001953125,48.0,257.09375
无干扰 #5,L1,836,0.253,0.25405980861244026,0.001953125,46.0,265.5
无干扰 #5,L2,812,0.253,0.2626970443349754,0.001953125,44.0,334.0
无干扰 #5,L5,450,0.253,0.2343333333333334,0.001953125,44.0,249.09375
