segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,700,0.253,0.2268685714285715,0.001953125,47.0,260.875
无干扰 #1,B2I,100,0.253,0.25300000000000006,0.001953125,45.0,260.875
无干扰 #1,B2a,250,0.169,0.20260000000000003,0.001953125,48.0,257.734375
无干扰 #1,B3,700,0.253,0.23500000000000004,0.001953125,44.0,260.78125
无干扰 #1,E1,300,0.21100000000000002,0.21100000000000005,0.001953125,47.0,256.734375
无干扰 #1,E5a,300,0.253,0.25300000000000006,0.001953125,44.0,252.875
无干扰 #1,E5b,300,0.169,0.19028,0.001953125,49.0,255.375
无干扰 #1,L1,850,0.253,0.24969176470588242,0.001953125,42.0,255.28125
无干扰 #1,L2,848,0.253,0.26061556603773595,0.001953125,43.0,249.875
无干扰 #1,L5,500,0.253,0.25300000000000006,0.001953125,45.0,257.328125
409MHz 干扰,B1,700,0.253,0.22612000000000007,0.001953125,46.0,300.875
409MHz 干扰,B2I,100,0.253,0.25300000000000006,0.001953125,36.0,10.09375
409MHz 干扰,B2a,144,0.253,0.25476388888888896,0.001953125,35.0,0.375
409MHz 干扰,B3,393,0.38,0.33120356234096693,0.00390625,29.0,0.875
409MHz 干扰,E1,300,0.253,0.2623133333333334,0.001953125,42.0,296.734375
409MHz 干扰,E5a,236,0.38,0.3649322033898305,0.00390625,28.0,0.09375
409MHz 干扰,E5b,272,0.253,0.25953676470588244,0.001953125,45.0,19.09375
409MHz 干扰,L1,800,0.253,0.26681125000000006,0.001953125,38.0,296.09375
409MHz 干扰,L2,152,0.253,0.29895394736842107,0.001953125,33.0,0.1875
409MHz 干扰,L5,392,0.38,0.3665280612244898,0.00390625,29.0,0.5
无干扰 #2,B1,700,0.253,0.2158,0.001953125,47.0,341.875
无干扰 #2,B2I,100,0.253,0.25300000000000006,0.001953125,44.0,51.09375
无干扰 #2,B2a,250,0.169,0.20260000000000003,0.001953125,48.0,19.640625
无干扰 #2,B3,700,0.253,0.23500000000000004,0.001953125,44.0,20.09375
无干扰 #2,E1,300,0.253,0.22640000000000005,0.001953125,46.5,337.734375
无干扰 #2,E5a,300,0.253,0.25300000000000006,0.001953125,44.0,20.140625
无干扰 #2,E5b,300,0.169,0.18300000000000002,0.001953125,49.0,56.875
无干扰 #2,L1,843,0.253,0.25718861209964416,0.001953125,44.0,336.28125
无干扰 #2,L2,810,0.253,0.2621543209876544,0.001953125,44.0,18.78125
无干扰 #2,L5,500,0.253,0.25132000000000004,0.001953125,45.0,19.640625
392MHz 干扰,B1,632,0.38,0.3245379746835443,0.001953125,30.0,2.0
392MHz 干扰,B2I,100,0.253,0.25300000000000006,0.001953125,35.0,50.984375
392MHz 干扰,B3,292,0.38,0.36388356164383556,0.00390625,27.0,0.0
392MHz 干扰,E1,300,0.253,0.28432666666666667,0.001953125,34.0,0.5
392MHz 干扰,E5b,250,0.253,0.25300000000000006,0.001953125,42.0,12.375
392MHz 干扰,L1,730,0.38,0.323272602739726,0.001953125,31.0,1.6875
392MHz 干扰,L2,730,0.253,0.2768315068493151,0.001953125,37.0,3.0
无干扰 #3,B1,750,0.253,0.2417546666666667,0.001953125,46.0,21.09375
无干扰 #3,B2I,100,0.253,0.25300000000000006,0.001953125,43.5,38.75
无干扰 #3,B2a,250,0.169,0.20260000000000003,0.001953125,48.0,20.0
无干扰 #3,B3,700,0.253,0.23428000000000002,0.001953125,44.0,20.1875
无干扰 #3,E1,300,0.169,0.20372,0.001953125,47.0,20.734375
无干扰 #3,E5a,300,0.253,0.25300000000000006,0.001953125,44.5,20.046875
无干扰 #3,E5b,278,0.169,0.18079136690647485,0.001953125,48.0,54.0
无干扰 #3,L1,839,0.253,0.2578593563766389,0.001953125,44.0,21.0
无干扰 #3,L2,797,0.253,0.2623550815558344,0.001953125,44.0,21.09375
无干扰 #3,L5,450,0.253,0.2410533333333334,0.001953125,46.0,19.1875
4G/5G 干扰,B1,750,0.253,0.22596266666666667,0.001953125,47.0,68.09375
4G/5G 干扰,B2I,100,0.253,0.25300000000000006,0.001953125,45.0,86.34375
4G/5G 干扰,B2a,238,0.169,0.20005882352941182,0.001953125,48.0,66.78125
4G/5G 干扰,B3,694,0.253,0.23484438040345826,0.001953125,45.0,67.375
4G/5G 干扰,E1,302,0.253,0.2251854304635762,0.001953125,46.0,68.28125
4G/5G 干扰,E5a,300,0.253,0.25300000000000006,0.001953125,45.0,67.640625
4G/5G 干扰,E5b,302,0.169,0.19737086092715234,0.001953125,49.0,100.375
4G/5G 干扰,L1,850,0.253,0.24745058823529417,0.001953125,43.0,68.5
4G/5G 干扰,L2,823,0.253,0.273134872417983,0.001953125,43.0,68.09375
4G/5G 干扰,L5,450,0.253,0.24366666666666675,0.001953125,45.0,66.78125
