baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,E1,0.21100000000000002,0.253,0.04199999999999998,47.0,47.0,0.0
无干扰 #1,409MHz 干扰,E5b,0.169,0.253,0.08399999999999999,49.0,43.0,-6.0
无干扰 #1,409MHz 干扰,L5,0.253,0.253,0.0,45.5,38.0,-7.5
无干扰 #1,409MHz 干扰,B3,0.253,0.253,0.0,44.0,34.0,-10.0
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,45.0,46.0,1.0
无干扰 #1,409MHz 干扰,L1,0.253,0.253,0.0,43.5,43.0,-0.5
无干扰 #1,409MHz 干扰,L2,0.253,0.253,0.0,43.0,38.0,-5.0
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,46.0,40.0,-6.0
无干扰 #1,409MHz 干扰,E5a,0.253,0.253,0.0,45.0,37.0,-8.0
无干扰 #2,392MHz 干扰,E1,0.21100000000000002,0.253,0.04199999999999998,46.5,35.0,-11.5
无干扰 #2,392MHz 干扰,E5b,0.169,0.253,0.08399999999999999,49.0,32.0,-17.0
无干扰 #2,392MHz 干扰,B3,0.253,0.253,0.0,44.0,37.0,-7.0
无干扰 #2,392MHz 干扰,B1,0.253,0.253,0.0,45.0,32.0,-13.0
无干扰 #2,392MHz 干扰,L1,0.253,0.253,0.0,43.0,32.0,-11.0
无干扰 #2,392MHz 干扰,L2,0.253,0.253,0.0,43.0,44.0,1.0
无干扰 #2,392MHz 干扰,B2,0.253,0.253,0.0,46.0,34.0,-12.0
无干扰 #3,4G/5G 干扰,E1,0.253,0.253,0.0,47.0,47.0,0.0
无干扰 #3,4G/5G 干扰,E5b,0.169,0.169,0.0,49.0,49.5,0.5
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,44.0,45.0,1.0
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,43.0,44.0,1.0
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,47.0,46.0,-1.0
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,E1,0.253,0.169,-0.08399999999999999,46.0,47.0,1.0
无干扰 #4,Wi-Fi 干扰,E5b,0.169,0.169,0.0,50.0,49.0,-1.0
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,45.0,44.0,-1.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #4,Wi-Fi 干扰,B2,0.169,0.253,0.08399999999999999,47.0,46.0,-1.0
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,44.5,44.5,0.0
