baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,L2,0.253,0.253,0.0,43.0,33.0,-10.0
无干扰 #1,409MHz 干扰,E5a,0.253,0.38,0.127,44.0,28.0,-16.0
无干扰 #1,409MHz 干扰,E5b,0.169,0.253,0.08399999999999999,49.0,45.0,-4.0
无干扰 #1,409MHz 干扰,B3,0.253,0.38,0.127,44.0,29.0,-15.0
无干扰 #1,409MHz 干扰,L1,0.253,0.253,0.0,42.0,38.0,-4.0
无干扰 #1,409MHz 干扰,L5,0.253,0.38,0.127,45.0,29.0,-16.0
无干扰 #1,409MHz 干扰,E1,0.21100000000000002,0.253,0.04199999999999998,47.0,42.0,-5.0
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,45.0,36.0,-9.0
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,47.0,46.0,-1.0
无干扰 #2,392MHz 干扰,L2,0.253,0.253,0.0,44.0,37.0,-7.0
无干扰 #2,392MHz 干扰,E5b,0.169,0.253,0.08399999999999999,49.0,42.0,-7.0
无干扰 #2,392MHz 干扰,B3,0.253,0.38,0.127,44.0,27.0,-17.0
无干扰 #2,392MHz 干扰,L1,0.253,0.38,0.127,44.0,31.0,-13.0
无干扰 #2,392MHz 干扰,E1,0.253,0.253,0.0,46.5,34.0,-12.5
无干扰 #2,392MHz 干扰,B2,0.253,0.253,0.0,45.0,35.0,-10.0
无干扰 #2,392MHz 干扰,B1,0.253,0.38,0.127,47.0,30.0,-17.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,44.5,45.0,0.5
无干扰 #3,4G/5G 干扰,E5b,0.169,0.169,0.0,48.0,49.0,1.0
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,44.0,45.0,1.0
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,46.0,45.0,-1.0
无干扰 #3,4G/5G 干扰,E1,0.169,0.253,0.08399999999999999,47.0,46.0,-1.0
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,46.0,47.0,1.0
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,46.0,47.0,1.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,45.0,44.0,-1.0
无干扰 #4,Wi-Fi 干扰,E5b,0.169,0.169,0.0,49.0,48.0,-1.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,45.0,45.0,0.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,45.0,46.0,1.0
无干扰 #4,Wi-Fi 干扰,E1,0.169,0.253,0.08399999999999999,47.0,44.0,-3.0
无干扰 #4,Wi-Fi 干扰,B2,0.169,0.253,0.08399999999999999,47.0,47.0,0.0
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
