baseline_seg,interf_seg,sys,n,delta_median,delta_mean,delta_p25,delta_p75,n_increase,n_decrease
无干扰 #1,409MHz 干扰,BDS,14,0.0,0.017999999999999995,0.0,0.031499999999999986,4,1
无干扰 #1,409MHz 干扰,GAL,6,0.041999999999999996,0.042,0.0,0.08399999999999999,3,0
无干扰 #1,409MHz 干扰,GLO,4,0.0,0.010499999999999995,0.0,0.010499999999999995,1,0
无干扰 #1,409MHz 干扰,GPS,9,0.0,0.009333333333333332,0.0,0.0,1,0
无干扰 #1,409MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #2,392MHz 干扰,BDS,14,0.02099999999999999,0.04514285714285714,0.0,0.08399999999999999,7,0
无干扰 #2,392MHz 干扰,GAL,6,0.08399999999999999,0.08433333333333333,0.08399999999999999,0.11624999999999999,5,0
无干扰 #2,392MHz 干扰,GLO,4,0.02099999999999999,0.026374999999999996,0.0,0.04737499999999999,2,0
无干扰 #2,392MHz 干扰,GPS,9,0.0,0.030499999999999996,0.0,0.0635,3,0
无干扰 #2,392MHz 干扰,QZS,3,0.0,0.021166666666666667,0.0,0.03175,1,0
无干扰 #3,4G/5G 干扰,BDS,14,0.0,1.982541115402065e-18,0.0,0.0,1,2
无干扰 #3,4G/5G 干扰,GAL,6,0.0,0.0,0.0,0.0,1,1
无干扰 #3,4G/5G 干扰,GLO,4,0.0,0.010499999999999995,0.0,0.010499999999999995,1,0
无干扰 #3,4G/5G 干扰,GPS,9,0.0,-0.023444444444444445,0.0,0.0,0,2
无干扰 #3,4G/5G 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,BDS,14,0.0,-0.005999999999999999,0.0,0.0,0,1
无干扰 #4,Wi-Fi 干扰,GAL,6,-0.041999999999999996,-0.042,-0.08399999999999999,0.0,0,3
无干扰 #4,Wi-Fi 干扰,GLO,5,0.0,0.0254,0.0,0.0,1,0
无干扰 #4,Wi-Fi 干扰,GPS,9,0.0,-0.009333333333333332,0.0,0.0,0,1
无干扰 #4,Wi-Fi 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
