segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,263.28125,46.0
无干扰 #1,BDS10,BDS,150,0.253,0.253,0.001953125,260.828125,45.0
无干扰 #1,BDS12,BDS,100,0.253,0.253,0.001953125,258.046875,45.0
无干扰 #1,BDS19,BDS,150,0.169,0.253,0.001953125,262.59375,48.0
无干扰 #1,BDS2,BDS,100,0.253,0.253,0.001953125,110.1875,40.0
无干扰 #1,BDS20,BDS,150,0.169,0.253,0.001953125,262.5,48.0
无干扰 #1,BDS22,BDS,150,0.253,0.253,0.001953125,149.390625,42.0
无干扰 #1,BDS3,BDS,100,0.21100000000000002,0.253,0.001953125,263.28125,45.5
无干扰 #1,BDS36,BDS,150,0.169,0.253,0.001953125,258.1875,48.0
无干扰 #1,BDS39,BDS,150,0.253,0.253,0.001953125,240.28125,42.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,263.28125,43.5
无干扰 #1,BDS6,BDS,100,0.253,0.253,0.001953125,258.890625,45.5
无干扰 #1,BDS7,BDS,100,0.253,0.253,0.001953125,261.828125,47.0
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,261.140625,45.0
无干扰 #1,GAL15,GAL,150,0.253,0.253,0.001953125,258.78125,42.0
无干扰 #1,GAL2,GAL,150,0.253,0.253,0.001953125,252.234375,46.0
无干扰 #1,GAL25,GAL,150,0.169,0.253,0.001953125,256.046875,48.0
无干扰 #1,GAL3,GAL,150,0.169,0.253,0.001953125,259.140625,48.0
无干扰 #1,GAL32,GAL,150,0.169,0.253,0.001953125,254.046875,48.0
无干扰 #1,GAL8,GAL,150,0.253,0.253,0.001953125,178.546875,42.0
无干扰 #1,GLO41,GLO,94,0.253,0.38,0.001953125,0.6875,33.0
无干扰 #1,GLO42,GLO,100,0.253,0.253,0.001953125,238.28125,46.0
无干扰 #1,GLO43,GLO,100,0.253,0.253,0.001953125,238.28125,42.0
无干扰 #1,GLO53,GLO,100,0.21100000000000002,0.253,0.001953125,238.28125,47.0
无干扰 #1,GPS10,GPS,150,0.169,0.253,0.001953125,250.6875,47.0
无干扰 #1,GPS12,GPS,100,0.253,0.253,0.001953125,257.4375,44.0
无干扰 #1,GPS13,GPS,150,0.253,0.253,0.001953125,257.9375,47.0
无干扰 #1,GPS23,GPS,150,0.253,0.253,0.001953125,255.59375,44.0
无干扰 #1,GPS24,GPS,150,0.253,0.253,0.001953125,245.328125,40.0
无干扰 #1,GPS25,GPS,150,0.253,0.253,0.001953125,255.234375,45.0
