segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,263.28125,46.0
无干扰 #1,BDS10,BDS,150,0.253,0.253,0.001953125,260.828125,44.0
无干扰 #1,BDS12,BDS,100,0.169,0.169,0.001953125,260.640625,48.0
无干扰 #1,BDS19,BDS,150,0.253,0.253,0.001953125,262.28125,47.0
无干扰 #1,BDS2,BDS,100,0.253,0.253,0.001953125,131.34375,38.5
无干扰 #1,BDS20,BDS,150,0.169,0.253,0.001953125,262.234375,47.0
无干扰 #1,BDS22,BDS,150,0.253,0.38,0.001953125,58.1875,38.0
无干扰 #1,BDS3,BDS,100,0.253,0.253,0.001953125,263.28125,45.5
无干扰 #1,BDS36,BDS,150,0.169,0.253,0.001953125,258.4375,48.0
无干扰 #1,BDS39,BDS,150,0.253,0.253,0.001953125,242.0,42.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,263.140625,45.5
无干扰 #1,BDS6,BDS,100,0.169,0.169,0.001953125,262.046875,49.0
无干扰 #1,BDS7,BDS,100,0.253,0.253,0.001953125,261.6875,46.5
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,261.09375,45.0
无干扰 #1,GAL15,GAL,150,0.253,0.253,0.001953125,245.59375,42.0
无干扰 #1,GAL2,GAL,150,0.253,0.253,0.001953125,261.828125,46.0
无干扰 #1,GAL25,GAL,150,0.169,0.253,0.001953125,255.828125,48.0
无干扰 #1,GAL3,GAL,150,0.169,0.253,0.001953125,261.828125,49.0
无干扰 #1,GAL32,GAL,150,0.169,0.253,0.001953125,254.140625,49.0
无干扰 #1,GAL8,GAL,150,0.253,0.253,0.001953125,138.6875,40.0
无干扰 #1,GLO78,GLO,100,0.253,0.253,0.001953125,50.890625,41.0
无干扰 #1,GLO79,GLO,100,0.21100000000000002,0.253,0.001953125,238.28125,46.5
无干扰 #1,GLO80,GLO,100,0.253,0.253,0.001953125,20.546875,38.0
无干扰 #1,GLO89,GLO,100,0.253,0.38,0.001953125,0.28125,32.0
无干扰 #1,GLO90,GLO,100,0.253,0.253,0.001953125,238.28125,46.0
无干扰 #1,GPS10,GPS,150,0.253,0.253,0.001953125,258.4375,46.0
无干扰 #1,GPS12,GPS,100,0.253,0.253,0.001953125,257.5,45.0
