baseline_seg,interf_seg,svid,pre_cno,interf_cno,delta
无干扰 #1,409MHz 干扰,BDS1,45.875,46.25,0.375
无干扰 #1,409MHz 干扰,BDS10,43.75,40.5,-3.25
无干扰 #1,409MHz 干扰,BDS12,45.875,42.25,-3.625
无干扰 #1,409MHz 干扰,BDS16,23.75,23.0,-0.75
无干扰 #1,409MHz 干扰,BDS19,47.5,39.5,-8.0
无干扰 #1,409MHz 干扰,BDS2,41.875,42.5,0.625
无干扰 #1,409MHz 干扰,BDS20,44.875,38.25,-6.625
无干扰 #1,409MHz 干扰,BDS22,39.875,34.5,-5.375
无干扰 #1,409MHz 干扰,BDS3,46.5,46.125,-0.375
无干扰 #1,409MHz 干扰,BDS36,46.5,42.5,-4.0
无干扰 #1,409MHz 干扰,BDS39,46.0,38.625,-7.375
无干扰 #1,409MHz 干扰,BDS4,42.75,44.25,1.5
无干扰 #1,409MHz 干扰,BDS6,45.125,41.5,-3.625
无干扰 #1,409MHz 干扰,BDS7,45.125,42.0,-3.125
无干扰 #1,409MHz 干扰,BDS9,42.75,40.0,-2.75
无干扰 #1,409MHz 干扰,GAL15,43.5,43.0,-0.5
无干扰 #1,409MHz 干扰,GAL2,47.5,45.5,-2.0
无干扰 #1,409MHz 干扰,GAL25,45.25,44.125,-1.125
无干扰 #1,409MHz 干扰,GAL3,45.75,43.375,-2.375
无干扰 #1,409MHz 干扰,GAL30,40.5,39.625,-0.875
无干扰 #1,409MHz 干扰,GAL32,46.75,45.0,-1.75
无干扰 #1,409MHz 干扰,GAL5,42.5,42.0,-0.5
无干扰 #1,409MHz 干扰,GAL8,39.0,35.25,-3.75
无干扰 #1,409MHz 干扰,GLO41,42.5,41.875,-0.625
无干扰 #1,409MHz 干扰,GLO42,45.875,43.5,-2.375
无干扰 #1,409MHz 干扰,GLO43,43.375,41.75,-1.625
无干扰 #1,409MHz 干扰,GLO46,43.5,41.25,-2.25
无干扰 #1,409MHz 干扰,GLO52,28.25,27.625,-0.625
无干扰 #1,409MHz 干扰,GLO53,43.25,41.0,-2.25
无干扰 #1,409MHz 干扰,GPS10,46.0,42.625,-3.375
无干扰 #1,409MHz 干扰,GPS12,43.125,46.0,2.875
无干扰 #1,409MHz 干扰,GPS13,42.25,41.75,-0.5
无干扰 #1,409MHz 干扰,GPS23,44.75,39.875,-4.875
无干扰 #1,409MHz 干扰,GPS25,46.5,41.75,-4.75
无干扰 #1,409MHz 干扰,GPS28,36.75,36.25,-0.5
无干扰 #1,409MHz 干扰,GPS31,34.125,34.25,0.125
无干扰 #1,409MHz 干扰,GPS32,43.25,41.5,-1.75
无干扰 #1,409MHz 干扰,QZS194,43.125,37.125,-6.0
无干扰 #1,409MHz 干扰,QZS195,31.0,26.0,-5.0
无干扰 #1,409MHz 干扰,QZS199,44.25,37.125,-7.125
无干扰 #2,392MHz 干扰,BDS1,45.625,33.0,-12.625
无干扰 #2,392MHz 干扰,BDS10,44.0,34.0,-10.0
无干扰 #2,392MHz 干扰,BDS12,45.625,36.75,-8.875
无干扰 #2,392MHz 干扰,BDS19,46.25,36.5,-9.75
无干扰 #2,392MHz 干扰,BDS2,41.75,30.5,-11.25
无干扰 #2,392MHz 干扰,BDS20,45.25,35.0,-10.25
无干扰 #2,392MHz 干扰,BDS22,39.5,30.75,-8.75
无干扰 #2,392MHz 干扰,BDS3,46.0,32.75,-13.25
无干扰 #2,392MHz 干扰,BDS36,46.25,35.5,-10.75
无干扰 #2,392MHz 干扰,BDS39,44.75,35.375,-9.375
无干扰 #2,392MHz 干扰,BDS4,43.125,31.5,-11.625
无干扰 #2,392MHz 干扰,BDS6,43.75,33.5,-10.25
无干扰 #2,392MHz 干扰,BDS7,45.0,34.5,-10.5
无干扰 #2,392MHz 干扰,BDS9,44.25,33.5,-10.75
无干扰 #2,392MHz 干扰,GAL15,39.75,35.25,-4.5
无干扰 #2,392MHz 干扰,GAL2,46.5,40.0,-6.5
无干扰 #2,392MHz 干扰,GAL25,46.5,38.75,-7.75
无干扰 #2,392MHz 干扰,GAL3,45.75,39.75,-6.0
无干扰 #2,392MHz 干扰,GAL30,40.5,34.0,-6.5
无干扰 #2,392MHz 干扰,GAL32,47.5,40.25,-7.25
无干扰 #2,392MHz 干扰,GAL5,43.75,33.75,-10.0
无干扰 #2,392MHz 干扰,GAL8,40.25,34.875,-5.375
无干扰 #2,392MHz 干扰,GLO41,39.625,42.0,2.375
无干扰 #2,392MHz 干扰,GLO42,46.125,41.375,-4.75
无干扰 #2,392MHz 干扰,GLO43,46.75,43.25,-3.5
无干扰 #2,392MHz 干扰,GLO46,42.625,42.75,0.125
无干扰 #2,392MHz 干扰,GLO53,43.625,40.25,-3.375
无干扰 #2,392MHz 干扰,GPS10,45.75,42.75,-3.0
无干扰 #2,392MHz 干扰,GPS12,44.375,41.75,-2.625
无干扰 #2,392MHz 干扰,GPS13,37.375,33.5,-3.875
无干扰 #2,392MHz 干扰,GPS23,45.0,41.125,-3.875
无干扰 #2,392MHz 干扰,GPS25,46.5,40.5,-6.0
无干扰 #2,392MHz 干扰,GPS28,39.25,36.25,-3.0
无干扰 #2,392MHz 干扰,GPS31,33.75,30.0,-3.75
无干扰 #2,392MHz 干扰,GPS32,44.25,39.5,-4.75
无干扰 #2,392MHz 干扰,QZS194,43.25,39.625,-3.625
无干扰 #2,392MHz 干扰,QZS195,33.125,34.75,1.625
无干扰 #2,392MHz 干扰,QZS199,44.0,40.0,-4.0
无干扰 #3,4G/5G 干扰,BDS1,45.75,45.625,-0.125
无干扰 #3,4G/5G 干扰,BDS10,44.0,44.0,0.0
无干扰 #3,4G/5G 干扰,BDS12,46.75,46.25,-0.5
无干扰 #3,4G/5G 干扰,BDS19,46.5,46.5,0.0
无干扰 #3,4G/5G 干扰,BDS2,43.0,41.875,-1.125
无干扰 #3,4G/5G 干扰,BDS20,44.75,45.0,0.25
无干扰 #3,4G/5G 干扰,BDS22,39.375,39.75,0.375
无干扰 #3,4G/5G 干扰,BDS3,44.25,44.125,-0.125
无干扰 #3,4G/5G 干扰,BDS36,45.75,45.5,-0.25
无干扰 #3,4G/5G 干扰,BDS39,46.0,44.0,-2.0
无干扰 #3,4G/5G 干扰,BDS4,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,BDS6,44.375,45.125,0.75
无干扰 #3,4G/5G 干扰,BDS7,44.75,44.75,0.0
无干扰 #3,4G/5G 干扰,BDS9,43.625,44.25,0.625
无干扰 #3,4G/5G 干扰,GAL15,44.0,44.0,0.0
无干扰 #3,4G/5G 干扰,GAL2,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,GAL25,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,GAL3,46.25,45.5,-0.75
无干扰 #3,4G/5G 干扰,GAL30,37.0,38.0,1.0
无干扰 #3,4G/5G 干扰,GAL32,46.5,47.0,0.5
无干扰 #3,4G/5G 干扰,GAL5,41.5,42.25,0.75
无干扰 #3,4G/5G 干扰,GAL8,42.0,38.75,-3.25
无干扰 #3,4G/5G 干扰,GLO41,39.25,38.5,-0.75
无干扰 #3,4G/5G 干扰,GLO42,45.875,46.25,0.375
无干扰 #3,4G/5G 干扰,GLO43,41.5,45.5,4.0
无干扰 #3,4G/5G 干扰,GLO46,44.5,43.25,-1.25
无干扰 #3,4G/5G 干扰,GLO53,43.0,43.375,0.375
无干扰 #3,4G/5G 干扰,GPS10,47.0,45.875,-1.125
无干扰 #3,4G/5G 干扰,GPS12,44.25,43.625,-0.625
无干扰 #3,4G/5G 干扰,GPS13,35.125,31.75,-3.375
无干扰 #3,4G/5G 干扰,GPS23,42.5,42.5,0.0
无干扰 #3,4G/5G 干扰,GPS25,46.0,45.25,-0.75
无干扰 #3,4G/5G 干扰,GPS28,37.5,39.5,2.0
无干扰 #3,4G/5G 干扰,GPS31,31.5,33.0,1.5
无干扰 #3,4G/5G 干扰,GPS32,41.75,41.25,-0.5
无干扰 #3,4G/5G 干扰,QZS194,44.0,43.5,-0.5
无干扰 #3,4G/5G 干扰,QZS195,31.5,29.5,-2.0
无干扰 #3,4G/5G 干扰,QZS199,44.25,44.25,0.0
无干扰 #4,Wi-Fi 干扰,BDS1,45.625,45.375,-0.25
无干扰 #4,Wi-Fi 干扰,BDS10,44.75,43.5,-1.25
无干扰 #4,Wi-Fi 干扰,BDS12,46.5,46.25,-0.25
无干扰 #4,Wi-Fi 干扰,BDS19,46.25,47.0,0.75
无干扰 #4,Wi-Fi 干扰,BDS2,42.0,41.25,-0.75
无干扰 #4,Wi-Fi 干扰,BDS20,44.0,43.75,-0.25
无干扰 #4,Wi-Fi 干扰,BDS22,40.5,41.0,0.5
无干扰 #4,Wi-Fi 干扰,BDS3,44.75,45.0,0.25
无干扰 #4,Wi-Fi 干扰,BDS36,46.0,45.5,-0.5
无干扰 #4,Wi-Fi 干扰,BDS39,44.75,45.875,1.125
无干扰 #4,Wi-Fi 干扰,BDS4,42.75,42.5,-0.25
无干扰 #4,Wi-Fi 干扰,BDS6,45.0,45.0,0.0
无干扰 #4,Wi-Fi 干扰,BDS7,44.875,45.0,0.125
无干扰 #4,Wi-Fi 干扰,BDS9,44.25,44.0,-0.25
无干扰 #4,Wi-Fi 干扰,GAL15,45.75,46.625,0.875
无干扰 #4,Wi-Fi 干扰,GAL2,46.5,46.5,0.0
无干扰 #4,Wi-Fi 干扰,GAL25,46.5,45.75,-0.75
无干扰 #4,Wi-Fi 干扰,GAL3,46.75,45.5,-1.25
无干扰 #4,Wi-Fi 干扰,GAL30,39.5,41.0,1.5
无干扰 #4,Wi-Fi 干扰,GAL32,46.5,46.0,-0.5
无干扰 #4,Wi-Fi 干扰,GAL5,43.75,42.25,-1.5
无干扰 #4,Wi-Fi 干扰,GAL8,37.75,39.25,1.5
无干扰 #4,Wi-Fi 干扰,GLO41,41.125,40.25,-0.875
无干扰 #4,Wi-Fi 干扰,GLO42,46.125,45.75,-0.375
无干扰 #4,Wi-Fi 干扰,GLO43,43.125,43.75,0.625
无干扰 #4,Wi-Fi 干扰,GLO46,42.25,41.125,-1.125
无干扰 #4,Wi-Fi 干扰,GLO52,29.5,24.25,-5.25
无干扰 #4,Wi-Fi 干扰,GLO53,43.5,43.75,0.25
无干扰 #4,Wi-Fi 干扰,GPS10,47.0,46.25,-0.75
无干扰 #4,Wi-Fi 干扰,GPS12,43.125,43.5,0.375
无干扰 #4,Wi-Fi 干扰,GPS13,31.0,28.0,-3.0
无干扰 #4,Wi-Fi 干扰,GPS23,42.25,42.5,0.25
无干扰 #4,Wi-Fi 干扰,GPS25,45.25,45.5,0.25
无干扰 #4,Wi-Fi 干扰,GPS28,36.625,38.0,1.375
无干扰 #4,Wi-Fi 干扰,GPS31,33.875,33.0,-0.875
无干扰 #4,Wi-Fi 干扰,GPS32,43.5,43.25,-0.25
无干扰 #4,Wi-Fi 干扰,QZS194,42.0,42.75,0.75
无干扰 #4,Wi-Fi 干扰,QZS195,31.0,28.5,-2.5
无干扰 #4,Wi-Fi 干扰,QZS199,44.25,44.75,0.5
