segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,100,48.0,44.25,44.75,47.75,46.25
无干扰 #1,BDS10,BDS,150,47.25,42.25,42.5,47.0,45.0
无干扰 #1,BDS12,BDS,100,48.25,47.75,48.0,48.0,48.0
无干扰 #1,BDS19,BDS,150,49.25,45.25,45.75,49.0,47.5
无干扰 #1,BDS2,BDS,100,42.0,38.75,39.5,41.5,40.625
无干扰 #1,BDS20,BDS,150,46.5,45.25,45.25,46.25,45.75
无干扰 #1,BDS22,BDS,150,44.5,41.75,42.0,43.75,43.5
无干扰 #1,BDS3,BDS,100,48.5,44.0,44.4375,48.25,46.375
无干扰 #1,BDS36,BDS,150,50.25,46.75,47.25,50.0,48.75
无干扰 #1,BDS39,BDS,150,45.75,42.75,43.75,45.5,44.5
无干扰 #1,BDS4,BDS,100,46.25,42.25,43.0,45.75,44.375
无干扰 #1,BDS6,BDS,100,48.5,46.0,46.0,48.25,47.125
无干扰 #1,BDS7,BDS,100,47.5,47.25,47.25,47.25,47.25
无干扰 #1,BDS9,BDS,150,46.5,44.5,44.5,46.5,45.5
无干扰 #1,GAL15,GAL,150,47.75,40.75,41.0,47.5,42.25
无干扰 #1,GAL2,GAL,150,49.0,45.25,45.5,48.75,48.5
无干扰 #1,GAL25,GAL,150,49.75,42.75,43.0,49.5,44.25
无干扰 #1,GAL3,GAL,150,49.25,45.25,45.5,49.25,48.0
无干扰 #1,GAL30,GAL,150,42.0,37.0,37.5,41.25,41.0
无干扰 #1,GAL32,GAL,150,50.5,46.25,46.5,50.5,48.125
无干扰 #1,GAL5,GAL,150,46.25,39.25,40.0,45.75,41.75
无干扰 #1,GAL8,GAL,150,47.25,37.75,38.0,46.75,40.0
无干扰 #1,GLO41,GLO,100,44.0,42.25,42.5,43.75,43.0
无干扰 #1,GLO42,GLO,100,47.75,47.0,47.25,47.75,47.5
无干扰 #1,GLO43,GLO,100,47.5,40.75,42.1875,47.5,45.625
无干扰 #1,GLO46,GLO,100,43.0,39.25,40.6875,42.5,41.5
无干扰 #1,GLO52,GLO,78,29.0,20.75,23.75,27.5,24.75
无干扰 #1,GLO53,GLO,100,45.75,45.0,45.25,45.5,45.25
无干扰 #1,GPS10,GPS,150,47.25,43.0,43.5625,47.0,46.75
无干扰 #1,GPS12,GPS,100,48.0,43.0,43.25,47.75,45.5
无干扰 #1,GPS13,GPS,100,44.75,44.25,44.25,44.5,44.5
无干扰 #1,GPS23,GPS,150,48.25,41.5,42.25,48.25,44.0
无干扰 #1,GPS25,GPS,150,48.5,43.75,44.0,48.25,47.75
无干扰 #1,GPS28,GPS,150,42.75,34.5,35.0,42.5,40.5
无干扰 #1,GPS31,GPS,100,35.75,18.5,29.125,35.75,33.75
无干扰 #1,GPS32,GPS,150,48.5,43.0,43.5,48.25,46.25
无干扰 #1,QZS194,QZS,150,43.75,42.25,42.25,43.0,42.5
无干扰 #1,QZS195,QZS,150,33.75,31.5,32.0,33.0,32.5
无干扰 #1,QZS199,QZS,150,47.75,37.75,38.75,47.75,45.0
409MHz 干扰,BDS1,BDS,66,47.5,27.75,46.75,47.25,47.0
409MHz 干扰,BDS10,BDS,122,46.75,24.75,33.5,46.0,41.875
409MHz 干扰,BDS12,BDS,100,49.5,22.75,28.4375,49.25,44.125
409MHz 干扰,BDS19,BDS,120,46.0,22.75,29.9375,45.75,39.875
409MHz 干扰,BDS2,BDS,54,40.25,29.75,39.75,40.25,40.0
409MHz 干扰,BDS20,BDS,129,47.0,19.75,30.25,46.5,40.5
409MHz 干扰,BDS22,BDS,120,44.0,21.0,28.9375,43.25,38.5
409MHz 干扰,BDS3,BDS,73,48.0,25.0,38.0,47.75,47.5
409MHz 干扰,BDS36,BDS,150,48.25,24.75,30.25,47.5,39.5
409MHz 干扰,BDS39,BDS,118,42.5,23.75,30.1875,42.25,38.125
409MHz 干扰,BDS4,BDS,63,46.25,34.0,45.5,45.75,45.75
409MHz 干扰,BDS6,BDS,86,48.75,24.5,39.75,48.25,48.25
409MHz 干扰,BDS7,BDS,100,47.25,22.25,27.875,47.0,42.625
409MHz 干扰,BDS9,BDS,138,46.25,23.25,26.75,46.0,39.25
409MHz 干扰,GAL15,GAL,112,44.5,23.0,30.9375,41.8125,41.5
409MHz 干扰,GAL2,GAL,134,52.75,21.75,30.0,48.25,47.5
409MHz 干扰,GAL25,GAL,133,48.0,22.5,29.25,46.25,40.75
409MHz 干扰,GAL3,GAL,106,51.5,25.75,39.0,47.0,46.0
409MHz 干扰,GAL30,GAL,94,43.25,25.5,32.5,40.0,39.5
409MHz 干扰,GAL32,GAL,131,49.75,21.5,35.125,48.0,39.5
409MHz 干扰,GAL5,GAL,95,50.0,27.75,37.25,42.0,41.5
409MHz 干扰,GAL8,GAL,110,46.75,20.5,32.25,43.1875,41.0
409MHz 干扰,GLO41,GLO,100,42.75,22.0,26.75,42.25,39.625
409MHz 干扰,GLO42,GLO,100,46.0,29.75,34.8125,45.5,42.625
409MHz 干扰,GLO43,GLO,99,44.5,16.5,27.125,40.25,35.0
409MHz 干扰,GLO46,GLO,100,40.25,22.75,29.375,39.75,38.375
409MHz 干扰,GLO53,GLO,100,45.25,23.25,30.75,44.75,41.25
409MHz 干扰,GLO64,GLO,50,31.5,27.75,29.25,30.25,29.75
409MHz 干扰,GPS10,GPS,100,46.75,25.75,31.5625,46.75,43.0
409MHz 干扰,GPS12,GPS,50,46.25,45.25,45.5,46.0,45.625
409MHz 干扰,GPS13,GPS,50,41.75,40.25,40.5,41.0,40.75
409MHz 干扰,GPS23,GPS,71,46.75,23.25,38.625,46.0,46.0
409MHz 干扰,GPS25,GPS,100,47.75,25.25,31.5625,46.25,43.75
409MHz 干扰,GPS28,GPS,100,40.5,22.0,28.375,39.0,36.875
409MHz 干扰,GPS31,GPS,50,35.75,33.0,33.5625,35.5,35.0
409MHz 干扰,GPS32,GPS,100,47.0,28.25,32.625,46.25,43.25
409MHz 干扰,QZS194,QZS,72,41.75,28.75,36.75,41.25,41.25
409MHz 干扰,QZS195,QZS,50,32.0,29.75,30.25,31.5,30.75
409MHz 干扰,QZS199,QZS,100,41.5,23.0,29.875,38.0,37.25
无干扰 #2,BDS1,BDS,100,47.75,44.75,45.0,47.5,46.25
无干扰 #2,BDS10,BDS,150,46.75,42.5,42.75,46.5,45.0
无干扰 #2,BDS12,BDS,100,49.25,46.5,47.25,49.0,48.25
无干扰 #2,BDS19,BDS,150,49.5,45.75,46.25,49.5,46.25
无干扰 #2,BDS2,BDS,100,41.5,39.5,40.0,41.0,40.625
无干扰 #2,BDS20,BDS,150,47.25,43.5,44.0,47.0,46.5
无干扰 #2,BDS22,BDS,150,44.75,40.5,41.0,44.25,42.0
无干扰 #2,BDS3,BDS,100,48.25,44.75,45.0,48.0,46.625
无干扰 #2,BDS36,BDS,150,50.25,47.0,47.75,50.25,48.0
无干扰 #2,BDS39,BDS,150,46.75,40.0,41.75,46.25,44.0
无干扰 #2,BDS4,BDS,100,46.5,42.25,42.75,45.75,44.25
无干扰 #2,BDS6,BDS,100,49.0,45.75,46.0,49.0,47.5
无干扰 #2,BDS7,BDS,100,47.5,46.75,47.0,47.25,47.25
无干扰 #2,BDS9,BDS,150,46.75,44.0,44.5,46.5,46.5
无干扰 #2,GAL15,GAL,150,47.75,39.0,39.5625,47.25,42.0
无干扰 #2,GAL2,GAL,150,49.75,44.0,44.75,49.75,49.5
无干扰 #2,GAL25,GAL,150,49.25,45.0,45.25,49.0,47.0
无干扰 #2,GAL3,GAL,150,49.5,45.75,46.25,49.5,48.25
无干扰 #2,GAL30,GAL,150,43.5,36.0,37.3125,42.75,42.0
无干扰 #2,GAL32,GAL,150,50.5,46.5,47.25,50.5,49.0
无干扰 #2,GAL5,GAL,150,46.0,42.25,42.5,45.4375,43.0
无干扰 #2,GAL8,GAL,150,46.5,38.25,38.5,46.0,43.25
无干扰 #2,GLO41,GLO,100,41.75,36.75,38.0,41.25,39.625
无干扰 #2,GLO42,GLO,100,47.75,46.0,46.25,47.75,47.0
无干扰 #2,GLO43,GLO,100,47.5,31.25,43.0,46.25,44.75
无干扰 #2,GLO46,GLO,100,44.75,35.5,37.25,44.5,40.625
无干扰 #2,GLO53,GLO,100,45.75,44.5,44.75,45.75,45.5
无干扰 #2,GLO64,GLO,50,32.0,29.5,31.0,31.5,31.125
无干扰 #2,GPS10,GPS,150,48.25,44.25,44.75,47.75,47.25
无干扰 #2,GPS12,GPS,100,47.75,42.25,42.5,47.5,45.25
无干扰 #2,GPS13,GPS,100,40.5,39.25,39.75,40.25,40.25
无干扰 #2,GPS23,GPS,150,45.5,41.25,42.5,45.25,44.5
无干扰 #2,GPS25,GPS,150,48.75,44.25,44.5,48.25,47.625
无干扰 #2,GPS28,GPS,150,43.25,39.25,39.75,42.25,41.125
无干扰 #2,GPS31,GPS,100,37.5,32.25,35.0,36.75,35.5
无干扰 #2,GPS32,GPS,150,47.75,43.25,44.0,47.5,46.0
无干扰 #2,QZS194,QZS,150,43.25,41.0,41.75,43.0,42.5
无干扰 #2,QZS195,QZS,150,34.0,24.5,27.0,33.5,32.625
无干扰 #2,QZS199,QZS,150,47.25,39.0,39.5,47.0,45.0
392MHz 干扰,BDS1,BDS,88,38.0,29.75,33.4375,36.75,36.375
392MHz 干扰,BDS10,BDS,150,37.25,32.0,33.75,36.75,35.375
392MHz 干扰,BDS12,BDS,100,38.5,34.0,35.25,37.8125,36.75
392MHz 干扰,BDS19,BDS,100,38.0,35.75,36.0,37.25,36.25
392MHz 干扰,BDS2,BDS,79,37.75,24.25,26.75,31.75,30.5
392MHz 干扰,BDS20,BDS,100,36.25,32.0,33.5,35.75,35.25
392MHz 干扰,BDS22,BDS,100,36.5,31.75,32.75,36.0,34.25
392MHz 干扰,BDS3,BDS,99,39.25,32.0,35.625,38.25,37.0
392MHz 干扰,BDS36,BDS,100,38.5,37.0,37.5,38.25,38.0
392MHz 干扰,BDS39,BDS,100,37.75,25.5,28.25,37.0,33.375
392MHz 干扰,BDS4,BDS,83,36.75,27.75,31.75,34.875,33.5
392MHz 干扰,BDS6,BDS,100,39.5,36.25,36.75,38.5625,37.25
392MHz 干扰,BDS7,BDS,100,38.0,34.0,35.0,37.0,36.375
392MHz 干扰,BDS9,BDS,150,37.25,32.25,35.25,36.75,36.25
392MHz 干扰,GAL15,GAL,50,36.5,31.0,32.5,36.1875,34.5
392MHz 干扰,GAL2,GAL,78,45.0,30.5,37.5,44.0,42.625
392MHz 干扰,GAL25,GAL,79,41.0,28.75,37.0,40.5,39.75
392MHz 干扰,GAL3,GAL,100,42.75,29.75,32.875,40.8125,38.125
392MHz 干扰,GAL30,GAL,50,36.5,31.25,32.5,35.75,34.0
392MHz 干扰,GAL32,GAL,100,44.25,32.0,35.6875,41.75,40.375
392MHz 干扰,GAL5,GAL,50,36.0,31.25,32.0,34.75,32.75
392MHz 干扰,GAL8,GAL,50,39.25,34.25,35.25,38.5,36.0
392MHz 干扰,GLO41,GLO,50,41.25,40.0,40.25,40.75,40.5
392MHz 干扰,GLO42,GLO,100,47.0,31.75,35.25,46.75,42.625
392MHz 干扰,GLO43,GLO,100,47.5,36.25,40.0,47.5,45.25
392MHz 干扰,GLO46,GLO,100,43.5,25.75,31.0,42.0625,37.875
392MHz 干扰,GLO53,GLO,100,46.5,31.0,34.4375,46.0,42.875
392MHz 干扰,GPS10,GPS,100,45.5,42.25,42.75,45.25,44.25
392MHz 干扰,GPS12,GPS,100,42.75,39.75,41.0,42.5,42.25
392MHz 干扰,GPS13,GPS,100,38.5,30.25,31.9375,38.25,35.125
392MHz 干扰,GPS23,GPS,100,43.25,35.25,37.5,43.0,40.375
392MHz 干扰,GPS25,GPS,100,45.5,41.0,42.25,45.25,44.0
392MHz 干扰,GPS28,GPS,100,41.0,34.75,36.0,40.5,38.875
392MHz 干扰,GPS31,GPS,100,33.0,28.0,31.5,32.75,32.25
392MHz 干扰,GPS32,GPS,100,45.5,40.75,42.0,44.75,43.75
392MHz 干扰,QZS194,QZS,100,43.75,37.0,37.5,43.25,40.625
392MHz 干扰,QZS195,QZS,58,33.25,17.75,32.5,33.0,33.0
392MHz 干扰,QZS199,QZS,100,45.25,33.25,34.25,45.0,39.875
无干扰 #3,BDS1,BDS,100,48.0,44.5,45.0,47.75,46.125
无干扰 #3,BDS10,BDS,150,47.0,43.0,43.0,46.5,45.75
无干扰 #3,BDS12,BDS,100,48.75,46.75,47.0,48.0,47.25
无干扰 #3,BDS19,BDS,150,49.25,46.25,46.5,49.0,46.75
无干扰 #3,BDS2,BDS,100,41.5,39.5,40.0,41.3125,40.75
无干扰 #3,BDS20,BDS,150,46.5,41.75,42.5,46.25,46.0
无干扰 #3,BDS22,BDS,150,45.0,41.0,41.5,44.75,44.5
无干扰 #3,BDS3,BDS,100,48.25,44.75,45.25,47.75,46.5
无干扰 #3,BDS36,BDS,150,50.5,47.0,47.25,50.5,48.0
无干扰 #3,BDS39,BDS,150,48.5,38.75,39.75,48.0,44.75
无干扰 #3,BDS4,BDS,100,45.75,42.5,42.75,45.5,44.125
无干扰 #3,BDS6,BDS,100,47.75,46.25,46.25,47.5,46.75
无干扰 #3,BDS7,BDS,100,47.25,47.0,47.0,47.25,47.25
无干扰 #3,BDS9,BDS,150,46.75,44.25,44.75,46.5,46.5
无干扰 #3,GAL15,GAL,150,44.75,39.5,40.0625,44.25,43.125
无干扰 #3,GAL2,GAL,149,49.5,21.25,23.0,49.5,49.25
无干扰 #3,GAL25,GAL,150,48.75,45.0,45.25,48.5,45.75
无干扰 #3,GAL3,GAL,150,49.75,46.25,46.5,49.75,48.5
无干扰 #3,GAL30,GAL,144,40.25,33.5,34.0,39.3125,36.875
无干扰 #3,GAL32,GAL,150,50.5,46.25,46.75,50.0,48.125
无干扰 #3,GAL5,GAL,150,46.5,31.5,34.5,46.25,41.5
无干扰 #3,GAL8,GAL,150,46.5,40.0,40.25,46.0,43.25
无干扰 #3,GLO41,GLO,100,43.5,39.0,39.25,43.0,41.0
无干扰 #3,GLO42,GLO,100,47.25,46.75,47.0,47.25,47.125
无干扰 #3,GLO43,GLO,100,48.25,42.75,45.4375,48.25,46.75
无干扰 #3,GLO46,GLO,100,43.75,42.0,42.75,43.5,43.0
无干扰 #3,GLO53,GLO,100,46.0,44.75,45.0,45.75,45.5
无干扰 #3,GLO64,GLO,50,32.0,30.0,30.25,31.1875,30.5
无干扰 #3,GPS10,GPS,150,47.75,43.5,44.0,47.5,47.25
无干扰 #3,GPS12,GPS,100,46.75,40.75,41.25,46.75,44.375
无干扰 #3,GPS13,GPS,100,37.5,35.25,35.5,37.25,36.5
无干扰 #3,GPS23,GPS,150,46.0,41.75,43.0,45.75,44.5
无干扰 #3,GPS25,GPS,150,49.25,44.75,44.75,49.0,47.25
无干扰 #3,GPS28,GPS,150,44.0,39.0,39.25,43.5,40.75
无干扰 #3,GPS31,GPS,100,36.5,33.0,33.25,36.5,35.25
无干扰 #3,GPS32,GPS,150,49.25,44.0,45.0,48.0,46.0
无干扰 #3,QZS194,QZS,150,43.75,42.25,42.75,43.5,43.0
无干扰 #3,QZS195,QZS,90,34.25,25.75,27.25,31.4375,30.75
无干扰 #3,QZS199,QZS,150,47.75,38.25,38.75,47.75,45.25
4G/5G 干扰,BDS1,BDS,100,48.0,44.75,45.25,47.5625,46.25
4G/5G 干扰,BDS10,BDS,150,46.5,43.0,43.25,46.25,46.0
4G/5G 干扰,BDS12,BDS,100,48.5,46.75,46.75,48.3125,47.625
4G/5G 干扰,BDS19,BDS,150,49.75,46.0,46.5,49.6875,47.0
4G/5G 干扰,BDS2,BDS,100,41.25,40.0,40.75,41.0,41.0
4G/5G 干扰,BDS20,BDS,150,46.25,42.0,42.25,45.6875,44.5
4G/5G 干扰,BDS22,BDS,150,45.0,41.75,42.0,44.5,44.0
4G/5G 干扰,BDS3,BDS,100,48.0,45.0,45.25,47.75,46.25
4G/5G 干扰,BDS36,BDS,150,50.5,47.75,48.0,50.5,48.0
4G/5G 干扰,BDS39,BDS,150,49.25,42.25,42.25,49.0,44.25
4G/5G 干扰,BDS4,BDS,100,45.5,42.5,43.1875,45.25,44.25
4G/5G 干扰,BDS6,BDS,100,47.5,46.5,46.75,47.0,46.75
4G/5G 干扰,BDS7,BDS,100,47.5,46.75,47.25,47.5,47.25
4G/5G 干扰,BDS9,BDS,150,47.0,44.5,44.75,47.0,46.75
4G/5G 干扰,GAL15,GAL,150,45.75,40.5,41.25,45.1875,43.75
4G/5G 干扰,GAL2,GAL,150,49.75,46.0,46.25,49.75,48.5
4G/5G 干扰,GAL25,GAL,150,49.0,44.75,45.0,48.75,46.5
4G/5G 干扰,GAL3,GAL,150,49.5,46.0,46.0,49.25,47.5
4G/5G 干扰,GAL30,GAL,150,40.75,29.75,31.5,40.25,37.0
4G/5G 干扰,GAL32,GAL,150,50.5,46.5,46.75,50.5,48.5
4G/5G 干扰,GAL5,GAL,150,46.5,34.25,35.75,45.75,40.875
4G/5G 干扰,GAL8,GAL,150,46.75,40.5,41.0,46.0,44.25
4G/5G 干扰,GLO41,GLO,100,44.5,37.0,37.25,43.5,41.25
4G/5G 干扰,GLO42,GLO,100,46.75,46.0,46.25,46.75,46.75
4G/5G 干扰,GLO43,GLO,100,47.75,42.0,42.5,47.75,45.125
4G/5G 干扰,GLO46,GLO,100,44.0,40.75,41.0,43.25,42.0
4G/5G 干扰,GLO53,GLO,100,46.5,45.5,45.5,46.25,46.0
4G/5G 干扰,GLO64,GLO,50,31.75,28.75,29.5625,30.75,30.0
4G/5G 干扰,GPS10,GPS,150,48.75,43.0,43.5,47.75,47.25
4G/5G 干扰,GPS12,GPS,100,45.75,42.25,42.75,45.25,44.25
4G/5G 干扰,GPS13,GPS,100,36.5,33.25,33.75,36.0625,34.5
4G/5G 干扰,GPS23,GPS,150,46.5,43.75,44.0,46.25,44.0
4G/5G 干扰,GPS25,GPS,150,49.0,43.25,44.0,49.0,46.5
4G/5G 干扰,GPS28,GPS,150,43.0,41.25,41.75,42.75,41.75
4G/5G 干扰,GPS31,GPS,100,36.25,26.25,27.25,36.0,32.5
4G/5G 干扰,GPS32,GPS,150,49.75,44.5,45.25,48.25,45.75
4G/5G 干扰,QZS194,QZS,150,44.75,42.75,43.25,44.5,43.5
4G/5G 干扰,QZS195,QZS,135,36.25,27.5,29.5,32.25,32.0
4G/5G 干扰,QZS199,QZS,150,48.0,38.0,38.5,47.75,45.25
无干扰 #4,BDS1,BDS,100,48.0,44.75,45.0,47.8125,46.125
无干扰 #4,BDS10,BDS,150,47.0,43.0,43.25,46.5,46.25
无干扰 #4,BDS12,BDS,100,48.5,47.0,47.0,48.5,47.875
无干扰 #4,BDS19,BDS,150,49.25,46.0,46.0,48.75,47.0
无干扰 #4,BDS2,BDS,100,41.75,40.0,40.25,41.25,40.875
无干扰 #4,BDS20,BDS,150,45.75,42.25,42.5,45.5,45.5
无干扰 #4,BDS22,BDS,150,44.75,41.0,41.25,44.5,42.25
无干扰 #4,BDS3,BDS,100,48.0,44.75,45.0,47.75,46.5
无干扰 #4,BDS36,BDS,150,50.0,47.25,47.75,50.0,48.0
无干扰 #4,BDS39,BDS,150,50.0,40.75,41.0,50.0,44.25
无干扰 #4,BDS4,BDS,100,45.25,42.75,43.0,44.75,43.875
无干扰 #4,BDS6,BDS,100,48.0,46.75,46.75,47.75,47.125
无干扰 #4,BDS7,BDS,100,48.0,46.5,47.0,47.75,47.375
无干扰 #4,BDS9,BDS,150,47.5,44.75,44.75,47.25,46.5
无干扰 #4,GAL15,GAL,150,47.25,42.25,43.3125,46.75,43.5
无干扰 #4,GAL2,GAL,150,50.0,46.0,46.0,50.0,48.75
无干扰 #4,GAL25,GAL,150,48.75,46.0,46.25,48.75,46.75
无干扰 #4,GAL3,GAL,150,50.0,46.5,46.5,50.0,48.75
无干扰 #4,GAL30,GAL,150,43.5,34.0,36.0,42.5,40.25
无干扰 #4,GAL32,GAL,150,50.75,47.25,47.5,50.5,47.75
