segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,100,47.0,44.75,45.0,46.75,45.875
无干扰 #1,BDS10,BDS,150,44.0,39.75,40.0,44.0,43.75
无干扰 #1,BDS12,BDS,100,46.75,45.0,45.25,46.5,45.875
无干扰 #1,BDS16,BDS,50,24.5,23.0,23.5,24.0,23.75
无干扰 #1,BDS19,BDS,150,48.0,46.75,47.0,47.75,47.5
无干扰 #1,BDS2,BDS,100,43.25,40.75,41.25,42.75,41.875
无干扰 #1,BDS20,BDS,150,47.25,43.25,43.5,46.75,44.875
无干扰 #1,BDS22,BDS,150,42.75,38.0,38.75,40.5,39.875
无干扰 #1,BDS3,BDS,82,47.25,41.25,42.0,46.9375,46.5
无干扰 #1,BDS36,BDS,150,49.75,45.0,45.25,49.75,46.5
无干扰 #1,BDS39,BDS,150,46.25,42.5,43.5,46.25,46.0
无干扰 #1,BDS4,BDS,100,43.25,41.75,42.5,42.75,42.75
无干扰 #1,BDS6,BDS,100,46.75,43.5,43.75,46.75,45.125
无干扰 #1,BDS7,BDS,100,45.75,44.75,45.0,45.5,45.125
无干扰 #1,BDS9,BDS,150,44.75,42.0,42.0,44.25,42.75
无干扰 #1,GAL15,GAL,150,49.0,41.75,42.0,48.5,43.5
无干扰 #1,GAL2,GAL,150,48.25,43.5,43.75,48.0,47.5
无干扰 #1,GAL25,GAL,150,47.5,41.75,42.0,46.5,45.25
无干扰 #1,GAL3,GAL,150,47.25,43.0,43.0,46.75,45.75
无干扰 #1,GAL30,GAL,150,43.75,38.5,38.75,43.25,40.5
无干扰 #1,GAL32,GAL,150,48.25,44.5,44.75,48.0,46.75
无干扰 #1,GAL5,GAL,150,44.75,37.75,38.3125,44.1875,42.5
无干扰 #1,GAL8,GAL,142,41.5,36.25,38.75,40.0,39.0
无干扰 #1,GLO78,GLO,100,43.75,41.0,41.75,43.25,42.5
无干扰 #1,GLO79,GLO,100,47.25,44.25,44.5,47.25,45.875
无干扰 #1,GLO80,GLO,100,45.75,32.0,37.75,45.25,43.375
无干扰 #1,GLO83,GLO,100,44.25,42.25,43.0,43.75,43.5
无干扰 #1,GLO89,GLO,50,31.0,25.75,27.5,29.875,28.25
无干扰 #1,GLO90,GLO,100,44.25,42.0,43.0,43.75,43.25
无干扰 #1,GPS10,GPS,150,47.75,42.75,43.0,47.5,46.0
无干扰 #1,GPS12,GPS,100,45.75,40.5,40.5,45.5,43.125
无干扰 #1,GPS13,GPS,100,43.75,41.5,41.75,43.0,42.25
无干扰 #1,GPS23,GPS,150,45.25,42.5,43.0,45.0,44.75
无干扰 #1,GPS25,GPS,150,47.0,42.0,42.25,46.75,46.5
无干扰 #1,GPS28,GPS,150,41.0,34.5,35.75,40.75,36.75
无干扰 #1,GPS31,GPS,100,36.25,31.75,32.0,35.75,34.125
无干扰 #1,GPS32,GPS,150,47.75,41.5,42.25,46.5,43.25
无干扰 #1,QZS385,QZS,150,44.75,38.0,38.75,44.75,43.125
无干扰 #1,QZS386,QZS,140,34.0,29.25,30.0,32.75,31.0
无干扰 #1,QZS390,QZS,150,45.5,38.25,39.0,45.25,44.25
409MHz 干扰,BDS1,BDS,68,47.0,31.75,40.125,46.75,46.25
409MHz 干扰,BDS10,BDS,150,44.0,27.25,31.5,43.5,40.5
409MHz 干扰,BDS12,BDS,100,44.5,36.25,37.5,44.25,42.25
409MHz 干扰,BDS16,BDS,50,23.75,22.5,23.0,23.25,23.0
409MHz 干扰,BDS19,BDS,126,44.75,36.25,37.75,44.75,39.5
409MHz 干扰,BDS2,BDS,71,43.75,30.5,34.375,43.5,42.5
409MHz 干扰,BDS20,BDS,140,47.0,33.25,36.25,46.25,38.25
409MHz 干扰,BDS22,BDS,150,43.0,26.0,31.25,41.6875,34.5
409MHz 干扰,BDS3,BDS,70,46.75,30.25,37.25,46.25,46.125
409MHz 干扰,BDS36,BDS,150,46.75,34.0,38.3125,46.5,42.5
409MHz 干扰,BDS39,BDS,150,44.25,31.0,34.5,43.5,38.625
409MHz 干扰,BDS4,BDS,72,44.75,25.75,36.0,44.5,44.25
409MHz 干扰,BDS6,BDS,100,46.25,31.75,33.625,46.0,41.5
409MHz 干扰,BDS7,BDS,100,45.75,32.5,34.4375,45.0,42.0
409MHz 干扰,BDS9,BDS,150,45.5,31.75,34.5,45.0,40.0
409MHz 干扰,GAL15,GAL,150,47.0,28.0,31.0,45.5,43.0
409MHz 干扰,GAL2,GAL,150,47.5,32.0,34.25,47.0,45.5
409MHz 干扰,GAL25,GAL,150,47.5,33.5,35.0,46.0,44.125
409MHz 干扰,GAL3,GAL,150,48.25,34.5,36.25,47.75,43.375
409MHz 干扰,GAL30,GAL,150,42.75,30.0,32.0625,41.0,39.625
409MHz 干扰,GAL32,GAL,150,47.25,31.75,34.3125,46.75,45.0
409MHz 干扰,GAL5,GAL,144,43.25,29.0,30.9375,43.0,42.0
409MHz 干扰,GAL8,GAL,143,42.75,29.0,30.75,41.0,35.25
409MHz 干扰,GLO78,GLO,100,43.0,27.25,30.125,42.75,41.875
409MHz 干扰,GLO79,GLO,100,46.75,36.5,37.75,46.75,43.5
409MHz 干扰,GLO80,GLO,100,46.75,17.5,25.25,46.75,41.75
409MHz 干扰,GLO83,GLO,100,44.5,32.0,33.25,43.75,41.25
409MHz 干扰,GLO89,GLO,44,30.75,22.75,25.4375,29.0,27.625
409MHz 干扰,GLO90,GLO,100,43.5,31.5,33.8125,43.0,41.0
409MHz 干扰,GPS10,GPS,100,46.25,39.25,39.75,46.0,42.625
409MHz 干扰,GPS12,GPS,50,46.0,45.75,45.75,46.0,46.0
409MHz 干扰,GPS13,GPS,50,42.0,41.5,41.5,41.75,41.75
409MHz 干扰,GPS23,GPS,100,44.25,33.5,35.25,43.75,39.875
409MHz 干扰,GPS25,GPS,100,46.75,36.75,37.0,46.5,41.75
409MHz 干扰,GPS28,GPS,100,39.5,33.5,34.0,38.75,36.25
409MHz 干扰,GPS31,GPS,50,35.25,33.5,34.25,34.75,34.25
409MHz 干扰,GPS32,GPS,100,46.75,36.0,36.5,46.5,41.5
409MHz 干扰,QZS385,QZS,100,38.75,33.75,34.4375,38.5,37.125
409MHz 干扰,QZS386,QZS,50,27.5,23.5,24.5,26.6875,26.0
409MHz 干扰,QZS390,QZS,90,37.5,36.5,36.75,37.25,37.125
无干扰 #2,BDS1,BDS,100,47.25,44.25,44.5,46.75,45.625
无干扰 #2,BDS10,BDS,150,44.5,38.75,39.0,44.5,44.0
无干扰 #2,BDS12,BDS,100,46.25,45.0,45.5,46.0,45.625
无干扰 #2,BDS16,BDS,50,23.0,21.25,21.75,22.5,22.0
无干扰 #2,BDS19,BDS,150,49.5,45.5,46.25,49.5,46.25
无干扰 #2,BDS2,BDS,100,43.25,40.75,41.0,42.5625,41.75
无干扰 #2,BDS20,BDS,150,46.25,44.5,45.0,45.5,45.25
无干扰 #2,BDS22,BDS,150,42.25,38.5,39.0,41.75,39.5
无干扰 #2,BDS3,BDS,81,46.5,41.5,42.0,46.25,46.0
无干扰 #2,BDS36,BDS,150,49.75,45.0,45.75,49.5,46.25
无干扰 #2,BDS39,BDS,150,47.75,42.25,42.75,47.25,44.75
无干扰 #2,BDS4,BDS,100,44.5,41.75,42.25,44.0,43.125
无干扰 #2,BDS6,BDS,100,45.0,42.25,42.25,45.0,43.75
无干扰 #2,BDS7,BDS,100,45.5,44.5,44.5,45.5,45.0
无干扰 #2,BDS9,BDS,150,46.0,42.0,42.25,45.75,44.25
无干扰 #2,GAL15,GAL,150,47.5,34.25,39.25,47.0,39.75
无干扰 #2,GAL2,GAL,150,48.5,43.25,43.5,48.1875,46.5
无干扰 #2,GAL25,GAL,150,48.0,41.75,42.25,47.75,46.5
无干扰 #2,GAL3,GAL,150,48.5,43.5,43.75,48.25,45.75
无干扰 #2,GAL30,GAL,150,43.75,39.5,40.25,43.25,40.5
无干扰 #2,GAL32,GAL,150,48.0,44.75,45.0,47.75,47.5
无干扰 #2,GAL5,GAL,150,44.75,37.0,37.75,44.0,43.75
无干扰 #2,GAL8,GAL,150,42.25,36.5,37.5,40.5,40.25
无干扰 #2,GLO78,GLO,100,44.75,31.0,34.5,44.25,39.625
无干扰 #2,GLO79,GLO,100,47.5,43.75,44.0,47.5,46.125
无干扰 #2,GLO80,GLO,100,47.75,45.0,45.75,47.75,46.75
无干扰 #2,GLO83,GLO,100,43.5,40.5,42.0,43.0,42.625
无干扰 #2,GLO89,GLO,29,32.25,25.75,27.5,29.0,28.25
无干扰 #2,GLO90,GLO,100,44.75,42.75,43.25,44.0,43.625
无干扰 #2,GPS10,GPS,150,48.0,42.75,42.75,47.75,45.75
无干扰 #2,GPS12,GPS,100,47.0,41.75,41.75,46.75,44.375
无干扰 #2,GPS13,GPS,100,40.75,35.0,35.5,39.5,37.375
无干扰 #2,GPS23,GPS,150,46.0,42.75,43.5,45.9375,45.0
无干扰 #2,GPS25,GPS,150,46.75,42.0,42.25,46.75,46.5
无干扰 #2,GPS28,GPS,150,41.5,36.0,38.0,40.6875,39.25
无干扰 #2,GPS31,GPS,100,36.5,31.25,31.75,36.0,33.75
无干扰 #2,GPS32,GPS,150,46.75,40.5,41.0,46.0,44.25
无干扰 #2,QZS385,QZS,150,44.25,37.25,39.0,44.0,43.25
无干扰 #2,QZS386,QZS,150,36.0,24.75,28.25,35.75,33.125
无干扰 #2,QZS390,QZS,150,46.0,38.75,39.25,45.5,44.0
392MHz 干扰,BDS1,BDS,100,41.5,25.0,29.9375,35.75,33.0
392MHz 干扰,BDS10,BDS,150,39.0,28.0,31.5,35.75,34.0
392MHz 干扰,BDS12,BDS,100,38.5,25.5,30.625,37.25,36.75
392MHz 干扰,BDS19,BDS,100,39.75,34.5,36.25,37.25,36.5
392MHz 干扰,BDS2,BDS,75,38.25,24.5,29.0,33.625,30.5
392MHz 干扰,BDS20,BDS,100,38.25,32.25,34.0,35.75,35.0
392MHz 干扰,BDS22,BDS,100,35.5,28.0,29.0,32.0,30.75
392MHz 干扰,BDS3,BDS,94,41.75,28.0,31.5,35.1875,32.75
392MHz 干扰,BDS36,BDS,100,40.5,32.0,35.25,37.3125,35.5
392MHz 干扰,BDS39,BDS,100,38.5,23.25,27.4375,37.5,35.375
392MHz 干扰,BDS4,BDS,71,38.75,25.25,29.0,33.375,31.5
392MHz 干扰,BDS6,BDS,100,38.25,31.0,32.75,34.5,33.5
392MHz 干扰,BDS7,BDS,100,39.25,31.75,33.9375,35.25,34.5
392MHz 干扰,BDS9,BDS,150,41.0,30.5,32.75,34.1875,33.5
392MHz 干扰,GAL15,GAL,92,39.5,31.25,33.25,37.25,35.25
392MHz 干扰,GAL2,GAL,100,45.25,36.5,37.5,41.75,40.0
392MHz 干扰,GAL25,GAL,100,45.5,34.0,36.875,41.0,38.75
392MHz 干扰,GAL3,GAL,81,46.5,29.5,36.75,43.5,39.75
392MHz 干扰,GAL30,GAL,70,37.0,25.75,30.25,35.0,34.0
392MHz 干扰,GAL32,GAL,100,46.25,37.75,39.0,41.3125,40.25
392MHz 干扰,GAL5,GAL,77,40.5,26.0,32.5,38.75,33.75
392MHz 干扰,GAL8,GAL,50,37.75,30.75,32.25,37.25,34.875
392MHz 干扰,GLO78,GLO,50,42.25,41.75,42.0,42.25,42.0
392MHz 干扰,GLO79,GLO,100,45.25,33.75,35.9375,45.0,41.375
392MHz 干扰,GLO80,GLO,100,45.0,41.25,42.25,44.5,43.25
392MHz 干扰,GLO83,GLO,82,43.0,18.0,31.125,43.0,42.75
392MHz 干扰,GLO90,GLO,100,44.0,27.0,33.1875,43.5,40.25
392MHz 干扰,GPS10,GPS,100,44.25,40.0,42.5,43.25,42.75
392MHz 干扰,GPS12,GPS,100,45.0,40.25,41.0,43.0,41.75
392MHz 干扰,GPS13,GPS,100,36.75,29.75,32.875,34.3125,33.5
392MHz 干扰,GPS23,GPS,100,42.5,32.75,37.75,42.25,41.125
392MHz 干扰,GPS25,GPS,100,44.0,39.25,40.5,41.5625,40.5
392MHz 干扰,GPS28,GPS,100,37.75,31.0,35.75,36.5,36.25
392MHz 干扰,GPS31,GPS,100,35.25,24.5,28.5,31.75,30.0
392MHz 干扰,GPS32,GPS,100,44.0,37.75,38.6875,41.5625,39.5
392MHz 干扰,QZS385,QZS,100,43.75,32.0,34.875,43.5,39.625
392MHz 干扰,QZS386,QZS,50,35.0,32.25,34.75,35.0,34.75
392MHz 干扰,QZS390,QZS,100,44.0,31.0,35.0,43.75,40.0
无干扰 #3,BDS1,BDS,100,47.0,44.25,44.75,47.0,45.75
无干扰 #3,BDS10,BDS,150,45.0,39.0,39.0,44.75,44.0
无干扰 #3,BDS12,BDS,100,47.0,46.25,46.5,46.75,46.75
无干扰 #3,BDS19,BDS,150,48.75,46.0,46.25,48.5,46.5
无干扰 #3,BDS2,BDS,79,44.0,38.75,40.5,43.5,43.0
无干扰 #3,BDS20,BDS,150,45.25,44.5,44.75,45.0,44.75
无干扰 #3,BDS22,BDS,150,39.75,37.5,37.75,39.5,39.375
无干扰 #3,BDS3,BDS,100,47.0,41.5,41.75,46.75,44.25
无干扰 #3,BDS36,BDS,150,49.75,45.25,45.5,49.75,45.75
无干扰 #3,BDS39,BDS,150,49.0,38.0,38.75,48.5,46.0
无干扰 #3,BDS4,BDS,100,44.0,42.0,42.5,43.5,43.0
无干扰 #3,BDS6,BDS,100,45.25,43.5,43.75,45.0,44.375
无干扰 #3,BDS7,BDS,100,45.5,44.25,44.5,45.0625,44.75
无干扰 #3,BDS9,BDS,150,45.25,42.25,42.5,45.0,43.625
无干扰 #3,GAL15,GAL,150,45.0,42.0,43.25,44.25,44.0
无干扰 #3,GAL2,GAL,150,49.0,42.0,42.5,48.75,46.0
无干扰 #3,GAL25,GAL,150,46.75,41.0,41.25,46.5,46.0
无干扰 #3,GAL3,GAL,150,48.5,44.0,44.5,48.5,46.25
无干扰 #3,GAL30,GAL,150,42.0,33.75,34.5625,41.5,37.0
无干扰 #3,GAL32,GAL,150,48.5,43.75,44.25,48.5,46.5
无干扰 #3,GAL5,GAL,150,42.5,35.0,36.0,41.75,41.5
无干扰 #3,GAL8,GAL,137,43.75,36.75,37.0,43.0,42.0
无干扰 #3,GLO78,GLO,100,40.25,38.75,39.25,39.75,39.25
无干扰 #3,GLO79,GLO,100,47.5,44.25,44.25,47.25,45.875
无干扰 #3,GLO80,GLO,100,47.5,26.25,31.6875,47.25,41.5
无干扰 #3,GLO83,GLO,100,45.25,43.25,44.25,44.75,44.5
无干扰 #3,GLO90,GLO,100,43.5,42.75,43.0,43.25,43.0
无干扰 #3,GPS10,GPS,150,47.75,43.5,44.0,47.5,47.0
无干扰 #3,GPS12,GPS,100,47.0,40.5,41.25,46.75,44.25
无干扰 #3,GPS13,GPS,100,37.5,31.0,32.25,37.0,35.125
无干扰 #3,GPS23,GPS,150,47.0,41.25,41.75,46.25,42.5
无干扰 #3,GPS25,GPS,150,47.75,40.5,41.5,47.5,46.0
无干扰 #3,GPS28,GPS,150,42.25,36.5,37.25,41.0,37.5
无干扰 #3,GPS31,GPS,100,35.25,28.0,28.25,34.75,31.5
无干扰 #3,GPS32,GPS,150,47.25,37.25,37.8125,46.25,41.75
无干扰 #3,QZS385,QZS,150,45.0,36.75,38.5,44.5,44.0
无干扰 #3,QZS386,QZS,127,37.5,23.0,31.0,37.5,31.5
无干扰 #3,QZS390,QZS,150,45.75,38.5,39.0,45.75,44.25
4G/5G 干扰,BDS1,BDS,100,47.0,44.25,45.0,46.5,45.625
4G/5G 干扰,BDS10,BDS,150,45.0,39.25,39.5,44.5,44.0
4G/5G 干扰,BDS12,BDS,100,46.5,46.0,46.25,46.25,46.25
4G/5G 干扰,BDS19,BDS,150,49.0,46.0,46.25,48.75,46.5
4G/5G 干扰,BDS2,BDS,100,43.5,40.0,40.5,43.0,41.875
4G/5G 干扰,BDS20,BDS,150,45.5,44.0,44.25,45.25,45.0
4G/5G 干扰,BDS22,BDS,150,42.0,39.0,39.5,40.25,39.75
4G/5G 干扰,BDS3,BDS,100,46.75,41.75,42.0,46.25,44.125
4G/5G 干扰,BDS36,BDS,150,49.75,45.0,45.25,49.75,45.5
4G/5G 干扰,BDS39,BDS,150,49.75,41.25,41.75,49.5,44.0
4G/5G 干扰,BDS4,BDS,100,43.75,41.75,42.6875,43.25,43.0
4G/5G 干扰,BDS6,BDS,100,46.0,44.75,44.75,45.75,45.125
4G/5G 干扰,BDS7,BDS,100,44.75,44.25,44.5,44.75,44.75
4G/5G 干扰,BDS9,BDS,150,45.5,42.75,43.0,45.25,44.25
4G/5G 干扰,GAL15,GAL,150,45.0,42.0,43.0,44.25,44.0
4G/5G 干扰,GAL2,GAL,150,49.0,42.5,43.25,48.5,46.0
4G/5G 干扰,GAL25,GAL,150,47.0,41.75,42.0,46.5,46.0
4G/5G 干扰,GAL3,GAL,150,47.75,43.75,44.25,47.25,45.5
4G/5G 干扰,GAL30,GAL,150,43.0,32.25,34.75,41.9375,38.0
4G/5G 干扰,GAL32,GAL,150,48.25,43.5,43.5,47.75,47.0
4G/5G 干扰,GAL5,GAL,150,43.25,36.75,37.0,42.5,42.25
4G/5G 干扰,GAL8,GAL,137,46.75,36.5,37.0,41.5,38.75
4G/5G 干扰,GLO78,GLO,100,40.5,34.75,36.25,40.25,38.5
4G/5G 干扰,GLO79,GLO,100,47.5,44.75,45.0,47.5,46.25
4G/5G 干扰,GLO80,GLO,100,47.0,38.25,42.4375,47.0,45.5
4G/5G 干扰,GLO83,GLO,100,44.0,41.75,43.0,43.5,43.25
4G/5G 干扰,GLO90,GLO,100,45.0,41.75,42.4375,44.25,43.375
4G/5G 干扰,GPS10,GPS,150,47.75,43.0,43.5,47.5,45.875
4G/5G 干扰,GPS12,GPS,100,45.75,40.5,41.5,45.5,43.625
4G/5G 干扰,GPS13,GPS,100,32.25,31.25,31.5,32.0,31.75
4G/5G 干扰,GPS23,GPS,150,46.75,40.75,41.75,46.25,42.5
4G/5G 干扰,GPS25,GPS,150,47.25,41.75,42.5,47.25,45.25
4G/5G 干扰,GPS28,GPS,150,41.5,34.0,36.5,40.5,39.5
4G/5G 干扰,GPS31,GPS,97,34.5,20.25,24.75,34.0,33.0
4G/5G 干扰,GPS32,GPS,150,46.5,38.5,39.25,45.9375,41.25
4G/5G 干扰,QZS385,QZS,150,44.0,41.75,42.0,43.75,43.5
4G/5G 干扰,QZS386,QZS,145,37.75,26.0,27.5,37.75,29.5
4G/5G 干扰,QZS390,QZS,150,45.75,37.25,37.5,45.75,44.25
无干扰 #4,BDS1,BDS,100,46.75,44.5,44.75,46.5,45.625
无干扰 #4,BDS10,BDS,150,45.5,39.25,39.5,45.0,44.75
无干扰 #4,BDS12,BDS,100,46.75,46.0,46.25,46.75,46.5
无干扰 #4,BDS19,BDS,150,49.5,44.25,44.75,49.0,46.25
无干扰 #4,BDS2,BDS,100,43.5,40.5,40.75,43.0,42.0
无干扰 #4,BDS20,BDS,150,46.0,43.0,43.5,45.75,44.0
无干扰 #4,BDS22,BDS,150,41.0,39.75,39.75,40.75,40.5
无干扰 #4,BDS3,BDS,100,47.5,42.0,42.25,47.0,44.75
无干扰 #4,BDS36,BDS,150,50.0,45.25,45.5,50.0,46.0
无干扰 #4,BDS39,BDS,150,50.25,39.5,40.25,50.25,44.75
无干扰 #4,BDS4,BDS,100,43.5,42.0,42.5,43.0,42.75
无干扰 #4,BDS6,BDS,100,46.25,44.5,44.75,45.5,45.0
无干扰 #4,BDS7,BDS,100,45.75,43.75,44.0,45.75,44.875
无干扰 #4,BDS9,BDS,150,45.0,42.5,42.75,45.0,44.25
无干扰 #4,GAL15,GAL,150,47.25,45.25,45.75,47.0,45.75
无干扰 #4,GAL2,GAL,150,49.0,43.75,44.0,49.0,46.5
无干扰 #4,GAL25,GAL,150,47.25,42.0,42.0,46.75,46.5
无干扰 #4,GAL3,GAL,150,48.5,43.25,43.5,48.25,46.75
无干扰 #4,GAL30,GAL,150,44.75,34.0,36.25,43.75,39.5
无干扰 #4,GAL32,GAL,150,48.5,44.0,44.25,48.0,46.5
