svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,3887,48.5,24.5,45.0,47.5,45.5,45.13075636737844
BDS10,BDS,5980,47.5,17.0,42.75,46.5,45.5,43.622240802675584
BDS12,BDS,4040,49.75,22.75,46.75,48.5,47.75,46.00878712871287
BDS19,BDS,5791,51.75,22.75,46.0,49.0,46.75,45.969996546365046
BDS2,BDS,3783,43.0,22.0,39.75,41.0,40.5,39.552207242928894
BDS20,BDS,5803,47.75,19.75,41.75,46.0,45.25,43.5879286575909
BDS22,BDS,5814,47.0,21.0,41.5,44.5,43.25,42.06394048847609
BDS3,BDS,3889,48.75,24.75,44.75,47.75,45.25,45.327976343533045
BDS36,BDS,5862,52.75,22.75,47.5,50.0,48.0,47.146878198567045
BDS39,BDS,5816,50.25,23.75,41.0,45.75,44.0,43.147867950481434
BDS4,BDS,3874,46.5,24.25,42.75,45.25,43.25,43.04194630872483
BDS6,BDS,4026,49.0,24.5,46.25,47.5,46.75,45.63965474416294
BDS7,BDS,4040,48.0,22.25,46.75,47.5,47.25,45.39214108910891
BDS9,BDS,6048,47.75,23.25,44.75,46.5,45.75,44.125289351851855
GAL15,GAL,5584,49.75,20.75,41.25,45.75,44.0,43.44837929799427
GAL2,GAL,5757,54.0,21.25,45.75,49.25,48.5,46.51089977418795
GAL25,GAL,5786,52.5,22.5,45.0,48.5,46.5,45.51019702730729
GAL3,GAL,5801,51.5,17.5,46.25,49.25,47.75,46.59726771246337
GAL30,GAL,5585,45.0,19.75,35.5,41.25,39.25,38.17439570277529
GAL32,GAL,5821,55.25,20.75,46.75,50.0,47.75,47.024952757258205
GAL5,GAL,5396,50.25,21.25,39.0,45.25,41.25,40.86962564862861
GAL8,GAL,5641,48.0,20.5,40.5,46.0,42.5,42.33424924658748
GLO41,GLO,3861,46.25,19.5,39.75,43.5,42.0,40.99695674695675
GLO42,GLO,4040,47.75,28.5,46.5,47.25,47.0,45.77419554455445
GLO43,GLO,4039,48.25,16.5,43.25,47.0,45.75,44.31307254270859
GLO46,GLO,4024,45.25,20.0,39.75,43.25,41.75,40.66824055666004
GLO52,GLO,400,33.25,19.5,24.25,28.75,26.25,26.4775
GLO53,GLO,4040,47.0,23.25,45.25,46.25,46.0,44.5552599009901
GLO64,GLO,1495,35.5,18.5,29.25,31.5,30.5,30.085284280936456
GPS10,GPS,5681,49.75,19.5,44.25,47.5,47.0,45.800299243091004
GPS12,GPS,3848,48.0,16.0,42.5,46.25,43.75,44.247531185031185
GPS13,GPS,3846,45.75,16.0,31.0,40.0,34.75,35.019240769630784
GPS23,GPS,5658,48.25,17.25,43.0,45.5,44.5,43.74297454931071
GPS25,GPS,5684,52.75,20.75,44.5,48.5,46.75,46.10155700211119
GPS28,GPS,5680,44.5,20.75,39.5,41.75,41.0,40.26051936619718
GPS31,GPS,3815,37.75,18.0,31.5,35.5,33.5,32.91068152031455
GPS32,GPS,5700,50.75,16.0,44.75,48.0,46.0,45.80745614035088
QZS194,QZS,5565,47.0,20.5,42.25,43.5,43.0,42.72946990116802
QZS195,QZS,4429,37.25,14.0,29.5,33.0,31.5,30.99469406186498
QZS199,QZS,5659,51.25,20.0,38.75,47.5,45.0,42.98895564587383
