svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,3887,47.25,25.0,44.75,46.5,45.25,44.52804219192179
BDS10,BDS,6017,45.5,22.0,39.25,44.25,43.25,41.11018780122985
BDS12,BDS,4038,47.75,19.0,45.0,46.5,46.25,44.416666666666664
BDS16,BDS,715,25.75,17.25,22.25,24.0,23.5,23.093006993006995
BDS19,BDS,5798,52.5,28.25,45.5,48.0,46.5,45.7243014832701
BDS2,BDS,3688,45.5,24.0,40.5,43.0,41.5,41.02338665943601
BDS20,BDS,5859,47.25,25.25,43.0,45.0,44.0,43.05704898446834
BDS22,BDS,5778,44.75,22.0,38.75,40.5,39.5,38.76159570785739
BDS3,BDS,3579,47.75,24.25,42.0,46.75,46.0,43.65835428890752
BDS36,BDS,5855,52.75,26.75,45.0,49.75,45.75,45.61024765157985
BDS39,BDS,5880,52.25,19.0,40.75,46.25,44.5,43.475850340136056
BDS4,BDS,3789,45.0,24.0,42.25,43.25,42.75,41.970968593296384
BDS6,BDS,4016,47.25,25.25,43.75,45.5,44.75,43.251120517928285
BDS7,BDS,4038,46.0,22.75,44.25,45.25,44.75,43.27278355621595
BDS9,BDS,6057,46.0,24.75,42.25,44.5,43.75,42.30097407957735
GAL13,GAL,1305,40.5,28.75,34.0,38.5,36.5,36.04386973180077
GAL15,GAL,5854,50.0,20.25,43.0,46.75,45.0,43.9696361462248
GAL2,GAL,5873,49.5,22.75,43.75,48.0,46.5,45.40085986718883
GAL25,GAL,5848,48.5,19.0,42.0,46.5,45.75,44.14829856361149
GAL3,GAL,5848,49.0,22.75,43.5,47.0,46.0,44.97251196990424
GAL30,GAL,5731,44.75,24.5,37.0,42.0,39.5,39.128729715581926
GAL32,GAL,5880,49.5,20.25,44.25,47.75,46.25,45.378571428571426
GAL5,GAL,5369,45.25,23.75,38.25,43.25,41.75,40.487567517228534
GAL8,GAL,5573,47.0,17.75,37.5,41.5,39.25,39.146644536156465
GLO101,GLO,266,32.0,16.25,22.5,28.4375,24.25,25.07236842105263
GLO78,GLO,3857,45.0,22.5,38.25,43.0,40.5,39.9077651024112
GLO79,GLO,4038,47.5,22.75,44.25,47.25,45.0,44.754705299653295
GLO80,GLO,4031,47.75,17.5,39.0,45.5,43.25,41.51172165715703
GLO83,GLO,3950,46.0,18.0,41.0,44.0,42.75,41.6643670886076
GLO89,GLO,1140,35.5,14.75,24.25,29.0,27.0,26.65921052631579
GLO90,GLO,4038,45.5,17.5,42.75,43.75,43.25,42.3308568598316
GPS10,GPS,5682,50.5,18.75,43.5,47.25,46.0,45.20388947553678
GPS12,GPS,3848,47.25,17.0,41.0,46.0,43.25,43.27091995841996
GPS13,GPS,3758,44.75,18.0,31.0,39.5,32.25,34.16704364023417
GPS23,GPS,5686,49.75,14.75,41.75,45.25,42.75,42.825096728807594
GPS25,GPS,5686,49.75,19.0,41.5,46.75,45.75,44.16316391136124
GPS28,GPS,5678,42.25,18.0,36.5,39.25,37.75,37.77668193025713
GPS31,GPS,3732,37.5,18.0,31.0,35.0,33.25,32.52264201500536
GPS32,GPS,5688,49.5,18.5,40.5,46.25,43.0,42.95064170182841
QZS385,QZS,5707,47.25,15.5,41.25,43.75,42.75,41.81890660592255
QZS386,QZS,5034,39.5,14.25,28.75,35.0,31.25,31.322059992054033
QZS390,QZS,5677,47.25,18.5,38.5,45.5,44.25,41.99057600845517
