segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GLO,578,0.001953125,0.002216695501730104,0.001953125,0.00390625
无干扰 #1,GPS,1050,0.001953125,0.002038690476190476,0.001953125,0.005859375
无干扰 #1,QZS,450,0.001953125,0.001953125,0.001953125,0.001953125
409MHz 干扰,BDS,1439,0.001953125,0.0023698097637248087,0.001953125,0.005859375
409MHz 干扰,GAL,915,0.001953125,0.0023010587431693988,0.001953125,0.00390625
409MHz 干扰,GLO,549,0.001953125,0.002540129781420765,0.00390625,0.005859375
409MHz 干扰,GPS,621,0.001953125,0.002277073268921095,0.001953125,0.00390625
409MHz 干扰,QZS,222,0.001953125,0.0024018158783783786,0.001953125,0.00390625
无干扰 #2,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GLO,550,0.001953125,0.001963778409090909,0.001953125,0.00390625
无干扰 #2,GPS,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
392MHz 干扰,BDS,1449,0.001953125,0.0020892641476880605,0.001953125,0.00390625
392MHz 干扰,GAL,557,0.001953125,0.0020092291292639138,0.001953125,0.00390625
392MHz 干扰,GLO,450,0.001953125,0.0020442708333333333,0.001953125,0.00390625
392MHz 干扰,GPS,800,0.001953125,0.00200927734375,0.001953125,0.00390625
392MHz 干扰,QZS,258,0.001953125,0.002043968023255814,0.001953125,0.005859375
无干扰 #3,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GAL,1193,0.001953125,0.002033345557418273,0.001953125,0.00390625
无干扰 #3,GLO,550,0.001953125,0.0020454545454545456,0.001953125,0.00390625
无干扰 #3,GPS,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,QZS,390,0.001953125,0.0021083733974358973,0.001953125,0.00390625
4G/5G 干扰,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GAL,1200,0.001953125,0.0019889322916666666,0.001953125,0.00390625
4G/5G 干扰,GLO,550,0.001953125,0.0020738636363636363,0.001953125,0.00390625
4G/5G 干扰,GPS,1050,0.001953125,0.0020461309523809525,0.001953125,0.00390625
4G/5G 干扰,QZS,435,0.001953125,0.0021776221264367818,0.001953125,0.00390625
无干扰 #4,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GLO,550,0.001953125,0.002130681818181818,0.001953125,0.00390625
无干扰 #4,GPS,1050,0.001953125,0.0020461309523809525,0.001953125,0.00390625
无干扰 #4,QZS,415,0.001953125,0.002240210843373494,0.001953125,0.00390625
Wi-Fi 干扰,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GLO,550,0.001953125,0.0020170454545454545,0.001953125,0.00390625
Wi-Fi 干扰,GPS,1050,0.001953125,0.0021186755952380953,0.001953125,0.00390625
Wi-Fi 干扰,QZS,392,0.001953125,0.002162388392857143,0.001953125,0.00390625
无干扰 #5,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GLO,550,0.001953125,0.001963778409090909,0.001953125,0.00390625
无干扰 #5,GPS,1050,0.001953125,0.002139136904761905,0.001953125,0.00390625
无干扰 #5,QZS,400,0.001953125,0.0021044921875,0.001953125,0.00390625
