segment,sys,n,std_adr_median,std_adr_mean,std_adr_p75,std_adr_max
无干扰 #1,BDS,1782,0.001953125,0.0020079264870931537,0.001953125,0.00390625
无干扰 #1,GAL,1192,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,GLO,550,0.001953125,0.0021235795454545453,0.001953125,0.00390625
无干扰 #1,GPS,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #1,QZS,440,0.001953125,0.00224609375,0.001953125,0.00390625
409MHz 干扰,BDS,1647,0.001953125,0.0021013585306618094,0.001953125,0.00390625
409MHz 干扰,GAL,1187,0.001953125,0.0021045045282224095,0.001953125,0.00390625
409MHz 干扰,GLO,544,0.001953125,0.002373190487132353,0.001953125,0.005859375
409MHz 干扰,GPS,650,0.001953125,0.001953125,0.001953125,0.001953125
409MHz 干扰,QZS,240,0.001953125,0.0023600260416666665,0.001953125,0.00390625
无干扰 #2,BDS,1781,0.001953125,0.0020079572571588995,0.001953125,0.00390625
无干扰 #2,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,GLO,529,0.001953125,0.00205281190926276,0.001953125,0.00390625
无干扰 #2,GPS,1050,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #2,QZS,450,0.001953125,0.002170138888888889,0.001953125,0.00390625
392MHz 干扰,BDS,1440,0.001953125,0.00225830078125,0.001953125,0.00390625
392MHz 干扰,GAL,670,0.001953125,0.0020493236940298505,0.001953125,0.00390625
392MHz 干扰,GLO,432,0.001953125,0.0021384910300925927,0.001953125,0.005859375
392MHz 干扰,GPS,800,0.001953125,0.0021240234375,0.001953125,0.00390625
392MHz 干扰,QZS,250,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,BDS,1729,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GAL,1187,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #3,GLO,500,0.001953125,0.00204296875,0.001953125,0.00390625
无干扰 #3,GPS,1050,0.001953125,0.0020461309523809525,0.001953125,0.00390625
无干扰 #3,QZS,427,0.001953125,0.0020766247072599533,0.001953125,0.00390625
4G/5G 干扰,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GAL,1187,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GLO,500,0.001953125,0.001953125,0.001953125,0.001953125
4G/5G 干扰,GPS,1047,0.001953125,0.002048262893982808,0.001953125,0.005859375
4G/5G 干扰,QZS,445,0.001953125,0.002304248595505618,0.001953125,0.00390625
无干扰 #4,BDS,1750,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GAL,1200,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #4,GLO,550,0.001953125,0.002130681818181818,0.001953125,0.00390625
无干扰 #4,GPS,1050,0.001953125,0.0020089285714285712,0.001953125,0.00390625
无干扰 #4,QZS,450,0.001953125,0.002204861111111111,0.001953125,0.00390625
Wi-Fi 干扰,BDS,1744,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GAL,1345,0.001953125,0.001953125,0.001953125,0.001953125
Wi-Fi 干扰,GLO,554,0.001953125,0.0020765173736462094,0.001953125,0.005859375
Wi-Fi 干扰,GPS,1050,0.001953125,0.0020703125,0.001953125,0.00390625
Wi-Fi 干扰,QZS,441,0.001953125,0.0023561507936507935,0.001953125,0.00390625
无干扰 #5,BDS,1740,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GAL,1338,0.001953125,0.001953125,0.001953125,0.001953125
无干扰 #5,GLO,558,0.001953125,0.002163138440860215,0.001953125,0.005859375
无干扰 #5,GPS,1029,0.001953125,0.0020537232750242954,0.001953125,0.00390625
无干扰 #5,QZS,430,0.001953125,0.002130268895348837,0.001953125,0.005859375
