baseline_seg,interf_seg,svid,sys,baseline_std_adr,interf_std_adr,delta
无干扰 #1,409MHz 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS10,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS12,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS16,BDS,0.00390625,0.00390625,0.0
无干扰 #1,409MHz 干扰,BDS19,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS2,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS20,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS22,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS3,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS36,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS39,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS4,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS6,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS7,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,BDS9,BDS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL15,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL2,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL25,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL3,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL30,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL32,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL5,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GAL8,GAL,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GLO41,GLO,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GLO42,GLO,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GLO43,GLO,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GLO46,GLO,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GLO52,GLO,0.00390625,0.00390625,0.0
无干扰 #1,409MHz 干扰,GLO53,GLO,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS10,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS12,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS13,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS23,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS25,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS28,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS31,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,GPS32,GPS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,QZS194,QZS,0.001953125,0.001953125,0.0
无干扰 #1,409MHz 干扰,QZS195,QZS,0.001953125,0.00390625,0.001953125
无干扰 #1,409MHz 干扰,QZS199,QZS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
