segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,700,0.253,0.22300000000000003,0.001953125,46.5,476.828125
无干扰 #1,B2,350,0.253,0.22900000000000006,0.001953125,46.0,477.09375
无干扰 #1,B3,700,0.253,0.2399200000000001,0.001953125,45.0,559.59375
无干扰 #1,E1,400,0.253,0.22150000000000006,0.001953125,42.5,475.6875
无干扰 #1,E5a,400,0.253,0.25300000000000006,0.001953125,42.0,474.375
无干扰 #1,E5b,400,0.169,0.20218000000000003,0.001953125,47.5,480.59375
无干扰 #1,L1,850,0.253,0.2423788235294118,0.001953125,44.0,485.984375
无干扰 #1,L2,828,0.253,0.2572946859903383,0.001953125,43.0,558.59375
无干扰 #1,L5,400,0.253,0.23231750000000007,0.001953125,45.0,474.640625
409MHz 干扰,B1,700,0.253,0.22888000000000006,0.001953125,46.0,528.234375
409MHz 干扰,B2,253,0.253,0.29817786561264825,0.001953125,35.0,0.6875
409MHz 干扰,B3,486,0.38,0.32158641975308644,0.001953125,31.0,0.09375
409MHz 干扰,E1,400,0.253,0.23368000000000008,0.001953125,44.0,527.09375
409MHz 干扰,E5a,226,0.253,0.3176106194690266,0.001953125,32.0,0.1875
409MHz 干扰,E5b,289,0.253,0.2745017301038063,0.001953125,40.0,0.5
409MHz 干扰,L1,850,0.253,0.26536235294117655,0.001953125,41.0,533.328125
409MHz 干扰,L2,249,0.253,0.32234939759036146,0.001953125,31.0,0.1875
409MHz 干扰,L5,293,0.253,0.31454948805460753,0.001953125,32.0,0.6875
无干扰 #2,B1,700,0.253,0.22564000000000006,0.001953125,46.0,565.828125
无干扰 #2,B2,350,0.253,0.22900000000000006,0.001953125,46.0,16.09375
无干扰 #2,B3,700,0.253,0.24592000000000006,0.001953125,45.0,15.375
无干扰 #2,E1,400,0.253,0.21793000000000007,0.001953125,45.0,564.6875
无干扰 #2,E5a,400,0.253,0.2521600000000001,0.001953125,43.0,15.5
无干扰 #2,E5b,400,0.169,0.20701,0.001953125,48.0,15.5
无干扰 #2,L1,850,0.253,0.2428329411764706,0.001953125,41.5,569.6875
无干扰 #2,L2,800,0.253,0.25300000000000006,0.001953125,43.0,13.9375
无干扰 #2,L5,400,0.253,0.23914000000000007,0.001953125,44.5,15.734375
392MHz 干扰,B1,679,0.253,0.26983357879234177,0.001953125,36.0,13.59375
392MHz 干扰,B2,100,0.253,0.25300000000000006,0.001953125,35.0,8.78125
392MHz 干扰,B3,670,0.253,0.26115074626865675,0.001953125,36.0,47.1875
392MHz 干扰,E1,400,0.253,0.2580800000000001,0.001953125,39.0,6.796875
392MHz 干扰,E5b,157,0.253,0.27888535031847134,0.001953125,35.0,0.78125
392MHz 干扰,L1,708,0.253,0.27227966101694917,0.001953125,37.0,10.546875
392MHz 干扰,L2,800,0.253,0.25022125000000006,0.001953125,43.0,49.546875
无干扰 #3,B1,700,0.253,0.22684,0.001953125,46.0,17.1875
无干扰 #3,B2,350,0.253,0.21700000000000005,0.001953125,46.0,17.4375
无干扰 #3,B3,700,0.253,0.25300000000000006,0.001953125,44.5,29.828125
无干扰 #3,E1,400,0.253,0.22181750000000006,0.001953125,44.5,17.28125
无干扰 #3,E5a,399,0.253,0.2685964912280702,0.001953125,41.0,15.28125
无干扰 #3,E5b,394,0.169,0.2103604060913706,0.001953125,48.0,16.375
无干扰 #3,L1,830,0.253,0.2517710843373494,0.001953125,44.0,20.09375
无干扰 #3,L2,800,0.253,0.25903250000000005,0.001953125,43.0,86.9375
无干扰 #3,L5,360,0.253,0.2194111111111111,0.001953125,45.0,15.234375
4G/5G 干扰,B1,700,0.253,0.22996000000000005,0.001953125,46.0,61.0
4G/5G 干扰,B2,350,0.253,0.21700000000000005,0.001953125,47.0,61.234375
4G/5G 干扰,B3,700,0.253,0.24136000000000007,0.001953125,44.0,73.640625
4G/5G 干扰,E1,400,0.253,0.22528000000000006,0.001953125,45.0,61.09375
