baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,E1,0.253,0.253,0.0,42.5,44.0,1.5
无干扰 #1,409MHz 干扰,E5b,0.169,0.253,0.08399999999999999,47.5,40.0,-7.5
无干扰 #1,409MHz 干扰,L5,0.253,0.253,0.0,45.0,32.0,-13.0
无干扰 #1,409MHz 干扰,B3,0.253,0.38,0.127,45.0,31.0,-14.0
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,46.5,46.0,-0.5
无干扰 #1,409MHz 干扰,L1,0.253,0.253,0.0,44.0,41.0,-3.0
无干扰 #1,409MHz 干扰,L2,0.253,0.253,0.0,43.0,31.0,-12.0
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,46.0,35.0,-11.0
无干扰 #1,409MHz 干扰,E5a,0.253,0.253,0.0,42.0,32.0,-10.0
无干扰 #2,392MHz 干扰,E1,0.253,0.253,0.0,45.0,39.0,-6.0
无干扰 #2,392MHz 干扰,E5b,0.169,0.253,0.08399999999999999,48.0,35.0,-13.0
无干扰 #2,392MHz 干扰,B3,0.253,0.253,0.0,45.0,36.0,-9.0
无干扰 #2,392MHz 干扰,B1,0.253,0.253,0.0,46.0,36.0,-10.0
无干扰 #2,392MHz 干扰,L1,0.253,0.253,0.0,41.5,37.0,-4.5
无干扰 #2,392MHz 干扰,L2,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #2,392MHz 干扰,B2,0.253,0.253,0.0,46.0,35.0,-11.0
无干扰 #3,4G/5G 干扰,E1,0.253,0.253,0.0,44.5,45.0,0.5
无干扰 #3,4G/5G 干扰,E5b,0.169,0.21100000000000002,0.04200000000000001,48.0,47.0,-1.0
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,45.0,46.0,1.0
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,44.5,44.0,-0.5
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,46.0,47.0,1.0
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,41.0,42.5,1.5
无干扰 #4,Wi-Fi 干扰,E1,0.253,0.253,0.0,45.5,46.0,0.5
无干扰 #4,Wi-Fi 干扰,E5b,0.21100000000000002,0.169,-0.04200000000000001,47.5,48.0,0.5
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,46.0,47.0,1.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,44.0,44.0,0.0
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,42.0,43.0,1.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #4,Wi-Fi 干扰,B2,0.253,0.253,0.0,46.0,46.0,0.0
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,44.5,44.0,-0.5
